,pid,class,time,q1,q2,alone,dayweek,d,hourday,week,fact,ACCEPTANCE,COGNITIVE_REAPPRAISAL,DISTRACTION,EXPRESSIVE_SUPPRESSION,INTROSPECTION,NoER,PROBLEM_SOLVING,SEEKING_ADVICE,THOUGHT_SUPPRESSION,ER,Avoidant,Engagement,hourday2,q2_mean,diff
1,ER_3000,education,Fri Oct 07 18:45:05 EDT 2016,84,15,1,Fri,4,18,Weekend,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour17_18,23.15384615,-8.153846154
2,ER_3000,education,Fri Oct 14 14:51:41 EDT 2016,88,9,1,Fri,11,14,Weekday,Afternoon,0,0,0,0,0,1,0,0,0,0,0,0,hour13_14,23.15384615,-14.15384615
3,ER_3000,education,Mon Oct 17 13:30:52 EDT 2016,31,64,1,Mon,14,13,Weekday,Afternoon,1,0,1,0,0,0,0,0,1,1,1,1,hour13_14,23.15384615,40.84615385
4,ER_3000,education,Sat Oct 08 14:43:14 EDT 2016,83,1,0,Sat,5,14,Weekend,Afternoon,0,0,0,0,0,1,0,0,0,0,0,0,hour13_14,23.15384615,-22.15384615
5,ER_3000,education,Sat Oct 08 17:45:44 EDT 2016,76,20,0,Sat,5,17,Weekend,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour17_18,23.15384615,-3.153846154
6,ER_3000,education,Sun Oct 09 12:15:52 EDT 2016,90,14,1,Sun,6,12,Weekend,Morning,0,0,0,0,0,1,0,0,0,0,0,0,hour11_12,23.15384615,-9.153846154
7,ER_3000,education,Thu Oct 06 18:21:37 EDT 2016,76,29,0,Thu,3,18,Weekday,Evening,1,0,0,0,0,0,0,1,0,1,0,1,hour17_18,23.15384615,5.846153846
8,ER_3000,friendshouses,Thu Oct 13 19:36:44 EDT 2016,76,24,0,Thu,10,19,Weekday,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour19_20,23.15384615,0.846153846
9,ER_3000,home,Mon Oct 17 19:03:35 EDT 2016,87,5,0,Mon,14,19,Weekday,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour19_20,23.15384615,-18.15384615
10,ER_3000,home,Sat Oct 15 12:27:56 EDT 2016,78,15,1,Sat,12,12,Weekend,Morning,0,0,0,0,0,1,0,0,0,0,0,0,hour11_12,23.15384615,-8.153846154
11,ER_3000,leisure,Wed Oct 12 19:13:17 EDT 2016,1,87,0,Wed,1,19,Weekday,Evening,0,0,0,0,1,0,1,0,0,1,0,1,hour19_20,23.15384615,63.84615385
12,ER_3000,leisure,Sun Oct 16 18:29:52 EDT 2016,87,4,0,Sun,13,18,Weekend,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour17_18,23.15384615,-19.15384615
13,ER_3000,leisure,Tue Oct 04 20:35:55 EDT 2016,81,14,0,Tue,1,20,Weekday,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour19_20,23.15384615,-9.153846154
14,ER_3004,education,Thu Oct 06 18:38:25 EDT 2016,58,35,1,Thu,2,18,Weekday,Evening,0,0,0,0,0,0,1,0,0,1,0,1,hour17_18,39.5,-4.5
15,ER_3004,education,Wed Oct 05 10:54:31 EDT 2016,28,59,0,Wed,1,10,Weekday,Morning,1,0,0,0,0,0,1,0,0,1,0,1,hour9_10,39.5,19.5
16,ER_3004,education,Wed Oct 05 19:01:50 EDT 2016,56,45,0,Wed,1,19,Weekday,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour19_20,39.5,5.5
17,ER_3004,leisure,Thu Oct 06 17:28:10 EDT 2016,67,19,1,Thu,2,17,Weekday,Evening,0,0,0,0,0,1,0,0,0,0,0,0,hour17_18,39.5,-20.5
18,ER_3005,education,Fri Oct 07 14:34:40 EDT 2016,96,1,1,Fri,3,14,Weekday,Afternoon,0,0,0,0,0,1,0,0,0,0,0,0,hour13_14,22.81578947,-21.81578947
