dataset_id,item,n_cats_meta,n_distinct,range_min,range_max,status
0001,difficulties_relaxing,5,5,1,5,ok
0001,irritable,5,5,1,5,ok
0001,worry,5,5,1,5,ok
0001,nervous,5,5,1,5,ok
0001,nothing_look_forward,5,5,1,5,ok
0001,anhedonia,5,5,1,5,ok
0001,tired,5,5,1,5,ok
0001,hungry,5,5,1,5,ok
0001,alone,5,5,1,5,ok
0001,angry,5,5,1,5,ok
0001,social_offline,5,5,1,5,ok
0001,social_online,5,5,1,5,ok
0001,time_music,5,5,1,5,ok
0001,procrastinated,5,5,1,5,ok
0001,time_outdoors,5,5,1,5,ok
0001,covid_occupied,5,5,1,5,ok
0001,covid_worry,5,5,1,5,ok
0001,time_home,5,5,1,5,ok
0002,sociable,6,418,NA,NA,n_distinct_mismatch
0002,creative,6,398,NA,NA,n_distinct_mismatch
0002,friendly,6,343,NA,NA,n_distinct_mismatch
0002,organised,6,392,NA,NA,n_distinct_mismatch
0002,self_esteem,6,395,NA,NA,n_distinct_mismatch
0002,nervous,6,6,1,6,ok
0003,nervous,5,5,1,5,ok
0003,afraid,5,5,1,5,ok
0003,enthusiastic,5,5,1,5,ok
0003,distressed,5,5,1,5,ok
0003,excited,5,5,1,5,ok
0003,scared,5,5,1,5,ok
0003,upset,5,5,1,5,ok
0003,alert,5,5,1,5,ok
0003,determined,5,5,1,5,ok
0003,inspired,5,5,1,5,ok
0003,depressed,5,5,1,5,ok
0003,restless_or_fidgety,5,5,1,5,ok
0003,sadness_extreme,5,5,1,5,ok
0003,worried,5,5,1,5,ok
0003,hopeless,5,5,1,5,ok
0003,irritated,5,5,1,5,ok
0003,effort_everything,5,5,1,5,ok
0003,argument_stress,5,5,1,5,ok
0003,let_pass_stress,5,5,1,5,ok
0003,friend_relative_stress,5,5,1,5,ok
0003,health_stress,5,5,1,5,ok
0003,other_stress,5,5,1,5,ok
0003,covid_stress,5,5,1,5,ok
0003,socialfunc_interactions,4,4,1,4,ok
0003,alert_sleepiness,9,9,1,9,ok
