dataset_id,issue,resolution,notes
0001,33 duplicated id-day-beep combination(s),ok,
0001,Participant count mismatch: 79 unique ids in data vs 80 in metadata,ok,
0001,Columns in data but not annotated in metadata: time,,need to remove time because it is redundant with scheduled
0002,Column 'sociable': 418 distinct values in data but answer_categories = 6 in metadata,ok,
0002,Column 'creative': 398 distinct values in data but answer_categories = 6 in metadata,ok,
0002,Column 'friendly': 343 distinct values in data but answer_categories = 6 in metadata,ok,
0002,Column 'organised': 392 distinct values in data but answer_categories = 6 in metadata,ok,
0002,Column 'self_esteem': 395 distinct values in data but answer_categories = 6 in metadata,ok,
0004,Column 'happy': 11 distinct values in data but answer_categories = 4 in metadata,,
0004,Column 'sad': 8 distinct values in data but answer_categories = 4 in metadata,,
0004,Column 'social_number': 18 distinct values in data but answer_categories = 6 in metadata,,
0004,Column 'sleep_quality': 10 distinct values in data but answer_categories = 4 in metadata,,
0004,Column 'difficult_stay_awake': 9 distinct values in data but answer_categories = 4 in metadata,,
0004,Column 'anxious': 14 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'calm': 13 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'conventional': 12 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'critical': 12 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'dependable': 14 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'disorganized': 13 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'enthusiastic': 11 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'open_to_experiences': 13 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'reserved': 13 distinct values in data but answer_categories = 5 in metadata,,
0004,Column 'sympathetic': 14 distinct values in data but answer_categories = 5 in metadata,,
0005,Participant count mismatch: 60 unique ids in data vs 62 in metadata,ok,
0008,Column 'life_satisfaction': 99 distinct values in data but answer_categories = 4 in metadata,,
0010,13000 duplicated id-day-beep combination(s),ok,
0011,"Columns that are entirely NA: day, beep",ok,
0014,Columns that are entirely NA: beep,ok,
0015,Column 'pa': 21 distinct values in data but answer_categories = 7 in metadata,,
0015,Column 'na': 23 distinct values in data but answer_categories = 7 in metadata,,
0018,Columns that are entirely NA: beep,ok,
0018,Columns in data but not annotated in metadata: date,,
0019,Participant count mismatch: 300 unique ids in data vs 302 in metadata,ok,
0019,Columns in data but not annotated in metadata: time,,
0021,Columns that are entirely NA: beep,ok,
0021,Column 'extraversion': 13 distinct values in data but answer_categories = 7 in metadata,,
0021,Column 'agreeableness': 13 distinct values in data but answer_categories = 7 in metadata,,
0021,Column 'conscientiousness': 13 distinct values in data but answer_categories = 7 in metadata,,
0021,Column 'emotional_stability': 13 distinct values in data but answer_categories = 7 in metadata,,
0021,Column 'openness': 13 distinct values in data but answer_categories = 7 in metadata,,
0022,Participant count mismatch: 211 unique ids in data vs 139 in metadata,ok,
0023,439 duplicated id-day-beep combination(s),,
0024,Columns that are entirely NA: beep,ok,
0024,Participant count mismatch: 316 unique ids in data vs 313 in metadata,ok,
0025,Columns that are entirely NA: beep,ok,
0026,"Columns that are entirely NA: beep, day",ok,
0027,Column 'pa': 21 distinct values in data but answer_categories = 5 in metadata,,
0027,Column 'na': 21 distinct values in data but answer_categories = 5 in metadata,,
0028,2 duplicated id-day-beep combination(s),,
0029,Column 'phy_abd': 13 distinct values in data but answer_categories = 7 in metadata,,
0031,Participant count mismatch: 100 unique ids in data vs 95 in metadata,ok,
0032,Columns that are entirely NA: beep,ok,
0032,Column 'reappraisal': 201 distinct values in data but answer_categories = 101 in metadata,,
0033,Columns that are entirely NA: beep,ok,
0034,Columns that are entirely NA: beep,ok,
0034,"Columns in data but not annotated in metadata: creation_date, completion_date",,
0035,Columns that are entirely NA: beep,ok,
0036,Columns that are entirely NA: beep,ok,
0037,Participant count mismatch: 52 unique ids in data vs 70 in metadata,ok,
0039,7 duplicated id-day-beep combination(s),,
0040,Participant count mismatch: 220 unique ids in data vs 218 in metadata,ok,
0041,Columns that are entirely NA: day,ok,
0041,Column 'dominance': 308 distinct values in data but answer_categories = 8 in metadata,,
0041,Column 'affiliation': 324 distinct values in data but answer_categories = 8 in metadata,,
0041,Column 'pa': 37 distinct values in data but answer_categories = 5 in metadata,,
0041,Column 'na': 35 distinct values in data but answer_categories = 5 in metadata,,
0041,Column 'stressed': 22 distinct values in data but answer_categories = 4 in metadata,,
0042,Columns that are entirely NA: beep,ok,
0043,Columns that are entirely NA: beep,ok,
0044,"Columns that are entirely NA: begin_day_ema, finish_day_ema, day, beep",ok,
0046,"Columns that are entirely NA: day, beep",ok,
0046,"Columns in data but not annotated in metadata: pa_selfother, na_selfother",,
0046,Column 'empathy_global': 7104 distinct values in data but answer_categories = 11 in metadata,ok,
0046,Column 'empathy_cog': 4400 distinct values in data but answer_categories = 11 in metadata,ok,
0046,Column 'empathy_aff': 2824 distinct values in data but answer_categories = 11 in metadata,ok,
0046,Column 'pa_self': 3301 distinct values in data but answer_categories = 11 in metadata,ok,
0046,Column 'pa_other': 3271 distinct values in data but answer_categories = 11 in metadata,ok,
0046,Column 'na_self': 3012 distinct values in data but answer_categories = 11 in metadata,ok,
0046,Column 'na_other': 2980 distinct values in data but answer_categories = 11 in metadata,ok,
0048,Column 'men_anxiety': 12 distinct values in data but answer_categories = 5 in metadata,,
0048,Column 'men_sadness': 12 distinct values in data but answer_categories = 5 in metadata,,
0048,Column 'men_vigor': 13 distinct values in data but answer_categories = 5 in metadata,,
0048,Column 'men_contentment': 13 distinct values in data but answer_categories = 5 in metadata,,
0048,Column 'women_anxiety': 12 distinct values in data but answer_categories = 5 in metadata,,
0048,Column 'women_sadness': 13 distinct values in data but answer_categories = 5 in metadata,,
0048,Column 'women_vigor': 13 distinct values in data but answer_categories = 5 in metadata,,
0048,Column 'women_contentment': 13 distinct values in data but answer_categories = 5 in metadata,,
0049,Column 'helping_effort': 101 distinct values in data but answer_categories = 100 in metadata,,
0049,Column 'stressed': 101 distinct values in data but answer_categories = 100 in metadata,,
0049,Column 'valence_mood': 201 distinct values in data but answer_categories = 100 in metadata,,
0049,Column 'calmness_mood': 201 distinct values in data but answer_categories = 100 in metadata,,
0049,Column 'energy_mood': 201 distinct values in data but answer_categories = 100 in metadata,,
0050,Column 'helping_effort': empirical range 0-100 (101 levels) exceeds answer_categories = 100 in metadata,,
0050,Column 'stressed': 101 distinct values in data but answer_categories = 100 in metadata,,
0050,Column 'valence_mood': 200 distinct values in data but answer_categories = 100 in metadata,,
0050,Column 'calmness_mood': 200 distinct values in data but answer_categories = 100 in metadata,,
0050,Column 'energy_mood': 201 distinct values in data but answer_categories = 100 in metadata,,
0051,Participant count mismatch: 77 unique ids in data vs 75 in metadata,ok,
0051,Columns in data but not annotated in metadata: scheduled_time,,
0051,Variables in metadata but not in data: extracted_scheduled_times,,
0051,Column 'concentration_extent': 8 distinct values in data but answer_categories = 7 in metadata,,
0052,Participant count mismatch: 145 unique ids in data vs 140 in metadata,ok,
0053,"Columns that are entirely NA: beep, day",ok,
0053,Columns in data but not annotated in metadata: dual_fits_bo_po,,
0054,"Columns that are entirely NA: day, beep",ok,
0055,Participant count mismatch: 72 unique ids in data vs 78 in metadata,ok,
0056,Columns that are entirely NA: beep,ok,
0057,Columns that are entirely NA: beep,ok,
0058,Participant count mismatch: 379 unique ids in data vs 356 in metadata,ok,
0058,Column 'active': 6 distinct values in data but answer_categories = 5 in metadata,,
0058,Column 'interested': 9 distinct values in data but answer_categories = 5 in metadata,,
0058,Column 'excited': 9 distinct values in data but answer_categories = 5 in metadata,,
0058,Column 'strong': 8 distinct values in data but answer_categories = 5 in metadata,,
0058,Column 'irritable': 7 distinct values in data but answer_categories = 5 in metadata,,
0058,Column 'upset': 7 distinct values in data but answer_categories = 5 in metadata,,
0058,Column 'afraid_anxious': 8 distinct values in data but answer_categories = 5 in metadata,,
0058,Column 'sad': 7 distinct values in data but answer_categories = 5 in metadata,,
0060,437 duplicated id-day-beep combination(s),,
0062,Participant count mismatch: 322 unique ids in data vs 321 in metadata,ok,
0062,Column 'see_good_in_bad': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'focus_on_good': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'suppression': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'changed_feeling': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'rumination': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_autonomy': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_own_decisions': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_asked_opinion': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_interrupted': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_point_of_view': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_guilty': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_tried_change': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'mother_disapproved': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_autonomy': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_own_decisions': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_asked_opinion': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_interrupted': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_point_of_view': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_guilty': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_tried_change': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0062,Column 'father_disapproved': empirical range -1-7 (9 levels) exceeds answer_categories = 8 in metadata,ok,
0063,30 duplicated id-day-beep combination(s),,
0063,Columns in data but not annotated in metadata: not_misunderstood,,
