id	age	education	gender	english_primary	wake_up_typical	wake_up_earliest	wake_up_latest	go_to_sleep_typical	go_to_sleep_earliest	go_to_sleep_latest	screen_w	screen_h
CT1	30	2	female	yes	7.25	7	8	23.25	22	0	846	412
CT15	29	4	male	yes	5.5	4	6.5	22.5	21	23.5	812	375
CT16	28	3	female	yes	5.5	5.25	9	22.5	20.5	1	740	360
CT17	35	5	female	yes	5.5	5	6	22	21	22.5	823	412
CT20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CT20	22	3	female	yes	12	10	12.5	3	1.5	5	667	375
CT25	35	5	female	yes	6.75	5.75	7	22	21.5	22.5	667	375
CT29	60	2	female	yes	9	7	11.5	3	23	4	722	361
CT30	18	1	female	yes	9	9	13	0	23.5	3	640	360
CT30	18	1	female	yes	9	9	13	0	23.5	3	1366	768
CT31	35	3	female	yes	7	7	10	23.5	23	3	640	360
CT31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CT33	34	2	female	yes	6.5	4.5	6.5	22	21	0	896	414
CT34	29	4	female	yes	6.5	6.417	8.5	23	22.5	0	812	375
CT4	50	2	female	yes	8	6.5	9	23.5	22.5	3	896	414
CT4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CT40	40	2	male	yes	6	5.5	7	23	20.5	0	883	412
CT41	29	3	female	yes	9	8	10	0	22	2	667	375
CT45	55	3	male	yes	8.5	7	9.5	1.5	0.5	2.5	568	320
CT52	34	3	female	yes	8	7	9	1	0	1.5	667	375
CT53	51	5	female	yes	7	5.75	8	23.5	22.5	1.5	712	320
CT54	44	2	female	yes	6	5.5	7.5	21.5	20.5	23	812	375
CT55	41	4	female	yes	5.5	5	7	22	20.5	23	896	414
CT58	22	2	female	yes	11	10	12	3	1.667	4.5	736	414
CT60	18	1	male	yes	8.133	6	9.5	1.5	22	4.5	892	412
CT61	20	2	female	yes	9.5	8	10	0.5	0	1.5	720	360
CT64	44	3	female	yes	7.5	7	8.5	0	23	0.5	812	375
CT66	20	2	female	yes	7.667	7.333	11.5	2	1.25	4.5	812	375
CT66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CT72	50	2	female	yes	8	7	9	23	20.5	1	854	384
CT8	37	3	male	yes	6	6	9	22	22	0	732	412
CT80	68	5	female	yes	6	5.5	6.25	21	20.5	21	812	375
CT80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CT85	59	5	female	yes	7.5	6.5	8	23	22	1	896	414
ET102	39	4	female	yes	6.5	5.5	8	0	22.5	2	896	414
ET105	31	4	female	yes	9	7.75	11.5	0	23	2	851	393
ET107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET107	66	5	female	yes	8	7	9	23	10	1	780	360
ET11	32	5	female	no	7	6	8	0	23	1	812	375
ET114	64	1	female	yes	9.6	5.667	10	0	23	1	882	414
ET117	42	5	female	yes	7	6.75	7.25	1	22	2.5	926	428
ET12	26	2	female	yes	6.75	6.5	7	23	23	0	736	414
ET125	48	2	female	yes	5.5	5.5	6.25	18.25	20.5	23.5	877	412
ET129	30	1	female	yes	7	6	7.083	22.5	21	23	915	412
ET134	18	1	female	yes	11	8	12	3	2.5	8	896	414
ET14	20	1	female	no	9	8	9.667	0	23.633	0.75	844	390
ET14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET144	31	1	female	yes	12	10	13.5	3	1.5	5.5	908	432
ET15	35	4	female	no	7	6.5	7.5	23	22	23.5	736	414
ET155	58	4	female	yes	6.25	6	7	23	22	12	915	412
ET158	23	2	non-binary	yes	10	8.333	11	2	0	4	736	414
ET163	51	2	female	yes	5.5	3.5	6	22	22	22	667	375
ET164	58	5	female	no	7	5	8.5	22.5	22	23.5	667	375
ET165	23	3	male	yes	9	8.5	10	1.5	1	3	844	390
ET166	32	3	female	yes	7	7	9	23	22.5	2	780	360
ET166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET168	54	3	female	yes	6.5	5.5	7.5	22.5	21.5	23.5	869	412
ET168	54	3	female	yes	6.5	5.5	7.5	22.5	21.5	23.5	1138	640
ET17	48	3	female	yes	9	8	9.5	1	0	3	640	360
ET170	37	5	female	yes	6.5	6	6.5	21.5	20.5	22	823	412
ET174	41	2	female	yes	10.5	9	11.5	2	1	4	960	432
ET177	22	2	female	yes	8	8.5	10	23	22.5	0	667	375
ET177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET181	28	3	female	yes	8.5	8	9.75	0	0	1.5	736	414
ET183	25	2	female	yes	5	5	11	1	11	3	896	414
ET184	30	4	female	yes	7.5	6	8.5	23.5	22	1	800	360
ET19	21	2	male	yes	9	7	10.5	1	23.5	2.75	896	414
ET2	50	3	female	yes	6.75	6	9	22.5	22	1	896	414
ET20	41	3	male	no	7.5	5.5	9	22	21.5	0	896	414
ET22	34	4	female	no	7.55	7.283	8.05	22.05	21.05	22.55	846	412
ET23	30	5	female	yes	6	6	8	22	21	0	667	375
ET24	18	2	female	yes	9	7	11	23	21	0	896	414
ET24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET27	30	4	female	yes	9.5	9	10.5	2	0	3.5	846	412
ET3	24	2	female	yes	8.5	8	11	22	20	3	896	414
ET3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET34	65	2	female	yes	9	9	9.5	22	21	22	896	414
ET34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET36	52	5	female	yes	6.5	6.233	7.083	21.333	21.083	21.833	736	414
ET37	36	4	female	yes	7.75	6.5	8.25	23.667	22	1	830	393
ET39	28	4	female	yes	7	6	8.5	22	21.5	23	812	375
ET4	28	3	female	yes	8.5	7	11	23.5	23	1	848	424
ET41	30	5	female	yes	6.5	3	8.5	22.5	20	0.5	896	414
ET42	25	2	female	yes	23	21	2	14	10	16	846	412
ET43	19	1	non-binary	yes	23	5.5	16	6.5	22.5	7	896	414
ET45	29	2	male	yes	8	7	9	23.5	23	1	736	414
ET45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET46	39	3	female	yes	6	6	8	22	8	0	896	414
ET48	28	3	male	yes	6.75	6	8.5	23.5	22.5	1	844	390
ET48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET49	20	2	female	yes	7.15	7	9	23.5	22	2	568	320
ET49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET51	20	2	female	yes	9	8	12	12	22	2	740	360
ET53	43	3	male	yes	5.5	7	9	22	21	23.5	736	414
ET55	29	3	male	yes	8.5	7.833	9	22.5	22	23	740	360
ET58	19	2	female	yes	11	9	13	2	0	3	823	412
ET64	29	3	non-binary	yes	10.5	10.5	11	2.5	1	4	896	414
ET65	32	1	female	yes	6.5	5.5	8	22.5	21	23.5	667	375
ET65	32	1	female	yes	6.5	5.5	8	22.5	21	23.5	1112	834
ET68	42	3	female	yes	10	7	12.5	1	23	5	896	414
ET77	45	5	female	no	6.5	5.5	8.5	22.5	21.5	0.5	667	375
ET78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET78	23	3	female	yes	6.75	6	7	22.5	21.5	1	800	360
ET81	26	5	male	yes	10	7	11	2	23	4	915	412
ET85	70	3	female	yes	8.5	7	8.75	23	22.5	23.5	568	320
ET86	54	5	female	yes	6	6	6.5	21.5	21	22	736	414
ET99	34	4	male	yes	7.75	7	7.75	22.5	22	23	896	414
MT10	24	3	female	yes	6	5.5	9	21.5	20	23.5	667	375
MT12	57	4	male	yes	6.25	5	7.75	20.5	20	21.5	1536	864
MT12	57	4	male	yes	6.25	5	7.75	20.5	20	21.5	640	360
MT15	19	2	female	yes	8	7	11.5	0	22.5	1	736	414
MT15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT19	36	4	female	yes	9	7	10	0	23	1	915	412
MT21	52	4	female	yes	6	4.5	6.5	22	21	22.5	667	375
MT4	62	2	female	yes	7	6	7.5	21.5	20.5	22	812	375
MT7	21	2	female	yes	9	8	10.5	12	22.5	2	896	414
MT7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT9	67	4	female	yes	3.5	3.5	5	20	19.5	22	812	375
PT13	30	4	female	yes	6	5	7	20.25	19.75	21.5	896	414
PT14	35	3	female	yes	7.5	7	8.5	23	22	2	846	412
PT14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT15	24	3	female	yes	5	4	11	23.983	23	2	706	353
PT16	19	1	female	yes	5.25	5	6.333	21	19.5	21.5	896	414
PT21	46	5	male	yes	6.75	5.5	7.5	23.5	21.5	1	896	414
PT25	25	3	female	no	8.5	8	8.917	22.75	22.5	23.5	896	414
PT28	54	4	male	yes	6.5	5	9	22.5	22	0	896	414
PT3	21	1	male	yes	9	5	11.75	1.5	23.5	3	896	414
PT31	35	3	female	yes	6	6	7	22	20	0	667	375
PT33	18	1	female	yes	8	7	9	11	10	0	896	414
PT34	29	4	female	yes	5.75	5.75	6	22	20	23	844	390
PT37	64	2	male	yes	7.5	7.5	9	1	0	2	896	414
PT37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT4	22	3	female	yes	9	8.5	10	0	22	0	667	375
PT40	55	3	female	yes	6.95	6.95	11	0.25	23.5	2.25	896	414
PT42	56	3	female	yes	7	7	7.5	19.5	19	22	896	414
PT42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT45	34	5	female	yes	9.5	8.5	10	1.5	0.5	2.5	736	414
PT45	34	5	female	yes	9.5	8.5	10	1.5	0.5	2.5	926	428
PT48	27	2	non-binary	yes	10.5	9.5	11	0.5	23	1.5	896	414
PT51	37	4	non-binary	yes	6.5	5	7	22	21	0	740	360
PT52	61	3	male	yes	4	3	6.5	20.5	20	22	667	375
PT55	22	3	male	yes	11	10	13.5	2.5	0.167	4	851	393
PT55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT58	57	3	female	yes	10.5	7.5	14	3	23	5	640	360
PT61	22	2	female	yes	9	6.5	11	1	23	3	896	414
PT7	33	3	female	yes	7.75	7.5	7.917	23.5	22.5	0.5	640	360
PT73	58	5	male	yes	5.75	5	6.333	22.333	21.667	23.25	667	375
PT73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT75	19	1	non-binary	yes	8	6	9	23	0	1	938	412
PT79	62	2	female	yes	6	5	7	21	20.5	22.5	1112	834
PT79	62	2	female	yes	6	5	7	21	20.5	22.5	812	375
