id	group
1	2
2	2
3	1
4	1
6	2
7	2
8	2
10	2
11	2
12	2
13	2
14	1
15	1
18	1
19	2
21	1
22	2
23	2
24	2
25	1
26	1
27	1
28	1
29	1
30	2
31	2
32	2
33	1
34	1
35	1
36	1
37	2
39	1
40	1
41	2
43	2
46	1
47	1
48	2
50	1
51	1
52	2
53	2
55	1
56	2
57	2
58	1
60	2
61	2
62	2
63	2
64	2
66	1
67	2
68	2
70	1
71	1
72	1
74	1
79	1
80	2
81	2
84	2
86	1
87	1
88	1
93	1
94	1
95	1
96	1
97	2
99	2
100	1
101	1
102	1
103	1
104	2
105	2
106	2
107	1
108	1
109	1
110	1
111	2
112	2
113	2
114	2
115	1
116	1
117	1
118	1
119	1
120	2
121	2
122	2
123	1
124	1
125	1
126	2
127	2
128	2
129	2
130	2
131	1
132	1
133	1
134	2
135	2
137	1
138	1
139	2
140	2
141	2
143	1
145	2
146	2
147	1
148	1
152	2
154	1
156	2
159	1
161	1
163	2
164	1
