id	neuroticism_score
2	3.5
3	1.5
4	6.5
6	5.5
8	2
9	2.5
10	1
12	2
13	2.5
20	4.5
23	6.5
26	3.5
28	3
31	3.5
34	2.5
38	2.5
39	3
41	1
43	6
46	2.5
47	2
48	3
52	3
57	3.5
74	2.5
82	3
84	4.5
90	2
105	4
107	7
124	5.5
125	3.5
128	4.5
154	2.5
162	3
172	4.5
173	2.5
181	4
184	5.5
186	1.5
195	3.5
202	3.5
236	2
239	1
258	6
259	2
271	1.5
281	3.5
288	6.5
300	1.5
306	1
323	1.5
332	3
352	4.5
359	4
364	5
367	2.5
370	3.5
376	2
379	2
392	2.5
394	4
398	3.5
405	4.5
407	7
426	3.5
430	2
435	2.5
447	5
449	5.5
451	2
454	2
461	5
465	4
466	1.5
497	5
499	1.5
500	5
504	3
512	2
518	2
520	3
524	2
526	4
527	4
529	1.5
531	5
536	5
543	6.5
556	4
559	2.5
560	2.5
568	2.5
587	5
603	4
