id	angry	depressed	sad	anxious	relaxed	happy	day	beep
2	1	5	12	1	83	49	NA	NA
2	21	21	20	1	40	31	NA	NA
2	1	38	58	22	52	20	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA
2	1	1	1	1	81	73	NA	NA
2	1	1	1	1	83	41	NA	NA
2	1	1	1	1	81	40	NA	NA
2	1	1	1	1	80	30	NA	NA
2	1	1	1	1	31	22	NA	NA
2	1	1	1	1	83	65	NA	NA
2	1	1	1	1	78	41	NA	NA
2	1	1	1	21	41	81	NA	NA
2	1	1	1	1	75	81	NA	NA
2	1	1	1	1	100	100	NA	NA
2	1	1	1	1	67	41	NA	NA
2	1	1	1	1	25	21	NA	NA
2	1	9	7	8	30	21	NA	NA
2	1	1	1	1	63	1	NA	NA
2	1	1	1	1	82	59	NA	NA
2	1	1	1	1	69	69	NA	NA
2	1	1	1	1	74	78	NA	NA
2	39	1	1	10	22	41	NA	NA
2	1	1	31	20	44	29	NA	NA
2	1	1	21	22	35	40	NA	NA
2	1	1	1	1	68	51	NA	NA
2	1	1	1	1	52	49	NA	NA
2	1	1	1	27	46	53	NA	NA
2	10	1	1	1	31	72	NA	NA
2	1	1	1	9	32	63	NA	NA
2	1	1	1	10	38	73	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA
2	18	14	19	1	88	84	NA	NA
2	1	1	1	1	68	73	NA	NA
2	1	1	1	1	75	79	NA	NA
2	1	1	1	1	55	79	NA	NA
2	1	1	1	1	53	60	NA	NA
2	1	1	1	1	46	72	NA	NA
2	1	1	1	1	51	54	NA	NA
2	1	1	1	1	71	41	NA	NA
2	1	1	1	1	38	67	NA	NA
2	1	1	1	1	45	60	NA	NA
2	1	1	1	1	40	81	NA	NA
2	1	1	1	1	60	61	NA	NA
2	1	1	1	1	68	75	NA	NA
2	1	49	1	1	61	80	NA	NA
2	1	1	1	1	62	50	NA	NA
2	1	1	1	1	42	52	NA	NA
2	1	1	21	1	47	59	NA	NA
2	1	1	13	1	70	53	NA	NA
2	1	1	31	1	70	59	NA	NA
2	1	1	1	1	83	66	NA	NA
2	1	1	16	1	60	59	NA	NA
2	1	1	20	1	42	52	NA	NA
2	1	1	1	1	50	60	NA	NA
2	1	1	1	1	66	79	NA	NA
2	1	1	1	1	72	75	NA	NA
2	1	1	1	11	49	83	NA	NA
2	1	1	1	1	50	81	NA	NA
2	1	1	1	1	72	68	NA	NA
2	1	1	1	1	72	68	NA	NA
3	8	10	16	7	89	63	NA	NA
3	10	1	13	16	61	77	NA	NA
3	1	16	16	2	65	64	NA	NA
3	15	1	10	1	62	82	NA	NA
3	1	1	26	1	91	62	NA	NA
3	17	1	15	1	47	77	NA	NA
3	12	1	1	14	59	93	NA	NA
3	8	15	9	9	56	51	NA	NA
3	1	18	27	5	61	56	NA	NA
3	11	22	32	1	68	52	NA	NA
3	1	7	13	9	61	70	NA	NA
3	11	4	26	12	73	53	NA	NA
3	16	7	22	15	42	59	NA	NA
3	10	1	19	18	20	73	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
3	13	11	25	16	64	57	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
