id	counter	happy	relaxed	sad	angry	stressed	beep	day
105	1	75	55	7	19	51	1	1
105	2	69	21	20	18	21	2	1
105	3	52	94	10	21	25	3	1
105	4	93	98	10	4	13	4	1
105	5	98	87	1	10	11	5	1
105	6	20	11	63	76	73	6	1
105	7	54	84	12	21	8	7	1
105	8	59	46	6	54	82	1	2
105	9	78	79	10	11	8	2	2
105	10	100	100	5	3	8	3	2
105	11	100	100	6	1	1	4	2
105	12	17	80	14	85	79	5	2
105	13	10	43	87	60	13	6	2
105	14	91	94	7	5	7	7	2
105	15	100	100	2	0	3	1	3
105	16	53	80	8	23	95	2	3
105	17	43	9	52	53	94	3	3
105	18	87	96	0	0	0	4	3
105	19	94	100	0	4	2	5	3
105	20	100	100	3	0	0	6	3
105	21	57	78	8	6	11	7	3
105	22	5	33	3	8	81	1	4
105	23	100	100	0	3	4	2	4
105	24	52	75	3	0	0	3	4
105	25	66	82	63	63	0	4	4
105	26	79	79	5	13	10	5	4
105	27	45	0	0	0	0	6	4
105	28	80	92	0	0	4	7	4
105	29	76	53	10	24	10	1	5
105	30	100	28	0	4	0	2	5
105	31	46	58	0	66	74	3	5
105	32	93	100	0	1	1	4	5
105	33	73	87	4	0	0	5	5
105	34	96	97	0	6	5	6	5
105	35	68	86	20	70	21	7	5
105	36	53	5	7	10	87	1	6
105	37	79	69	0	0	46	2	6
105	38	100	100	15	0	47	3	6
105	39	53	50	9	7	56	4	6
105	40	100	100	9	9	17	5	6
105	41	100	100	0	0	0	6	6
105	42	79	99	8	9	9	7	6
105	43	41	84	43	7	14	1	7
105	44	85	0	9	6	11	2	7
105	45	64	94	4	6	9	3	7
105	46	76	70	15	12	21	4	7
105	47	13	15	46	100	78	5	7
105	48	23	77	65	67	28	6	7
105	49	62	68	7	12	10	7	7
105	50	76	82	11	8	17	1	8
105	51	62	100	1	12	72	2	8
105	52	45	10	73	61	78	3	8
105	53	10	27	60	60	48	4	8
105	54	93	92	6	11	8	5	8
105	55	93	94	7	6	10	6	8
105	56	92	85	8	6	12	7	8
105	57	90	24	4	12	11	1	9
105	58	23	16	13	6	81	2	9
105	59	100	3	0	6	100	3	9
105	60	95	9	6	0	100	4	9
105	61	100	100	0	0	0	5	9
105	62	94	96	0	7	5	6	9
105	63	14	74	28	58	54	7	9
105	64	96	98	0	0	0	1	10
105	65	15	10	74	84	75	2	10
105	66	8	16	74	74	87	3	10
105	67	13	24	57	58	81	4	10
105	68	NA	NA	NA	NA	NA	5	10
105	69	45	51	49	52	58	6	10
105	70	46	34	14	16	44	7	10
105	71	100	100	8	4	0	1	11
105	72	50	81	23	17	58	2	11
105	73	51	70	9	19	41	3	11
105	74	30	25	18	47	72	4	11
105	75	91	75	9	10	11	5	11
105	76	96	100	0	1	0	6	11
105	77	86	71	0	6	8	7	11
105	78	38	70	28	42	22	1	12
105	79	100	100	0	0	0	2	12
105	80	92	100	0	0	0	3	12
105	81	85	66	7	11	4	4	12
105	82	61	40	10	46	7	5	12
105	83	43	94	9	7	13	6	12
105	84	96	61	10	13	11	7	12
105	85	37	61	64	62	46	1	13
105	86	15	12	78	72	71	2	13
105	87	9	13	8	23	70	3	13
105	88	41	48	4	12	64	4	13
105	89	44	10	14	45	11	5	13
105	90	44	62	13	46	44	6	13
105	91	100	97	1	0	9	7	13
105	92	10	4	86	86	89	1	14
105	93	80	19	0	2	91	2	14
105	94	68	88	16	16	17	3	14
105	95	68	85	35	11	21	4	14
105	96	74	53	48	13	38	5	14
105	97	100	100	9	4	8	6	14
105	98	11	71	0	71	46	7	14
106	1	NA	NA	NA	NA	NA	1	1
106	2	NA	NA	NA	NA	NA	2	1
106	3	NA	NA	NA	NA	NA	3	1
106	4	NA	NA	NA	NA	NA	4	1
106	5	NA	NA	NA	NA	NA	5	1
106	6	53	89	0	0	76	6	1
106	7	99	100	0	0	2	7	1
106	8	48	17	0	59	83	1	2
106	9	15	0	0	52	85	2	2
106	10	91	84	0	0	100	3	2
106	11	82	63	0	6	68	4	2
106	12	NA	NA	NA	NA	NA	5	2
106	13	48	76	4	8	20	6	2
106	14	91	93	0	0	0	7	2
106	15	66	17	0	7	22	1	3
106	16	84	82	6	8	16	2	3
106	17	57	76	0	52	68	3	3
106	18	65	45	9	63	80	4	3
106	19	50	38	28	7	69	5	3
106	20	65	85	0	26	41	6	3
106	21	88	90	0	0	16	7	3
106	22	NA	NA	NA	NA	NA	1	4
106	23	NA	NA	NA	NA	NA	2	4
106	24	NA	NA	NA	NA	NA	3	4
106	25	NA	NA	NA	NA	NA	4	4
106	26	NA	NA	NA	NA	NA	5	4
106	27	92	84	0	0	6	6	4
106	28	NA	NA	NA	NA	NA	7	4
106	29	85	80	0	0	0	1	5
106	30	84	84	0	14	0	2	5
106	31	NA	NA	NA	NA	NA	3	5
106	32	64	66	0	1	6	4	5
106	33	57	32	7	20	82	5	5
106	34	55	51	50	2	58	6	5
106	35	64	26	0	0	80	7	5
106	36	53	58	18	3	46	1	6
106	37	49	45	0	89	83	2	6
106	38	52	13	6	40	74	3	6
106	39	33	47	0	8	88	4	6
106	40	55	74	13	0	30	5	6
106	41	16	32	79	0	56	6	6
106	42	24	11	76	18	60	7	6
106	43	NA	NA	NA	NA	NA	1	7
106	44	NA	NA	NA	NA	NA	2	7
106	45	55	18	0	47	68	3	7
106	46	30	11	10	6	14	4	7
106	47	47	0	1	0	84	5	7
106	48	42	0	0	22	100	6	7
106	49	NA	NA	NA	NA	NA	7	7
106	50	NA	NA	NA	NA	NA	1	8
106	51	NA	NA	NA	NA	NA	2	8
106	52	NA	NA	NA	NA	NA	3	8
106	53	NA	NA	NA	NA	NA	4	8
106	54	NA	NA	NA	NA	NA	5	8
106	55	NA	NA	NA	NA	NA	6	8
106	56	NA	NA	NA	NA	NA	7	8
106	57	61	48	0	11	57	1	9
106	58	13	0	0	89	84	2	9
106	59	46	13	22	14	86	3	9
106	60	NA	NA	NA	NA	NA	4	9
106	61	NA	NA	NA	NA	NA	5	9
106	62	49	0	0	13	88	6	9
106	63	NA	NA	NA	NA	NA	7	9
106	64	NA	NA	NA	NA	NA	1	10
106	65	38	49	0	17	40	2	10
106	66	54	67	0	0	23	3	10
106	67	90	100	1	44	5	4	10
106	68	NA	NA	NA	NA	NA	5	10
106	69	67	65	8	0	16	6	10
106	70	91	92	2	0	16	7	10
106	71	NA	NA	NA	NA	NA	1	11
106	72	NA	NA	NA	NA	NA	2	11
106	73	NA	NA	NA	NA	NA	3	11
106	74	NA	NA	NA	NA	NA	4	11
106	75	NA	NA	NA	NA	NA	5	11
106	76	NA	NA	NA	NA	NA	6	11
106	77	NA	NA	NA	NA	NA	7	11
106	78	NA	NA	NA	NA	NA	1	12
106	79	92	89	0	0	11	2	12
106	80	85	92	0	13	17	3	12
106	81	62	88	39	2	3	4	12
106	82	NA	NA	NA	NA	NA	5	12
106	83	45	56	0	0	54	6	12
106	84	33	15	0	74	56	7	12
106	85	58	62	0	0	26	1	13
106	86	84	97	0	0	20	2	13
106	87	88	99	1	1	40	3	13
106	88	52	56	27	11	88	4	13
106	89	84	82	16	19	30	5	13
106	90	65	59	7	24	74	6	13
106	91	84	79	0	0	9	7	13
106	92	64	85	0	11	71	1	14
106	93	47	12	0	2	76	2	14
106	94	47	5	10	63	91	3	14
106	95	NA	NA	NA	NA	NA	4	14
106	96	48	22	2	17	85	5	14
106	97	47	14	53	91	88	6	14
106	98	81	80	0	2	18	7	14
107	1	58	70	0	0	0	1	1
107	2	71	65	0	0	8	2	1
107	3	70	67	0	0	16	3	1
107	4	82	87	0	0	0	4	1
107	5	49	54	0	0	16	5	1
107	6	70	90	0	0	1	6	1
107	7	95	100	0	1	0	7	1
107	8	65	44	0	0	36	1	2
107	9	73	77	0	0	15	2	2
