id	day	sleep_quality	physical_activity	pa	na	learning_goal_achievement	beep
1	1	3	30	2.666666667	3.666666667	2	1
1	2	3	60	3.333333333	3	1	1
1	3	3	360	2.666666667	4	0	1
1	4	3	780	1.333333333	5	1	1
1	6	3	210	3	4.666666667	2	1
1	8	3	310	4	3.666666667	2	1
1	9	3	90	3.333333333	3.333333333	0	1
1	10	3	405	3.333333333	2.666666667	2	1
1	11	3	405	2.333333333	2.666666667	2	1
1	12	3	360	3	4	2	1
1	13	3	270	1.666666667	5.666666667	1	1
1	14	3	30	3.333333333	2.333333333	2	1
1	15	3	540	2.666666667	2	1	1
1	17	2	405	4.333333333	3.333333333	1	1
1	18	3	405	2.666666667	3	1	1
1	19	3	540	2.666666667	3.333333333	1	1
1	21	3	60	3.666666667	2.666666667	2	1
1	22	3	405	3.333333333	3	1	1
1	23	3	405	3.333333333	3.333333333	2	1
1	24	2	60	1.666666667	4.666666667	2	1
1	25	3	405	5	2.666666667	2	1
1	26	3	330	3.666666667	2.666666667	1	1
1	27	3	435	2	3.666666667	2	1
1	29	3	525	3.666666667	2.666666667	2	1
1	30	3	270	4	2.666666667	3	1
1	31	3	405	2	3.333333333	1	1
1	32	2	390	5.333333333	2	NA	1
2	1	3	190	5.666666667	2.666666667	2	1
2	2	4	290	6	2	3	1
2	3	3	235	5.666666667	3	2	1
2	4	3	520	5.666666667	1.5	1	1
2	5	4	435	6.333333333	1.666666667	2	1
2	6	3	300	5.666666667	2.666666667	3	1
2	7	3	360	6.333333333	2	3	1
2	8	2	375	6.333333333	2	2	1
2	9	3	290	6	1.333333333	3	1
2	10	3	620	5	1	3	1
2	11	4	980	7	1	3	1
2	12	4	780	6	1.333333333	3	1
2	13	4	460	6.666666667	1.333333333	4	1
2	14	4	390	5.333333333	2	3	1
2	15	3	420	4.666666667	3.666666667	3	1
2	16	3	480	5	3.666666667	3	1
2	17	4	825	6.333333333	2	3	1
2	18	3	900	5.333333333	1	3	1
2	19	2	420	5.666666667	2	3	1
2	20	4	330	6	1.333333333	3	1
2	21	3	240	5.666666667	1.333333333	3	1
2	22	2	840	5.333333333	2.333333333	3	1
2	23	4	235	5.333333333	2	4	1
2	24	3	660	5.333333333	3	2	1
2	25	3	1160	4.666666667	5	2	1
2	26	NA	480	5.333333333	3	3	1
2	27	4	1260	6	1	3	1
2	28	4	430	5.666666667	1.333333333	3	1
2	29	4	720	6	2	3	1
2	30	1	660	5.666666667	2	3	1
2	31	4	870	6	2.666666667	2	1
2	32	4	1620	6.666666667	1	NA	1
3	1	3	720	5	1.666666667	2	1
3	2	3	720	4.666666667	1	3	1
3	3	3	360	4.333333333	2.333333333	2	1
3	4	2	900	4.666666667	3.333333333	2	1
3	5	3	360	4.666666667	2.333333333	3	1
3	6	4	360	4.666666667	3	3	1
3	7	3	585	4.333333333	2.333333333	3	1
3	8	2	720	4	2.666666667	2	1
3	9	2	855	4.333333333	2.333333333	3	1
3	10	3	180	2.333333333	5.333333333	2	1
3	11	2	810	4	3.333333333	3	1
3	12	3	990	3	4.333333333	2	1
3	13	3	380	3.666666667	3.333333333	3	1
3	14	3	340	3.666666667	2.333333333	3	1
3	15	1	1355	2.333333333	6.333333333	2	1
3	16	3	0	2.333333333	5.666666667	3	1
3	17	4	150	2.666666667	4.333333333	3	1
3	18	3	355	2.666666667	4	3	1
3	19	3	355	3.333333333	4	4	1
3	20	3	315	3	4.666666667	2	1
3	21	4	0	3.666666667	3.666666667	3	1
3	22	2	0	4.666666667	2	4	1
3	23	2	0	5	2	4	1
3	24	2	0	3.666666667	2.333333333	3	1
3	25	3	0	5	2	3	1
3	26	3	0	4.333333333	2	3	1
3	27	3	0	3.666666667	2.666666667	2	1
3	28	3	0	4.666666667	1.666666667	4	1
3	29	4	175	4	2	3	1
3	30	1	855	4.333333333	1.333333333	3	1
3	31	3	0	4	1.333333333	3	1
3	32	3	1080	5.333333333	1.333333333	NA	1
4	1	3	740	3.333333333	3.666666667	2	1
4	2	4	175	3	2.666666667	2	1
4	3	3	235	3.666666667	2	1	1
4	4	2	75	2.333333333	4.333333333	0	1
4	5	3	150	3	3	2	1
4	6	3	420	4	3	1	1
4	7	2	270	6	2.666666667	1	1
4	8	2	200	2	4.333333333	2	1
4	9	3	250	4.666666667	2.666666667	2	1
4	10	3	830	4.666666667	3.666666667	2	1
4	11	2	160	2.666666667	3.666666667	2	1
4	12	2	102	3	5.666666667	2	1
4	13	3	60	3	3.333333333	1	1
4	14	3	45	2.333333333	4	2	1
4	15	2	60	2.333333333	4	1	1
4	16	3	420	2.333333333	3	2	1
4	17	2	165	2.666666667	3	1	1
4	18	3	45	1.666666667	3.333333333	0	1
4	19	2	30	2	3	1	1
4	20	2	0	2.333333333	3.333333333	1	1
4	21	3	45	1.333333333	5	1	1
4	22	2	60	1.666666667	3	0	1
4	23	3	90	2	2.666666667	1	1
4	24	3	90	2.333333333	3.666666667	1	1
4	25	2	85	2.666666667	4.333333333	1	1
4	26	3	540	3.333333333	2.333333333	2	1
4	27	3	60	3	2.333333333	2	1
4	28	3	150	3.333333333	2	2	1
4	29	3	60	2.333333333	3	2	1
4	30	2	390	2.666666667	3	1	1
4	31	2	405	2.333333333	2.666666667	2	1
4	32	2	795	4.666666667	2	NA	1
5	1	4	45	3	4.666666667	2	1
5	2	3	30	4.666666667	2.666666667	0	1
5	3	3	315	4	3.666666667	3	1
5	4	3	0	5.333333333	2.333333333	2	1
5	5	2	45	4	4.333333333	2	1
5	6	3	0	5	3.333333333	2	1
5	7	3	30	5.666666667	1.666666667	3	1
5	8	3	45	4.333333333	2.666666667	2	1
5	9	2	55	5	3	2	1
5	10	3	30	6	1.333333333	2	1
5	11	2	45	3.333333333	4	2	1
5	12	3	0	6	1.333333333	3	1
5	13	3	355	6	2	2	1
5	14	4	15	6	1	3	1
5	15	2	30	1	6.666666667	2	1
5	16	4	65	6	1.666666667	4	1
5	17	1	90	5.333333333	1.666666667	1	1
5	18	1	90	1	7	0	1
5	19	3	80	2	6.333333333	1	1
5	20	2	45	4.333333333	3	2	1
5	21	2	0	4.333333333	5	2	1
5	22	1	45	6	1.666666667	2	1
5	23	2	0	2	5.666666667	0	1
5	24	2	0	4	3.333333333	1	1
5	25	1	100	4	3.333333333	1	1
5	26	3	0	6	1.666666667	1	1
5	27	3	160	5.666666667	1	3	1
5	28	3	0	6	1.333333333	3	1
5	29	3	0	6	2.333333333	2	1
5	30	1	30	4	4	3	1
5	31	3	30	6	1.333333333	2	1
5	32	2	134	5.666666667	1.333333333	NA	1
6	1	3	375	5	3.333333333	3	1
6	2	3	230	4	4	2	1
6	3	3	200	3.666666667	4.666666667	3	1
6	4	3	260	4	4	2	1
6	5	3	200	3	4.333333333	2	1
6	7	2	330	3	4.333333333	1	1
6	8	3	280	3	4	3	1
6	9	3	255	3	3	2	1
6	10	3	0	3	3	2	1
6	11	2	230	3	3.666666667	2	1
6	12	2	180	3.333333333	4.333333333	3	1
6	13	2	150	3	3.333333333	2	1
6	14	2	0	3.666666667	3	3	1
6	15	1	250	3.333333333	4	3	1
6	16	2	200	3.333333333	3.666666667	3	1
6	17	3	200	3	4.333333333	1	1
6	18	2	0	3.333333333	3.666666667	2	1
6	19	2	1000	3.666666667	3.333333333	2	1
6	20	2	1230	3	3.333333333	1	1
6	21	2	45	2	5	2	1
6	22	3	260	2.666666667	3.333333333	2	1
6	23	3	0	3.666666667	3.666666667	3	1
6	24	3	45	3.333333333	4.333333333	3	1
6	25	3	450	2	5	1	1
6	26	3	335	2.333333333	4	3	1
6	27	2	550	2.666666667	3.666666667	1	1
6	28	2	550	3	4	2	1
6	29	2	1280	3	4	2	1
6	30	3	735	3	3	2	1
6	31	3	0	3	3	2	1
6	32	3	495	4.666666667	2	NA	1
7	2	4	2250	5.666666667	1	4	1
7	3	4	28	6	1	2	1
7	4	4	9	6	1	0	1
7	5	4	1260	6	1.333333333	4	1
