id	gender	edu_level	school_enj	school_abs	pss1	pss2	pss3	pss4	pss5	pss6	tsr1	tsr2	tsr3	tsr4	tsr5	tsr6	tsr7	tsr8	tsr9	sgse1	sgse2	sgse3	sgse4	sgse5	fsl1	fsl2	fsl3	fsl4	seqc1	seqc2	seqc3	seqc4
36008654	2	1	3	1	5	4	4	5	5	5	3	3	4	2	3	4	3	5	4	5	3	4	4	4	5	3	4	4	3	2	3	5
36013173	1	2	3	1	3	3	2	3	4	4	4	4	2	5	4	4	3	4	4	4	1	2	4	4	3	4	4	3	4	5	5	5
36019798	1	1	5	1	5	3	4	4	4	5	3	4	4	3	3	5	3	5	3	5	3	4	4	5	5	5	5	5	4	5	4	5
36032947	NA	1	1	1	2	2	1	3	4	1	4	5	4	5	5	4	5	2	5	4	1	2	1	1	4	5	5	4	4	5	5	5
36047829	1	2	4	3	3	3	3	3	4	4	4	4	4	3	3	4	5	5	5	2	2	2	1	3	4	4	5	5	4	3	3	5
36048192	1	2	4	1	4	4	4	5	5	5	5	5	3	5	4	4	4	4	4	3	4	4	5	4	4	5	5	5	4	4	3	4
36050703	2	1	3	1	4	4	4	4	4	4	3	2	2	3	3	2	3	3	1	4	3	3	5	4	4	5	5	5	4	4	5	5
36058982	2	2	3	1	4	3	3	4	5	5	3	3	4	3	3	3	3	5	4	3	5	5	5	5	3	5	4	5	5	4	3	4
36098776	1	1	4	1	4	4	4	4	4	5	3	3	4	3	3	4	3	4	3	4	3	3	4	3	5	5	5	5	4	3	5	5
36100512	2	1	4	1	4	4	4	4	5	5	4	4	4	2	4	4	3	5	4	5	4	3	4	5	5	5	5	5	2	3	2	5
36103244	1	2	4	1	4	5	4	4	4	5	4	4	2	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	5	4
36107462	2	2	4	3	3	3	3	3	4	4	3	2	2	3	3	3	4	4	4	4	4	4	4	4	4	5	5	5	3	3	3	5
36124936	1	1	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	4	5	5	5
36139353	1	2	4	1	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	3	4	4	4	5	4	4	4	3	3	2	5
36139709	1	2	4	3	4	4	4	4	4	4	3	4	4	3	3	4	4	4	4	4	3	3	3	3	4	4	4	4	3	4	4	5
36140544	NA	2	3	1	3	3	3	3	4	4	3	4	4	4	4	4	4	4	4	4	3	4	3	2	4	4	4	3	5	4	4	5
36142397	1	2	3	3	4	3	3	3	4	4	2	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	4	4	2	2	2	2
36149597	1	1	5	3	5	5	5	5	5	5	4	4	4	3	3	3	3	4	4	4	3	4	4	3	5	5	5	5	5	4	4	5
36170834	1	2	3	1	3	3	2	3	3	2	4	4	4	4	4	5	3	4	5	4	3	4	5	4	4	4	5	5	NA	4	4	5
36173803	2	1	4	1	4	5	4	3	5	5	4	4	3	4	3	4	4	4	4	4	5	4	4	4	4	4	4	5	3	4	2	5
36195573	1	2	5	1	5	5	5	4	5	5	5	5	5	5	5	4	5	5	5	4	3	4	3	2	5	5	5	5	4	4	3	5
36218410	1	2	2	1	2	2	3	3	2	4	3	4	4	3	3	3	4	3	4	3	2	3	2	3	4	5	4	4	2	3	5	5
36226100	1	1	3	1	3	3	3	3	4	4	4	3	3	4	4	3	4	3	4	1	2	3	3	3	2	2	2	3	2	1	2	2
36227790	2	2	4	2	1	3	2	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	5	5	5	4	4	4	4	3	4	4
36229296	2	2	4	1	5	5	5	5	5	5	4	4	3	4	3	4	4	5	4	5	4	5	5	5	5	5	5	5	5	5	4	5
36244258	2	2	5	2	4	4	5	5	5	5	2	3	2	4	5	2	4	5	4	5	4	4	4	5	5	5	5	4	5	5	5	5
36259142	1	2	3	3	4	4	4	4	4	5	3	4	3	3	4	3	4	4	3	2	1	4	4	4	4	4	4	4	4	4	1	5
36286083	1	1	4	3	4	3	2	3	4	5	2	2	3	2	2	2	3	4	2	3	1	3	2	1	3	4	4	4	2	2	3	4
36332234	2	2	4	3	4	4	4	4	5	5	3	2	3	3	3	3	3	4	3	2	3	3	3	3	4	4	5	5	3	2	2	4
36338943	2	1	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
36348469	1	2	4	2	4	4	4	5	5	5	3	3	4	3	4	5	4	5	4	5	5	5	5	4	5	5	5	5	2	3	2	4
36353940	1	1	3	1	2	1	1	1	1	5	4	4	3	2	3	3	3	4	4	4	2	3	4	3	2	1	1	3	1	4	3	5
36361837	1	1	2	3	4	3	4	3	4	4	2	2	3	1	2	2	2	2	2	3	2	2	3	1	3	2	2	3	3	3	4	5
36365995	2	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	5	4	3	3	4	2	5	5	5	4	4	4	3	4
36387993	2	1	4	1	4	4	4	3	4	4	4	3	3	4	4	4	3	4	4	4	3	2	3	3	4	4	4	5	1	2	1	3
36388235	1	1	4	1	2	2	3	1	2	5	3	2	2	2	2	2	4	3	2	3	1	2	2	2	4	5	4	5	2	2	3	5
36390602	1	1	4	2	3	3	4	4	5	5	3	3	4	4	3	3	3	4	3	4	3	3	3	3	3	2	3	5	3	4	2	5
36413057	1	1	4	2	5	3	5	3	5	5	3	3	4	1	4	4	2	4	4	3	3	3	3	3	3	2	2	1	4	5	5	5
36426726	1	1	3	1	4	4	4	4	4	5	3	3	4	3	2	4	2	5	3	4	3	4	4	3	4	4	4	4	3	3	5	5
36435923	2	1	4	2	4	3	3	3	2	4	4	4	4	3	2	4	4	4	4	2	3	4	2	3	3	3	3	4	3	2	4	5
36436323	2	1	5	1	5	5	5	5	5	5	4	2	2	2	2	2	4	5	3	5	4	5	5	4	5	5	5	5	5	5	5	5
36437668	2	2	4	1	5	5	5	5	5	5	4	4	4	5	5	4	5	5	5	5	4	4	4	4	5	5	5	5	4	4	4	5
36438287	2	1	4	1	4	5	4	4	5	5	2	4	1	2	4	4	4	5	4	5	4	4	5	4	4	2	4	5	5	5	5	5
36444054	2	1	3	1	2	3	3	4	4	4	2	3	3	3	4	3	2	4	4	4	3	4	4	4	5	5	4	5	3	3	4	5
36479528	1	1	4	1	3	2	3	2	3	5	4	4	4	4	4	3	4	3	3	4	4	4	3	5	5	5	5	5	5	5	5	5
36508707	1	1	4	1	4	4	3	4	5	5	4	4	5	5	3	3	4	4	4	5	4	4	4	4	5	5	5	5	3	3	4	5
36518102	2	1	4	1	4	4	4	4	5	5	4	3	4	3	4	4	4	4	4	4	3	3	4	3	5	5	5	5	2	3	3	5
