id	notification_time	time	beep	notification_no	day	reminder	session_instance_response_lapse	session_length	morning_sleep	morning_breakfast	morning_ok	enjoy_all	stress_all	motivated_all	angry_all	liked_all	lonely_all	alert_all	hostile_all	le_enjoy_all	le_diff_all	le_intr_all	te_str_all	te_fair_all	te_enc_all	peer_rel_all	schoolday_satisfaction
17000272	2022-11-21T09:45:00Z	4	2	1	1	0	00:01:23.000000	00:01:20.000000	NA	NA	NA	3	4	2	2	3	2	1	NA	1	3	1	2	NA	3	3	NA
17000272	2022-11-21T13:04:59Z	5	3	1	1	0	00:01:03.000000	00:03:14.000000	NA	NA	NA	3	4	2	NA	3	3	1	2	NA	2	2	4	3	2	2	NA
17000272	2022-11-22T07:15:00Z	83	1	9	11	0	00:57:34.000000	00:00:19.000000	4	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17000272	2022-11-22T09:45:00Z	12	2	2	2	1	00:57:23.000000	00:02:49.000000	NA	NA	NA	3	4	2	2	3	3	NA	4	1	3	2	3	NA	4	4	NA
17000272	2022-11-22T13:04:59Z	13	3	2	2	0	00:28:13.000000	00:01:14.000000	NA	NA	NA	3	4	2	1	3	3	1	NA	2	1	NA	3	4	3	4	NA
17000272	2022-11-22T17:30:00Z	62	4	6	8	0	00:00:05.000000	00:00:23.000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
17000272	2022-11-23T07:15:00Z	75	1	8	10	0	00:02:11.000000	00:00:21.000000	3	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17000272	2022-11-23T09:45:00Z	20	2	3	3	0	00:00:58.000000	00:00:53.000000	NA	NA	NA	3	4	2	1	3	NA	1	3	2	NA	2	2	3	4	4	NA
17000272	2022-11-23T13:04:59Z	21	3	3	3	0	00:05:45.000000	00:01:03.000000	NA	NA	NA	3	4	2	1	3	3	NA	3	2	3	2	3	NA	3	4	NA
17000272	2022-11-24T07:15:00Z	35	1	5	5	0	00:47:49.000000	00:00:13.000000	3	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17000272	2022-11-24T09:45:00Z	28	2	4	4	0	00:00:28.000000	00:00:42.000000	NA	NA	NA	3	4	2	2	NA	2	1	3	4	1	NA	1	3	2	5	NA
