id	timestamp	extraversion	agreeableness	conscientiousness	emotional_stability	openness	date	day	beep
539	1327921571	2	1	5	5.5	4	2012-01-30T11:06:11Z	1	NA
539	1327929823	4.5	5	5.5	7	3.5	2012-01-30T13:23:43Z	1	NA
539	1327939889	3.5	5.5	6.5	6.5	4	2012-01-30T16:11:29Z	1	NA
539	1328015024	3	4.5	4.5	6.5	3.5	2012-01-31T13:03:44Z	2	NA
539	1328028954	4.5	5.5	6.5	5.5	5.5	2012-01-31T16:55:54Z	2	NA
539	1328093326	3.5	4	6.5	5	4.5	2012-02-01T10:48:46Z	3	NA
539	1328105167	5.5	5	7	5	4	2012-02-01T14:06:07Z	3	NA
539	1328112062	1.5	5.5	5	6.5	3	2012-02-01T16:01:02Z	3	NA
539	1328179550	3.5	6	6.5	5.5	4.5	2012-02-02T10:45:50Z	4	NA
539	1328189088	4.5	6.5	6.5	7	4	2012-02-02T13:24:48Z	4	NA
539	1328198933	3	6	5	6.5	3.5	2012-02-02T16:08:53Z	4	NA
539	1328264667	3	3	6.5	5	2.5	2012-02-03T10:24:27Z	5	NA
539	1328274658	3	5	6.5	6	4	2012-02-03T13:10:58Z	5	NA
539	1328609265	2.5	6	7	5.5	3.5	2012-02-07T10:07:45Z	9	NA
539	1328620935	4	1.5	4.5	3	4.5	2012-02-07T13:22:15Z	9	NA
539	1328631759	3.5	3	5	5	2	2012-02-07T16:22:39Z	9	NA
539	1328698234	2.5	3	5.5	3	3	2012-02-08T10:50:34Z	10	NA
539	1328707018	3	6	3.5	3.5	4.5	2012-02-08T13:16:58Z	10	NA
539	1328716891	3.5	6	6	5.5	4	2012-02-08T16:01:31Z	10	NA
539	1328783506	5	7	6	6.5	6.5	2012-02-09T10:31:46Z	11	NA
539	1328793559	5	5	6.5	7	3.5	2012-02-09T13:19:19Z	11	NA
539	1328869781	1.5	5.5	5	5	4.5	2012-02-10T10:29:41Z	12	NA
539	1328879554	4	5.5	6	6	4	2012-02-10T13:12:34Z	12	NA
539	1329130632	4	5	6.5	5.5	4	2012-02-13T10:57:12Z	15	NA
539	1329139810	4.5	6.5	5	5.5	3	2012-02-13T13:30:10Z	15	NA
539	1329148926	3.5	4	5.5	4	3.5	2012-02-13T16:02:06Z	15	NA
539	1329215458	1	4.5	6	6	4	2012-02-14T10:30:58Z	16	NA
539	1329225855	1	6	6	6	2.5	2012-02-14T13:24:15Z	16	NA
539	1329236874	4	4	6.5	3.5	3	2012-02-14T16:27:54Z	16	NA
539	1329307177	3.5	4	6	4.5	4.5	2012-02-15T11:59:37Z	17	NA
539	1329312534	4.5	4.5	5.5	1.5	3.5	2012-02-15T13:28:54Z	17	NA
539	1329322199	2	5	4.5	1.5	5	2012-02-15T16:09:59Z	17	NA
539	1329388531	4.5	5.5	4	5	5	2012-02-16T10:35:31Z	18	NA
539	1329397826	4	6.5	6.5	6.5	3.5	2012-02-16T13:10:26Z	18	NA
