id	os	day	day_of_week	beep	survey_type	run_timestamp	submission_timestamp	well	discontent	state	tense	calm	placid	awake	energyless	rested	what	how	whom	n_people	too_much	work_fast	multitasking	hard_work	change_task	decide_task	schedule_task
S001	iOS	1	Monday	2	work	2018-12-03T10:22:29Z	2018-12-03T10:24:34Z	4	3	3	6	7	6	1	4	2	ANALYSIS	PC	COLL	1	5	4	3	3	4	7	4
S001	iOS	1	Monday	3	work	2018-12-03T12:05:17Z	2018-12-03T12:07:35Z	5	4	4	2	6	5	3	5	2	NETWORKING	FACE2FACE	COLL,OVER	5	5	2	4	3	1	1	3
S001	iOS	1	Monday	4	work	2018-12-03T13:27:32Z	2018-12-03T13:30:19Z	6	4	6	2	6	6	5	4	4	BREAK,NETWORKING	FACE2FACE	COLL,FAMILY	5	5	3	2	2	1	2	2
S001	iOS	1	Monday	7	work	2018-12-03T18:00:27Z	2018-12-03T18:02:27Z	6	4	4	3	3	5	1	6	2	AUTHORING,DISSEMINATION	PC	ALONE	0	5	5	3	5	3	7	7
S001	iOS	2	Wednesday	3	work	2018-12-05T11:56:18Z	2018-12-05T11:58:28Z	5	3	5	4	6	5	4	3	5	NETWORKING,ADMINISTRATIVE	FACE2FACE,PC,SMARTPHONE	COLL,OVER,UNDER	50	3	2	2	3	1	1	1
S001	iOS	2	Wednesday	6	work	2018-12-05T16:34:15Z	2018-12-05T16:35:57Z	5	4	3	3	4	7	2	6	2	NETWORKING	FACE2FACE,PC	COLL,OVER	30	1	1	2	2	1	1	1
S001	iOS	2	Wednesday	7	work	2018-12-05T17:59:33Z	2018-12-05T18:01:33Z	5	4	5	4	6	6	2	5	3	OTHER	PC,FACE2FACE	COLL	1	4	5	3	3	7	7	7
S001	iOS	3	Friday	3	work	2019-01-25T12:00:19Z	2019-01-25T12:01:52Z	6	3	6	3	2	6	5	3	5	ACQUISITION,ANALYSIS,AUTHORING	PC,FACE2FACE	ALONE	0	5	3	6	4	6	7	7
S001	iOS	3	Friday	4	work	2019-01-25T13:25:59Z	2019-01-25T13:27:42Z	6	4	4	3	4	7	4	3	5	BREAK,AUTHORING	PC,OTHER	ALONE	0	5	2	5	5	7	6	6
S001	iOS	3	Friday	6	work	2019-01-25T16:48:54Z	2019-01-25T16:50:44Z	5	4	5	3	6	6	2	7	2	ACQUISITION,ANALYSIS,AUTHORING	PC	ALONE	0	6	6	3	6	7	7	7
S001	iOS	3	Friday	7	work	2019-01-25T18:10:32Z	2019-01-25T18:12:00Z	4	3	6	4	6	5	1	6	2	ACQUISITION	PC	ALONE	0	5	5	3	5	7	7	7
S002	iOS	1	Friday	1	baseline	2019-01-18T09:15:05Z	2019-01-18T09:16:53Z	5	3	4	3	1	1	1	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S002	iOS	1	Friday	2	work	2019-01-18T10:38:03Z	2019-01-18T10:39:25Z	6	5	5	4	2	2	3	4	2	ACQUISITION	PC	ALONE	0	3	1	1	2	6	6	6
S002	iOS	1	Friday	4	work	2019-01-18T13:41:13Z	2019-01-18T13:42:26Z	6	4	5	6	3	3	4	3	4	ACQUISITION	PC	ALONE	0	5	4	3	4	6	6	6
S002	iOS	1	Friday	5	work	2019-01-18T14:59:52Z	2019-01-18T15:00:56Z	4	2	4	2	3	3	6	2	5	ACQUISITION	PC	ALONE	0	5	3	3	4	6	6	6
S002	iOS	1	Friday	7	work	2019-01-18T18:10:34Z	2019-01-18T18:11:29Z	4	5	5	3	3	2	6	3	2	ACQUISITION	PC	ALONE	0	6	4	3	6	6	6	6
S002	iOS	2	Monday	3	work	2019-01-21T12:09:16Z	2019-01-21T12:10:24Z	5	3	5	3	3	5	3	5	4	ACQUISITION	PC	ALONE	0	4	3	5	4	6	6	6
S002	iOS	2	Monday	4	work	2019-01-21T13:29:44Z	2019-01-21T13:30:41Z	5	5	4	3	3	3	4	4	4	ACQUISITION	PC	ALONE	0	5	3	6	7	6	7	6
S002	iOS	2	Monday	5	work	2019-01-21T14:57:25Z	2019-01-21T14:58:09Z	4	3	5	5	2	2	6	2	5	ACQUISITION	PC	ALONE	0	4	4	6	6	6	6	7
S002	iOS	2	Monday	6	work	2019-01-21T16:21:04Z	2019-01-21T16:21:45Z	6	4	4	6	3	2	6	3	6	ACQUISITION	PC	ALONE	0	4	3	3	6	6	6	6
