id	treatment	week	burden_high	day	compliance	form	missing	well	awake	relaxed	good	rested	pleased	calm	happy	report_easy	report_sure	assertive	organized	talkative	persistent	outgoing	study_burden	study_interfere	study_annoy	beep	rt_mdbf5_8	rt_pers1_3	rt_pers4_5
AAEJD	3-9	1	0	1	1	Form_3MZP	NA	3	4	3	4	4	3	6	4	3	3	NA	2	5	3	NA	NA	NA	NA	NA	44419	43689	14266
AAEJD	3-9	1	0	1	0	Missing	Ignored	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAEJD	3-9	1	0	1	1	Form_abends	NA	5	3	5	6	4	5	5	5	5	6	NA	4	5	4	NA	1	2	1	NA	15617	22086	37852
AAEJD	3-9	1	0	2	1	Form_3MZP	NA	4	5	3	5	5	5	5	6	4	5	5	NA	5	NA	5	NA	NA	NA	NA	15616	29724	19778
AAEJD	3-9	1	0	2	0	Missing	Ignored	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAEJD	3-9	1	0	2	1	Form_abends	NA	5	3	5	5	4	5	6	5	5	5	NA	NA	4	NA	NA	3	2	2	NA	20157	42907	13335
AAEJD	3-9	1	0	3	1	Form_3MZP	NA	4	5	3	5	5	4	4	4	5	5	5	6	4	6	4	NA	NA	NA	NA	20785	19214	14440
AAEJD	3-9	1	0	3	1	Form_3MZP	NA	4	4	3	4	3	4	5	4	5	5	5	6	NA	6	3	NA	NA	NA	NA	11425	17954	9841
AAEJD	3-9	1	0	3	1	Form_abends	NA	5	2	6	5	3	5	6	5	6	5	NA	NA	5	2	NA	2	3	3	NA	16655	11775	8241
AAEJD	3-9	1	0	4	1	Form_3MZP	NA	2	2	3	3	3	3	5	3	5	5	NA	3	3	NA	3	NA	NA	NA	NA	11283	26473	39030
AAEJD	3-9	1	0	4	1	Form_3MZP	NA	5	3	4	5	4	3	5	4	5	3	NA	3	NA	4	NA	NA	NA	NA	NA	10322	15111	7807
