id	counter	reappraisal	distraction	suppression	rumination	appreciation	sharing_affect	problem_coping	pa	na	beep	day
125	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
125	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1
125	3	2	2	3	4	2	1	5	2.4	2.6	3	1
125	4	2	4	4	3	1	1	2	3	2.4	4	1
125	5	1	2	3	4	1	1	2	2	2.6	5	1
125	6	1	3	4	4	1	2	3	1.8	3	1	2
125	7	2	2	4	4	1	2	4	2	2.4	2	2
125	8	1	2	4	5	1	1	5	2	2.6	3	2
125	9	3	2	4	3	1	1	2	2.8	1.8	4	2
125	10	2	2	4	2	1	2	5	2.8	2.6	5	2
125	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
125	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3
125	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3
125	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3
125	15	3	1	4	5	1	3	3	2.4	2.2	5	3
125	16	3	1	5	2	2	3	4	2.6	1.6	1	4
125	17	3	1	3	4	1	3	4	1.6	3.8	2	4
125	18	4	3	1	3	1	2	2	2.2	2.4	3	4
125	19	2	2	3	2	1	4	4	3	1.8	4	4
125	20	3	4	3	2	2	3	2	2.4	1.4	5	4
125	21	2	2	4	4	1	1	3	2.8	3	1	5
125	22	2	3	3	2	4	1	3	3.6	1.2	2	5
125	23	2	2	3	2	2	3	4	3	1.8	3	5
125	24	1	2	5	2	1	3	3	3.2	1.4	4	5
125	25	1	1	4	2	3	2	4	2.6	2.2	5	5
125	26	1	2	1	3	3	2	1	2	3	1	6
125	27	3	2	4	2	3	3	4	2.6	2.6	2	6
125	28	3	3	3	2	4	4	3	2.4	2	3	6
125	29	2	2	2	1	5	5	1	2.4	2.4	4	6
125	30	3	3	3	3	4	4	3	2.4	2	5	6
125	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7
125	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	7
125	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	7
125	34	2	1	2	1	3	3	4	2.4	2	4	7
125	35	3	2	2	1	4	4	2	2.6	2.4	5	7
125	36	3	3	2	1	4	4	3	2.4	2.4	1	8
125	37	3	3	1	1	5	5	2	2.2	2.4	2	8
125	38	1	1	3	3	2	2	2	2.2	2.6	3	8
125	39	3	2	4	2	2	3	4	2	2.4	4	8
125	40	3	1	3	2	4	4	4	2.2	2.2	5	8
125	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	9
125	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	9
125	43	3	2	1	1	3	3	2	2	2	3	9
125	44	3	1	2	1	4	3	4	2	2.4	4	9
125	45	4	2	4	2	2	1	4	2.2	2.8	5	9
125	46	3	3	3	3	4	5	3	2.4	2.2	1	10
125	47	4	3	2	2	3	3	4	2.6	2.4	2	10
125	48	3	1	1	2	4	3	2	2.4	2.2	3	10
125	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10
125	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	10
125	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	11
125	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	11
125	53	4	2	3	3	4	3	3	2.4	1.8	3	11
125	54	2	3	1	1	4	3	1	2	2	4	11
125	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11
125	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12
125	57	3	4	1	2	3	2	2	2.2	1.8	2	12
125	58	3	2	1	1	4	4	3	2.2	1.8	3	12
125	59	3	1	1	1	5	2	4	2.4	2	4	12
125	60	3	2	1	1	3	3	1	1.8	2	5	12
125	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	13
125	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	13
125	63	3	3	1	2	3	3	2	2	2.2	3	13
125	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	13
125	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	13
125	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	14
125	67	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	14
125	68	2	3	1	1	4	3	1	2.2	1.8	3	14
125	69	1	1	1	1	2	3	1	1.8	2.2	4	14
125	70	2	1	1	2	5	3	2	2	2.4	5	14
126	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
126	2	3	2	4	2	3	3	4	2.6	2.6	2	1
126	3	3	3	3	2	4	4	3	2.4	2	3	1
126	4	2	2	2	1	5	5	1	2.4	2.4	4	1
126	5	3	3	3	3	4	4	3	2.4	2	5	1
126	6	3	3	3	2	2	2	4	1.6	2.2	1	2
126	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2
126	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2
126	9	3	2	2	1	4	4	2	2.6	2.4	4	2
126	10	3	3	2	1	4	4	3	2.4	2.4	5	2
126	11	3	3	1	1	5	5	2	2.2	2.4	1	3
126	12	1	1	3	3	2	2	2	2.2	2.6	2	3
126	13	3	2	4	2	2	3	4	2	2.4	3	3
126	14	3	1	3	2	4	4	4	2.2	2.2	4	3
126	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3
126	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4
126	17	3	2	1	1	3	3	2	2	2	2	4
126	18	3	1	2	1	4	3	4	2	2.4	3	4
126	19	4	2	4	2	2	1	4	2.2	2.8	4	4
126	20	3	3	3	3	4	5	3	2.4	2.2	5	4
126	21	4	3	2	2	3	3	4	2.6	2.4	1	5
126	22	3	1	1	2	4	3	2	2.4	2.2	2	5
126	23	2	3	1	3	3	3	3	2.2	2.2	3	5
126	24	2	3	2	2	3	3	2	2.2	2.6	4	5
126	25	4	2	3	3	4	3	3	2.4	1.8	5	5
126	26	2	3	1	1	4	3	1	2	2	1	6
126	27	2	1	1	1	5	1	1	2	2.6	2	6
126	28	3	4	1	2	3	2	2	2.2	1.8	3	6
126	29	3	2	1	1	4	4	3	2.2	1.8	4	6
126	30	3	1	1	1	5	2	4	2.4	2	5	6
126	31	3	2	1	1	3	3	1	1.8	2	1	7
126	32	1	1	1	1	3	1	1	1.8	2.4	2	7
126	33	3	3	1	2	3	3	2	2	2.2	3	7
126	34	4	2	2	1	3	3	3	1.8	2	4	7
126	35	2	3	2	1	4	4	2	2.2	1.8	5	7
126	36	2	3	1	1	4	3	1	2.2	1.8	1	8
126	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	8
126	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	8
126	39	2	1	1	2	5	3	2	2	2.4	4	8
126	40	2	3	1	3	2	4	3	2.4	1.8	5	8
126	41	2	4	3	2	1	2	4	1.6	2.4	1	9
126	42	3	3	4	2	1	3	4	1.8	2.6	2	9
126	43	4	4	4	2	4	3	4	2.2	2.8	3	9
126	44	2	3	2	2	2	2	3	2.4	2.8	4	9
126	45	4	3	1	1	3	4	3	2.2	2	5	9
126	46	2	4	1	1	4	2	2	2	2.2	1	10
126	47	2	1	1	2	4	2	3	1.8	2.2	2	10
126	48	3	3	1	2	2	1	4	2.4	2.4	3	10
126	49	2	2	1	1	4	1	2	2.2	2.4	4	10
126	50	3	2	1	1	2	4	2	2.4	2	5	10
126	51	2	2	1	2	3	3	2	2	2.2	1	11
126	52	3	1	1	2	3	1	3	1.8	2.4	2	11
126	53	3	3	1	2	4	5	2	2.6	2	3	11
126	54	3	3	1	1	3	4	3	2.2	1.8	4	11
126	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11
126	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12
126	57	3	4	4	2	1	2	3	1.6	2.4	2	12
126	58	4	2	3	2	2	3	4	1.6	2.2	3	12
126	59	3	2	3	1	3	3	2	1.8	2.2	4	12
126	60	2	2	1	1	3	2	2	2.2	1.8	5	12
126	61	2	1	1	1	4	5	2	2	1.6	1	13
126	62	2	2	1	1	4	2	1	2	1.8	2	13
126	63	3	3	1	1	3	3	1	2	1.6	3	13
126	64	3	1	1	1	5	5	2	2.4	2.2	4	13
126	65	2	1	1	1	5	4	1	2.4	1.8	5	13
126	66	3	2	1	1	4	2	3	2	2.2	1	14
126	67	2	2	1	1	4	1	2	1.6	2.2	2	14
126	68	3	2	1	2	2	2	3	1.8	2.2	3	14
126	69	3	2	1	1	5	3	1	2.2	1.8	4	14
126	70	2	1	1	1	4	5	1	2.4	2	5	14
130	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
130	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1
130	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1
130	4	1	1	1	1	1	1	5	2.4	1.8	4	1
130	5	4	1	1	1	1	1	2	2	1.4	5	1
130	6	1	1	1	1	5	1	3	3	1	1	2
130	7	3	3	1	2	2	4	2	2	1.8	2	2
130	8	2	2	4	2	1	1	4	2.6	1.4	3	2
130	9	4	1	1	1	1	2	4	2.2	1.8	4	2
130	10	4	1	1	1	5	3	3	2.8	1	5	2
130	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
130	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3
130	13	3	1	1	1	4	2	2	2.6	1	3	3
130	14	2	1	1	1	3	1	3	2.6	1.2	4	3
130	15	2	1	1	1	3	1	3	2.6	1.2	5	3
130	16	3	3	1	1	2	1	3	2.2	1.2	1	4
130	17	1	1	1	1	3	1	3	2.8	1.2	2	4
130	18	3	1	3	1	1	1	2	1.6	1.6	3	4
130	19	3	1	1	1	1	1	2	2.8	1.2	4	4
130	20	3	1	1	1	1	1	3	2.4	1.4	5	4
130	21	3	1	2	1	2	1	3	2.4	1	1	5
130	22	4	1	1	1	1	1	3	2.8	1	2	5
