id	day	beep	sadness	useless	manage_well	no_trust	harm	criticism	others	avoid
1	1	1	NA	NA	NA	NA	NA	NA	NA	NA
1	1	2	NA	NA	NA	NA	NA	NA	NA	NA
1	1	3	5	4	3	4	1	5	4	4
1	1	4	4	2	3	1	3	1	3	3
1	1	5	4	3	4	3	1	1	3	6
1	1	6	2	6	5	3	1	1	2	6
1	2	1	NA	NA	NA	NA	NA	NA	NA	NA
1	2	2	3	5	6	4	1	3	5	4
1	2	3	6	3	3	1	1	1	2	6
1	2	4	6	5	5	1	1	1	2	4
1	2	5	NA	NA	NA	NA	NA	NA	NA	NA
1	2	6	7	3	4	1	1	1	1	3
1	2	7	NA	NA	NA	NA	NA	NA	NA	NA
1	3	1	3	5	6	1	1	1	2	6
1	3	2	NA	NA	NA	NA	NA	NA	NA	NA
1	3	3	NA	NA	NA	NA	NA	NA	NA	NA
1	3	4	NA	NA	NA	NA	NA	NA	NA	NA
1	3	5	NA	NA	NA	NA	NA	NA	NA	NA
1	3	6	2	7	5	1	1	1	3	7
1	3	7	5	5	3	6	1	1	2	3
1	4	1	NA	NA	NA	NA	NA	NA	NA	NA
1	4	2	3	7	6	1	1	4	1	5
1	4	3	6	4	6	1	1	1	2	3
1	4	4	7	4	3	7	2	6	1	1
1	4	5	NA	NA	NA	NA	NA	NA	NA	NA
1	4	6	NA	NA	NA	NA	NA	NA	NA	NA
1	5	1	NA	NA	NA	NA	NA	NA	NA	NA
1	5	2	NA	NA	NA	NA	NA	NA	NA	NA
1	5	3	3	4	3	1	1	1	6	7
1	5	4	2	6	6	6	3	1	6	6
1	5	5	3	5	5	4	1	1	5	4
1	5	6	NA	NA	NA	NA	NA	NA	NA	NA
1	5	7	NA	NA	NA	NA	NA	NA	NA	NA
1	6	1	6	3	3	1	1	1	2	2
1	6	2	5	6	7	3	1	1	1	7
1	6	3	4	6	5	1	1	1	1	6
1	6	4	NA	NA	NA	NA	NA	NA	NA	NA
1	6	5	NA	NA	NA	NA	NA	NA	NA	NA
1	6	6	NA	NA	NA	NA	NA	NA	NA	NA
1	7	1	NA	NA	NA	NA	NA	NA	NA	NA
1	7	2	2	5	6	1	1	3	5	6
1	7	3	3	4	5	1	1	2	2	6
1	7	4	NA	NA	NA	NA	NA	NA	NA	NA
1	7	5	NA	NA	NA	NA	NA	NA	NA	NA
1	7	6	NA	NA	NA	NA	NA	NA	NA	NA
1	7	7	NA	NA	NA	NA	NA	NA	NA	NA
1	7	8	6	3	3	1	1	2	1	2
2	1	1	NA	NA	NA	NA	NA	NA	NA	NA
2	2	1	2	1	2	2	1	1	7	7
2	2	2	2	5	5	2	2	2	8	8
2	2	3	6	1	1	1	2	1	3	1
