id	day	beep	happy	relaxed	sad	angry	stressed
105	1	1	75	55	7	19	51
105	1	2	69	21	20	18	21
105	1	3	52	94	10	21	25
105	1	4	93	98	10	4	13
105	1	5	98	87	1	10	11
105	1	6	20	11	63	76	73
105	1	7	54	84	12	21	8
105	2	8	59	46	6	54	82
105	2	9	78	79	10	11	8
105	2	10	100	100	5	3	8
105	2	11	100	100	6	1	1
105	2	12	17	80	14	85	79
105	2	13	10	43	87	60	13
105	2	14	91	94	7	5	7
105	3	15	100	100	2	0	3
105	3	16	53	80	8	23	95
105	3	17	43	9	52	53	94
105	3	18	87	96	0	0	0
105	3	19	94	100	0	4	2
105	3	20	100	100	3	0	0
105	3	21	57	78	8	6	11
105	4	22	5	33	3	8	81
105	4	23	100	100	0	3	4
105	4	24	52	75	3	0	0
105	4	25	66	82	63	63	0
105	4	26	79	79	5	13	10
105	4	27	45	0	0	0	0
105	4	28	80	92	0	0	4
105	5	29	76	53	10	24	10
105	5	30	100	28	0	4	0
105	5	31	46	58	0	66	74
105	5	32	93	100	0	1	1
105	5	33	73	87	4	0	0
105	5	34	96	97	0	6	5
105	5	35	68	86	20	70	21
105	6	36	53	5	7	10	87
105	6	37	79	69	0	0	46
105	6	38	100	100	15	0	47
105	6	39	53	50	9	7	56
105	6	40	100	100	9	9	17
105	6	41	100	100	0	0	0
105	6	42	79	99	8	9	9
105	7	43	41	84	43	7	14
105	7	44	85	0	9	6	11
105	7	45	64	94	4	6	9
105	7	46	76	70	15	12	21
105	7	47	13	15	46	100	78
105	7	48	23	77	65	67	28
105	7	49	62	68	7	12	10
105	8	50	76	82	11	8	17
105	8	51	62	100	1	12	72
105	8	52	45	10	73	61	78
105	8	53	10	27	60	60	48
105	8	54	93	92	6	11	8
105	8	55	93	94	7	6	10
105	8	56	92	85	8	6	12
105	9	57	90	24	4	12	11
105	9	58	23	16	13	6	81
105	9	59	100	3	0	6	100
105	9	60	95	9	6	0	100
105	9	61	100	100	0	0	0
105	9	62	94	96	0	7	5
105	9	63	14	74	28	58	54
105	10	64	96	98	0	0	0
105	10	65	15	10	74	84	75
105	10	66	8	16	74	74	87
105	10	67	13	24	57	58	81
105	10	68	NA	NA	NA	NA	NA
105	10	69	45	51	49	52	58
105	10	70	46	34	14	16	44
105	11	71	100	100	8	4	0
105	11	72	50	81	23	17	58
105	11	73	51	70	9	19	41
105	11	74	30	25	18	47	72
105	11	75	91	75	9	10	11
105	11	76	96	100	0	1	0
105	11	77	86	71	0	6	8
105	12	78	38	70	28	42	22
105	12	79	100	100	0	0	0
105	12	80	92	100	0	0	0
105	12	81	85	66	7	11	4
105	12	82	61	40	10	46	7
105	12	83	43	94	9	7	13
105	12	84	96	61	10	13	11
105	13	85	37	61	64	62	46
105	13	86	15	12	78	72	71
105	13	87	9	13	8	23	70
105	13	88	41	48	4	12	64
105	13	89	44	10	14	45	11
105	13	90	44	62	13	46	44
105	13	91	100	97	1	0	9
105	14	92	10	4	86	86	89
105	14	93	80	19	0	2	91
105	14	94	68	88	16	16	17
105	14	95	68	85	35	11	21
105	14	96	74	53	48	13	38
105	14	97	100	100	9	4	8
105	14	98	11	71	0	71	46
106	1	1	NA	NA	NA	NA	NA
106	1	2	NA	NA	NA	NA	NA
106	1	3	NA	NA	NA	NA	NA
106	1	4	NA	NA	NA	NA	NA
106	1	5	NA	NA	NA	NA	NA
106	1	6	53	89	0	0	76
106	1	7	99	100	0	0	2
106	2	8	48	17	0	59	83
106	2	9	15	0	0	52	85
106	2	10	91	84	0	0	100
106	2	11	82	63	0	6	68
106	2	12	NA	NA	NA	NA	NA
106	2	13	48	76	4	8	20
106	2	14	91	93	0	0	0
106	3	15	66	17	0	7	22
106	3	16	84	82	6	8	16
106	3	17	57	76	0	52	68
106	3	18	65	45	9	63	80
106	3	19	50	38	28	7	69
106	3	20	65	85	0	26	41
106	3	21	88	90	0	0	16
106	4	22	NA	NA	NA	NA	NA
106	4	23	NA	NA	NA	NA	NA
106	4	24	NA	NA	NA	NA	NA
106	4	25	NA	NA	NA	NA	NA
106	4	26	NA	NA	NA	NA	NA
106	4	27	92	84	0	0	6
106	4	28	NA	NA	NA	NA	NA
106	5	29	85	80	0	0	0
106	5	30	84	84	0	14	0
106	5	31	NA	NA	NA	NA	NA
106	5	32	64	66	0	1	6
106	5	33	57	32	7	20	82
106	5	34	55	51	50	2	58
106	5	35	64	26	0	0	80
106	6	36	53	58	18	3	46
106	6	37	49	45	0	89	83
106	6	38	52	13	6	40	74
106	6	39	33	47	0	8	88
106	6	40	55	74	13	0	30
106	6	41	16	32	79	0	56
106	6	42	24	11	76	18	60
106	7	43	NA	NA	NA	NA	NA
106	7	44	NA	NA	NA	NA	NA
106	7	45	55	18	0	47	68
106	7	46	30	11	10	6	14
106	7	47	47	0	1	0	84
106	7	48	42	0	0	22	100
106	7	49	NA	NA	NA	NA	NA
106	8	50	NA	NA	NA	NA	NA
106	8	51	NA	NA	NA	NA	NA
106	8	52	NA	NA	NA	NA	NA
106	8	53	NA	NA	NA	NA	NA
106	8	54	NA	NA	NA	NA	NA
106	8	55	NA	NA	NA	NA	NA
106	8	56	NA	NA	NA	NA	NA
106	9	57	61	48	0	11	57
106	9	58	13	0	0	89	84
106	9	59	46	13	22	14	86
106	9	60	NA	NA	NA	NA	NA
106	9	61	NA	NA	NA	NA	NA
106	9	62	49	0	0	13	88
106	9	63	NA	NA	NA	NA	NA
106	10	64	NA	NA	NA	NA	NA
106	10	65	38	49	0	17	40
106	10	66	54	67	0	0	23
106	10	67	90	100	1	44	5
106	10	68	NA	NA	NA	NA	NA
106	10	69	67	65	8	0	16
106	10	70	91	92	2	0	16
106	11	71	NA	NA	NA	NA	NA
106	11	72	NA	NA	NA	NA	NA
106	11	73	NA	NA	NA	NA	NA
106	11	74	NA	NA	NA	NA	NA
106	11	75	NA	NA	NA	NA	NA
106	11	76	NA	NA	NA	NA	NA
106	11	77	NA	NA	NA	NA	NA
106	12	78	NA	NA	NA	NA	NA
106	12	79	92	89	0	0	11
106	12	80	85	92	0	13	17
106	12	81	62	88	39	2	3
106	12	82	NA	NA	NA	NA	NA
106	12	83	45	56	0	0	54
106	12	84	33	15	0	74	56
106	13	85	58	62	0	0	26
106	13	86	84	97	0	0	20
106	13	87	88	99	1	1	40
106	13	88	52	56	27	11	88
106	13	89	84	82	16	19	30
106	13	90	65	59	7	24	74
106	13	91	84	79	0	0	9
106	14	92	64	85	0	11	71
106	14	93	47	12	0	2	76
106	14	94	47	5	10	63	91
106	14	95	NA	NA	NA	NA	NA
106	14	96	48	22	2	17	85
106	14	97	47	14	53	91	88
106	14	98	81	80	0	2	18
107	1	1	58	70	0	0	0
107	1	2	71	65	0	0	8
107	1	3	70	67	0	0	16
107	1	4	82	87	0	0	0
107	1	5	49	54	0	0	16
107	1	6	70	90	0	0	1
107	1	7	95	100	0	1	0
107	2	8	65	44	0	0	36
107	2	9	73	77	0	0	15
107	2	10	66	45	0	6	27
107	2	11	56	52	0	0	27
107	2	12	66	70	0	0	15
107	2	13	76	74	0	0	0
107	2	14	91	86	0	0	16
107	3	15	49	30	12	0	36
107	3	16	56	59	0	0	12
107	3	17	54	60	0	0	19
107	3	18	74	70	0	0	0
107	3	19	65	77	0	0	0
107	3	20	74	87	0	0	0
107	3	21	87	91	0	0	0
107	4	22	76	46	0	0	16
107	4	23	80	73	0	0	32
107	4	24	78	66	0	0	21
107	4	25	70	78	0	0	16
107	4	26	67	70	0	0	8
107	4	27	53	51	0	0	20
107	4	28	72	58	0	0	8
107	5	29	52	37	0	0	34
107	5	30	53	16	0	0	72
107	5	31	51	56	0	0	47
107	5	32	64	51	0	0	0
107	5	33	66	58	0	0	0
107	5	34	73	60	0	0	28
107	5	35	79	75	0	0	8
107	6	36	70	63	0	0	11
107	6	37	52	40	0	0	26
107	6	38	66	59	0	0	13
107	6	39	65	64	0	0	18
107	6	40	79	77	0	0	11
107	6	41	81	63	0	0	11
107	6	42	78	89	0	0	8
107	7	43	68	65	0	0	16
107	7	44	63	54	0	0	25
107	7	45	66	64	0	0	19
107	7	46	54	48	0	0	34
107	7	47	83	76	0	0	10
107	7	48	86	81	0	0	0
107	7	49	85	83	0	0	0
107	8	50	62	52	0	0	21
107	8	51	62	52	0	0	21
107	8	52	68	61	0	0	9
107	8	53	63	62	0	0	13
107	8	54	57	61	9	0	13
107	8	55	77	89	0	0	0
107	8	56	88	87	0	0	0
107	9	57	75	73	0	0	5
107	9	58	70	63	0	0	35
107	9	59	63	48	0	0	36
107	9	60	72	66	0	0	0
107	9	61	78	83	0	0	0
107	9	62	83	81	0	0	0
107	9	63	85	85	0	0	0
107	10	64	74	86	0	0	0
107	10	65	87	81	0	0	0
107	10	66	80	78	13	1	10
107	10	67	85	83	0	0	0
107	10	68	76	74	0	0	0
107	10	69	84	80	0	0	0
107	10	70	77	80	0	0	0
107	11	71	74	64	0	0	11
107	11	72	76	70	1	0	10
107	11	73	84	87	0	0	9
107	11	74	88	93	0	0	0
107	11	75	88	85	0	0	0
107	11	76	85	84	0	0	0
107	11	77	91	91	0	0	0
107	12	78	67	88	0	16	0
107	12	79	73	65	0	0	18
107	12	80	83	83	0	0	11
107	12	81	87	86	0	0	0
107	12	82	81	87	0	0	0
107	12	83	86	88	0	0	0
107	12	84	85	82	0	11	0
107	13	85	70	70	0	0	11
107	13	86	75	64	1	0	29
107	13	87	85	68	0	0	15
107	13	88	62	72	0	0	19
107	13	89	77	76	0	0	12
107	13	90	77	72	0	0	15
107	13	91	80	86	0	0	3
107	14	92	34	33	79	0	60
107	14	93	57	57	46	0	11
107	14	94	72	74	4	0	0
107	14	95	76	71	0	0	0
107	14	96	78	76	0	0	0
107	14	97	88	85	0	0	0
107	14	98	88	88	0	0	0
108	1	1	NA	NA	NA	NA	NA
108	1	2	NA	NA	NA	NA	NA
108	1	3	38	26	66	65	77
108	1	4	60	57	13	7	14
108	1	5	65	53	8	5	45
108	1	6	19	12	73	8	65
108	1	7	NA	NA	NA	NA	NA
108	2	8	43	40	10	7	27
108	2	9	NA	NA	NA	NA	NA
108	2	10	37	64	7	15	41
108	2	11	49	64	13	7	31
108	2	12	13	14	12	70	70
108	2	13	66	74	31	0	20
108	2	14	73	70	5	9	30
108	3	15	33	33	78	54	77
108	3	16	22	15	68	25	37
108	3	17	51	52	55	35	20
108	3	18	32	72	64	44	29
108	3	19	28	54	33	16	65
108	3	20	72	79	7	10	21
108	3	21	70	64	8	12	39
