dominance	affiliation	pos_aff	neg_aff	stress	functioning	id	day	beep
-7.12	-7.95	1	2.6	0	2	1	NA	1
-6.41	-3.66	1.6	2.8	7	3	1	NA	1
-7.71	-5.95	1.8	2.8	5	3	1	NA	1
-9.24	-2.41	1.25	2.4	4	3	1	NA	1
-6.83	-1.83	1.8	2.2	0	3	1	NA	1
-10.95	-0.12	1.2	2.2	3	3	1	NA	1
-9.54	-4.54	1.4	2.2	4	3	1	NA	1
-8.12	-1.54	1.75	1.6	0	3	1	NA	1
-8.83	-3.24	1.6	2.4	2	3	1	NA	1
-8.12	-0.54	1.4	2.4	5	3	1	NA	1
-8.83	-1.24	1.6	2.2	3	3	1	NA	1
-10.66	-0.41	1.4	2.4	4	3	1	NA	1
NA	NA	1.8	2.2	0	3	1	NA	1
-10.24	-2.24	1.4	2.6	4	0	1	NA	1
-8.83	-3.66	1.6	2	5	3	1	NA	1
-7.12	-2.95	1.6	2.4	4	3	1	NA	1
-7.12	-2.95	1.8	2	0	3	1	NA	1
-8.54	-1.54	2	1.8	5	2	1	NA	1
-9.54	-2.95	1.6	3.2	3	3	1	NA	1
-7.12	-3.95	1.6	2.6	4	3	1	NA	1
-7.41	-4.66	1.8	2.2	5	2	1	NA	1
-8.12	-2.95	1.4	2	0	3	1	NA	1
-3.71	-5.36	1.6	3	9	3	1	NA	1
-7.54	-2.54	1.4	2.2	6	3	1	NA	1
-7.12	-2.95	1.4	2.6	2	3	1	NA	1
-8.83	-5.66	1.6	2.4	6	3	1	NA	1
-6.41	-6.66	1.4	2.2	0	3	1	NA	1
-5.41	-2.24	1.6	2.2	2	3	1	NA	1
-7.41	-0.83	2.4	1.8	0	3	1	NA	1
-8.54	-2.95	2	2.4	2	2	1	NA	1
-7.83	-2.24	1.6	2.2	3	3	1	NA	1
-8.83	-3.66	1.8	2	2	3	1	NA	1
-9.12	-1.54	1.8	2	0	3	1	NA	1
-7.12	-5.36	2	2.4	2	3	1	NA	1
-5.71	-2.95	1.8	2.2	0	3	1	NA	1
-3.83	-7.07	1.6	2.4	8	3	1	NA	1
-7.12	-4.36	1.6	2.2	0	3	1	NA	1
-6.41	-6.07	1.4	2.4	7	3	1	NA	1
-5.41	-6.07	1.6	2.2	3	3	1	NA	1
-6.41	-4.66	1.2	2.4	5	3	1	NA	1
-6.71	-2.95	1.8	2.2	3	2	1	NA	1
-6.41	-5.24	1.6	2.2	1	3	1	NA	1
-8.12	-6.36	1	3	7	3	1	NA	1
-8.12	-5.36	1.2	2.2	2	3	1	NA	1
-5.71	-7.78	1.4	2.6	5	3	1	NA	1
-5.71	-6.36	1.6	2.2	2	3	1	NA	1
-7.71	-3.95	1.6	2.2	4	3	1	NA	1
-4.71	-3.36	1.6	2.4	1	2	1	NA	1
-4	-4.66	2.2	1.8	0	2	1	NA	1
-4.71	-4.36	1.8	2.2	0	2	1	NA	1
-5.41	-4.66	1.6	2.2	2	2	1	NA	1
-4.71	-6.78	1.4	2.6	5	3	1	NA	1
-4	-6.66	1.4	2.2	0	3	1	NA	1
-3.71	-7.78	1.6	2.6	5	3	1	NA	1
-5.71	-5.36	1.8	1.6	0	3	1	NA	1
-5	-5.66	2	2	0	3	1	NA	1
-6.12	-6.36	2	2.6	4	3	1	NA	1
-4	-6.07	1.6	2.4	2	3	1	NA	1
-5	-7.48	1.4	2.6	3	3	1	NA	1
-5.71	-6.36	1.4	3.2	9	3	1	NA	1
-6.41	-7.07	1.4	2.6	5	3	1	NA	1
-4	-5.66	1.4	2.6	3	3	1	NA	1
-6.41	-8.07	1.4	2.4	3	3	1	NA	1
-4	-6.07	1.4	2.4	3	3	1	NA	1
-5	-4.66	1.6	2	0	3	1	NA	1
-4.71	-8.36	1.6	1.8	3	2	1	NA	1
-5.71	-5.36	1.6	2	0	3	1	NA	1
-6.41	-9.48	1.2	1.8	2	3	1	NA	1
-3	-9.07	1.8	2.6	3	2	1	NA	1
-7.83	-8.07	1.4	2	0	2	1	NA	1
-4.71	-6.36	1.6	2.6	1	2	1	NA	1
-6	-6.66	1.2	2	5	3	1	NA	1
-5	-8.07	1.6	2.4	5	3	1	NA	1
-5	-11.9	1	3	8	3	1	NA	1
-3.29	-7.78	1.2	3.8	5	3	1	NA	1
-4	-10.48	1.2	2.8	3	3	1	NA	1
-5	-13.9	1	4	8	3	1	NA	1
-4.71	-10.19	1	3.8	4	3	1	NA	1
-4.71	-10.19	1.2	3.2	2	3	1	NA	1
-4.71	-9.78	1.6	2.4	0	3	1	NA	1
-4	-10.48	1.6	2.6	2	2	1	NA	1
-5.71	-7.78	1.4	2	0	2	1	NA	1
-5.71	-8.78	1.4	2.2	2	2	1	NA	1
-4.71	-8.78	1.8	2	0	2	1	NA	1
-5.71	-10.78	1.4	2	0	3	1	NA	1
-6.41	-10.48	1.2	2.4	0	3	1	NA	1
-7.83	-3.07	1.4	2.4	3	3	1	NA	1
-8.12	-8.78	1.6	2.2	2	3	1	NA	1
NA	-6.66	1.25	1.25	0	3	1	NA	1
-6.71	-9.19	1.6	2.2	3	3	1	NA	1
0	-8.48	1.4	1.8	0	2	1	NA	1
-5.71	-6.78	1.4	2	2	3	1	NA	1
-8.41	1.41	3.6	5	9	1	10	NA	1
0	7	4.4	1	0	0	10	NA	1
-6.24	12.66	3.8	1	0	2	10	NA	1
-5.41	5.59	1	1	0	1	10	NA	1
1	12.66	4	1.4	0	1	10	NA	1
-1.41	5.41	2.4	1.8	0	1	10	NA	1
-2.12	10.54	4.4	1	0	0	10	NA	1
-1.41	-1.41	3.8	2.2	3	2	10	NA	1
-7	0	2	3.6	2	1	10	NA	1
7.95	-4.95	4.8	1	0	1	10	NA	1
-2	0	1	1.6	0	0	10	NA	1
-4.83	2.83	4.6	2	2	2	10	NA	1
1.88	7.78	4.4	1.8	0	1	10	NA	1
-7.41	-0.59	2.6	1.4	0	2	10	NA	1
3	2	3.4	1.4	0	0	10	NA	1
14.07	-9.83	3.4	2.8	3	0	10	NA	1
0	-1	2.4	1	0	1	10	NA	1
-1.41	5.41	3	1	0	1	10	NA	1
-2	2	2	1.4	0	1	10	NA	1
2.83	-9.83	3	2.8	2	1	10	NA	1
-6	-5	1.2	1.6	0	1	10	NA	1
4.95	-1.29	4.6	2	0	0	10	NA	1
1.76	4.24	5	1.8	0	0	10	NA	1
13.9	-7	5	2.6	0	1	10	NA	1
8.95	-11.95	3.4	4	5	2	10	NA	1
2.83	-4.41	3.4	1.4	0	1	10	NA	1
2.71	-4.71	4.4	1.4	0	1	10	NA	1
-1.41	3.07	3.8	1.6	0	1	10	NA	1
-2.83	-1.17	1	2.8	0	0	10	NA	1
1.41	-8.41	1.6	1.4	0	0	10	NA	1
4	-5	2.6	1.8	0	2	10	NA	1
-2.76	-10.24	4.8	2.6	0	2	10	NA	1
11.95	-11.95	5	3.4	0	0	10	NA	1
16.9	0	5	1	0	0	10	NA	1
11.95	4.95	5	1	0	0	10	NA	1
2.83	1.17	3.6	1.4	0	0	10	NA	1
4	-7	1	3	0	0	10	NA	1
5	0	4.8	1.8	0	0	10	NA	1
7	0	5	1	0	0	10	NA	1
9.24	0.24	3	1	0	0	10	NA	1
11.95	-9.95	4	1.2	0	0	10	NA	1
-6	0	1.2	1.8	0	0	10	NA	1
11.95	-4.95	3.8	3	0	0	10	NA	1
-1.47	-3.54	4	1.6	0	0	10	NA	1
11.95	-10.95	3.4	3	0	0	10	NA	1
11.95	-4.95	4.2	1.8	0	0	10	NA	1
14.78	-7.12	4.2	2.4	0	0	10	NA	1
7	2	5	1	0	0	10	NA	1
1.41	-12.07	3.2	1.8	0	0	10	NA	1
6.12	-8.12	5	1.8	0	1	10	NA	1
0	-4	1.4	2.4	0	0	10	NA	1
7.95	-10.95	4.6	4	9	2	10	NA	1
-2	-6	4	2.4	0	1	10	NA	1
2.83	-2.83	3.8	1.2	0	0	10	NA	1
9.66	-4.24	4.2	2.4	0	1	10	NA	1
2.24	2.83	3.4	1	0	0	10	NA	1
9.9	0	4	1.4	0	1	10	NA	1
4.24	0.76	5	1	0	1	10	NA	1
NA	-2.83	4.2	1	0	0	10	NA	1
-1.47	-3.54	4.8	1.4	0	0	10	NA	1
-2.47	-7.54	1.8	1	0	0	10	NA	1
-3.54	3.54	4.2	1	0	0	10	NA	1
-4.95	5.95	5	2.6	0	0	10	NA	1
9.54	-8.54	5	3	0	0	10	NA	1
NA	NA	2.6	2.6	0	0	10	NA	1
-1.05	-11.95	4.2	1.4	1	0	10	NA	1
0	-13.9	5	1.8	0	0	10	NA	1
NA	NA	2.75	2.6	0	0	10	NA	1
4.95	-1.88	5	2.6	0	0	10	NA	1
9.24	-2.24	5	1.8	0	0	10	NA	1
0	0	3.4	1.8	0	0	10	NA	1
5.66	8.41	4.4	3	0	0	10	NA	1
-1.05	-4.95	5	1.8	0	0	10	NA	1
10.54	-1.47	5	1.8	0	0	10	NA	1
0	9.9	4.4	2.2	0	0	10	NA	1
-9.95	4.95	5	2.4	0	0	10	NA	1
2.19	0.71	5	2.2	0	0	10	NA	1
7.66	0.24	5	1.4	0	2	10	NA	1
9.95	11.95	5	3.4	0	0	10	NA	1
11.95	-11.95	4.6	3.4	9	0	10	NA	1
11.24	5.66	5	1.8	0	0	10	NA	1
-5	0	4.2	3.4	3	0	10	NA	1
4.95	4.95	5	2.6	0	0	10	NA	1
3.54	-0.64	5	1.8	0	0	10	NA	1
4.17	2.83	5	2.6	0	0	10	NA	1
-0.83	-3.17	4.6	2.8	0	0	10	NA	1
1.71	16.19	4.8	1	1	1	11	NA	1
5.83	10.07	5	1.8	6	3	11	NA	1
6.83	14.07	4.6	1	4	1	11	NA	1
4	16.9	5	1	0	1	11	NA	1
4	16.9	4.4	1.2	4	1	11	NA	1
6.83	14.07	4	1	0	1	11	NA	1
-2.12	14.78	3	1.2	2	2	11	NA	1
4	16.9	4.6	1	0	1	11	NA	1
3	16.9	4.4	1	1	1	11	NA	1
0	16.9	3.8	1	0	0	11	NA	1
0	16.9	4.8	1	2	1	11	NA	1
0	16.9	4.8	1.4	5	2	11	NA	1
0	16.9	4.4	1.6	2	1	11	NA	1
0	16.9	4.8	1	0	2	11	NA	1
0	16.9	4.6	1.2	2	2	11	NA	1
0	16.9	4.4	1.4	4	2	11	NA	1
0	16.9	5	1	2	2	11	NA	1
0	16.9	5	1.2	3	1	11	NA	1
0	16.9	4.2	2	3	3	11	NA	1
6.83	14.07	5	1	2	1	11	NA	1
0	16.9	5	1	0	0	11	NA	1
0	16.9	4.4	1.4	4	2	11	NA	1
1.17	14.07	4.2	2.6	3	4	11	NA	1
-4.95	11.95	4.2	2.2	3	3	11	NA	1
0	16.9	4.4	1.4	2	2	11	NA	1
0	16.9	5	1	0	0	11	NA	1
-4.24	9.66	3.2	2.4	5	3	11	NA	1
-0.71	16.19	4.2	1.4	2	0	11	NA	1
-0.71	16.19	3.6	1.2	3	1	11	NA	1
0	16.9	4	1	1	1	11	NA	1
0	16.9	4.2	1	0	0	11	NA	1
0	NA	5	1.2	2	0	11	NA	1
-1.41	15.48	4.4	1	1	0	11	NA	1
0	16.9	4.2	1.2	6	4	11	NA	1
0	16.9	4.4	1	6	1	11	NA	1
0	16.9	4.2	1	2	1	11	NA	1
0	16.9	5	1	0	0	11	NA	1
2.83	14.07	4.2	2.2	6	4	11	NA	1
-7.78	6.12	2.4	1.2	3	4	11	NA	1
-4.95	5.95	1.4	1.4	7	4	11	NA	1
