id	begin_day_ema	begin_time_ema	finish_day_ema	finish_time_ema	begin_day_eod	begin_time_eod	finish_day_eod	finish_time_eod	duration_ema	duration_eod	happy	ashamed	proud	nervous	confident	hostile	sad	excited	angry	relaxed	interaction	dom_sub_you	warm_cold_you	happy_interaction	nervous_interaction	sad_interaction	excited_interaction	angry_interaction	relaxed_interaction	day	beep
1	2018-11-02T00:00:00Z	2018-11-02T20:44:02Z	2018-11-02T00:00:00Z	2018-11-02T20:50:52Z	NA	NA	NA	NA	410	NA	21	22	18	50	14	30	68	24	13	40	1	0	30	45	51	50	50	3	28	1	NA
1	2018-11-02T00:00:00Z	2018-11-02T23:34:33Z	2018-11-02T00:00:00Z	2018-11-02T23:38:53Z	NA	NA	NA	NA	260	NA	25	22	12	64	13	10	61	21	8	29	1	-3	10	38	45	58	49	14	27	1	NA
1	2018-11-03T00:00:00Z	2018-11-03T15:16:38Z	2018-11-03T00:00:00Z	2018-11-03T15:21:01Z	2018-11-03T00:00:00Z	2018-11-04T01:00:08Z	2018-11-03T00:00:00Z	2018-11-03T04:00:00Z	263	-75608	43	20	22	58	30	14	29	27	11	39	1	1	19	45	46	25	55	18	51	2	NA
1	2018-11-03T00:00:00Z	2018-11-03T18:00:14Z	2018-11-03T00:00:00Z	2018-11-03T18:04:05Z	2018-11-03T00:00:00Z	2018-11-04T01:00:08Z	2018-11-03T00:00:00Z	2018-11-03T04:00:00Z	231	-75608	33	16	10	66	14	10	40	16	18	26	1	-3	8	44	53	30	43	15	39	2	NA
1	2018-11-03T00:00:00Z	2018-11-03T20:10:39Z	2018-11-03T00:00:00Z	2018-11-03T20:15:03Z	2018-11-03T00:00:00Z	2018-11-04T01:00:08Z	2018-11-03T00:00:00Z	2018-11-03T04:00:00Z	264	-75608	48	10	22	49	27	7	36	36	3	35	1	-1	10	36	43	35	30	6	30	2	NA
1	2018-11-03T00:00:00Z	2018-11-03T22:07:40Z	2018-11-03T00:00:00Z	2018-11-03T22:11:25Z	2018-11-03T00:00:00Z	2018-11-04T01:00:08Z	2018-11-03T00:00:00Z	2018-11-03T04:00:00Z	225	-75608	62	7	11	35	25	12	29	50	7	44	1	-1	-1	56	27	21	48	11	43	2	NA
1	2018-11-03T00:00:00Z	2018-11-04T00:29:56Z	2018-11-03T00:00:00Z	2018-11-04T00:33:07Z	2018-11-03T00:00:00Z	2018-11-04T01:00:08Z	2018-11-03T00:00:00Z	2018-11-03T04:00:00Z	191	-75608	58	7	8	39	34	7	26	46	4	39	1	-5	13	51	44	19	42	4	36	2	NA
1	2018-11-04T00:00:00Z	2018-11-04T16:57:56Z	2018-11-04T00:00:00Z	2018-11-04T17:01:13Z	2018-11-04T00:00:00Z	2018-11-05T02:00:05Z	2018-11-04T00:00:00Z	2018-11-04T04:00:00Z	197	-79205	43	7	29	29	29	0	23	35	3	28	1	0	27	59	13	9	46	0	48	3	NA
1	2018-11-04T00:00:00Z	2018-11-04T19:47:28Z	2018-11-04T00:00:00Z	2018-11-04T19:52:55Z	2018-11-04T00:00:00Z	2018-11-05T02:00:05Z	2018-11-04T00:00:00Z	2018-11-04T04:00:00Z	327	-79205	30	30	18	43	24	5	30	22	7	35	1	-4	-4	26	62	33	27	26	22	3	NA
1	2018-11-04T00:00:00Z	2018-11-04T21:53:58Z	2018-11-04T00:00:00Z	2018-11-04T21:57:17Z	2018-11-04T00:00:00Z	2018-11-05T02:00:05Z	2018-11-04T00:00:00Z	2018-11-04T04:00:00Z	199	-79205	34	5	9	48	36	4	22	32	11	26	1	-7	21	48	43	11	33	3	40	3	NA
