id	day	men_anxiety	men_sadness	men_vigor	men_contentment	women_anxiety	women_sadness	women_vigor	women_contentment	beep
701	0	0	0	1.333333333	2	1	1.333333333	0	1.666666667	1
701	1	0	0	1.666666667	2.666666667	0	0	1	3	1
701	2	0	0	2.333333333	2	0.333333333	1.666666667	1	1.666666667	1
701	3	0.666666667	1.333333333	1	1.666666667	0.333333333	0.666666667	0	1	1
701	4	0	0	2	3	0	0.333333333	0	2.666666667	1
701	5	0.333333333	0.666666667	0.333333333	1.333333333	0	0.333333333	0.333333333	3.333333333	1
701	6	0	0	2	3	0	0	2	3.666666667	1
701	7	0	0	1.333333333	2.666666667	0	0	1	3.333333333	1
701	8	0.333333333	0.666666667	0	1	0	0	0.333333333	3.333333333	1
701	9	0	0	1.333333333	2	0	0	1.666666667	4	1
701	10	0	0	1	2	0.333333333	0.333333333	1	4	1
701	11	0	0.333333333	1	2	0	0.333333333	0	2.333333333	1
701	12	0	0	0.666666667	2	0	0.333333333	0.333333333	2.333333333	1
701	13	0	0.333333333	0	2	0.333333333	0.333333333	0.333333333	3.333333333	1
701	14	0	0	1.666666667	2.333333333	0.333333333	0.333333333	0	2.666666667	1
701	15	0	0	0	2	0	0	0.666666667	3.333333333	1
701	16	0	0	2	2	0	0	2.666666667	4	1
701	17	0	0	1.333333333	2.666666667	0	0	1.333333333	2.333333333	1
701	18	0	0	1	2.333333333	0	1	0	3	1
701	19	0.333333333	0	0.333333333	2	0	0.333333333	0.333333333	2.666666667	1
701	20	0.666666667	0	1	2	2	0.666666667	0	3.333333333	1
702	0	0	1.333333333	1	2	1	0	3.666666667	3	1
702	1	0.333333333	0.333333333	1	2	2.333333333	1	0	0.666666667	1
702	2	0	0.666666667	0.333333333	2	1.333333333	0.333333333	1	1.666666667	1
702	3	0	0.333333333	0.333333333	1.333333333	3.333333333	3.666666667	0	0	1
702	4	0	0	1	2.333333333	1	0.333333333	1	1.666666667	1
702	5	0	0	1	2.333333333	2	1.333333333	0.666666667	0.666666667	1
702	6	0	0	0	2	1	0.666666667	1.333333333	3.333333333	1
702	7	0	1	0.333333333	1	0.666666667	0.333333333	1.333333333	1.666666667	1
702	8	0	0	2.666666667	2.666666667	NA	NA	NA	NA	1
702	10	0	0	2.333333333	3	0.333333333	0	2	2.666666667	1
702	11	0	0	0.666666667	2	1.333333333	0	1.666666667	2.333333333	1
702	12	0	0	1	2	1.333333333	0	2.333333333	2.666666667	1
702	13	0	0	0.333333333	2	1.333333333	0	3	3	1
702	14	0	0	0.333333333	2	1.333333333	0.333333333	2.666666667	2.666666667	1
702	15	0.666666667	0.666666667	1.666666667	1.666666667	NA	NA	NA	NA	1
702	16	0	0	0.666666667	2	2.333333333	2	0	0	1
702	17	0	0	0	2	1.666666667	1.333333333	2	0.666666667	1
702	18	0.333333333	0.333333333	1.333333333	2	3	3.666666667	0.333333333	0	1
702	19	0.333333333	0.666666667	0	1.666666667	0.333333333	0	1	2	1
702	20	0	0	0.333333333	2	1.333333333	0	3	3.333333333	1
703	0	1.666666667	2	1.666666667	2	2.333333333	0.666666667	3	2.333333333	1
703	1	2	2.666666667	1	2	2.666666667	1	0	1	1
703	2	0	0.666666667	1.666666667	2	0.666666667	0	2	2	1
703	3	0	0	2	2.333333333	0.666666667	0	1.666666667	3.333333333	1
703	4	0	0	1	2	0.666666667	0	2.333333333	2.666666667	1
703	5	0	0	1.666666667	2	1	0	1.666666667	3.333333333	1
703	6	0	0	2	2	0.666666667	0	1.333333333	2.666666667	1
703	7	0	0	1.333333333	2	0	0	0.666666667	3	1
703	8	0	0	1.666666667	2	0	0	1	3	1
703	9	0	0	2	2	0	0	1.666666667	2.666666667	1
703	10	0	0	1.666666667	2	0.333333333	0	2	3.666666667	1
703	11	0.666666667	3.333333333	0.666666667	1.333333333	0	0	1	2.666666667	1
703	12	0	0	2	2	0	0	0.666666667	3	1
703	13	0	0	2	2	0	0	1.333333333	3.333333333	1
703	14	0	0	2	2	0.333333333	0	1.333333333	2.666666667	1
703	15	0	0	2	2	0	0	1.666666667	3.333333333	1
703	16	0	0	2	2	0.333333333	0	1.666666667	3	1
703	17	0	0	3.333333333	2.333333333	0	0	1.666666667	3.333333333	1
703	18	0	0	2	2	0	0	1.333333333	2.666666667	1
703	19	0	0	2	2	0	0	0.666666667	2.666666667	1
703	20	0	0	2	2	0.666666667	0.666666667	1.333333333	1	1
704	0	0.666666667	0.666666667	1.333333333	2.666666667	2	0	1.333333333	2.666666667	1
704	1	2.333333333	0	1.666666667	2.666666667	1.333333333	1.333333333	4	2.333333333	1
704	2	2	0	0.666666667	3	1	0	1	2.333333333	1
704	3	1	0.333333333	0.666666667	2.333333333	1.333333333	0	1.333333333	2.333333333	1
704	4	3	2	0.666666667	1.333333333	2	2	1	1.333333333	1
704	5	2	1.333333333	0.666666667	1	1.666666667	3	1.333333333	1.666666667	1
704	6	1.666666667	1	1.333333333	1.333333333	0.666666667	1.333333333	1.666666667	2.333333333	1
704	7	1.333333333	0	1	2.666666667	1	0.666666667	2.333333333	3.333333333	1
704	8	2.333333333	1.666666667	0.333333333	1.333333333	0.666666667	0	1	2.666666667	1
704	9	2	0	1.666666667	2.666666667	1	1	2	2.666666667	1
704	10	2.333333333	0.666666667	1	2.333333333	0.666666667	0.666666667	1.666666667	2.666666667	1
704	12	1.666666667	0	1	2.333333333	1	0	3.333333333	4	1
704	13	1.333333333	0	1.666666667	3.333333333	0	0	2.666666667	4	1
704	14	1	0	1.333333333	2.666666667	1.333333333	0.333333333	0.333333333	3	1
704	15	1.333333333	0	1	2.333333333	0.666666667	0	1	2.666666667	1
704	16	1	0	1	3	0	0.333333333	3	4	1
704	17	0.333333333	0	1.333333333	3.333333333	0	0	1.666666667	3	1
704	18	1	0	2	2.666666667	1.333333333	0	0.333333333	2.333333333	1
704	19	1	0	0.666666667	2	1	0	1.333333333	3	1
704	20	1	0	0.666666667	2.666666667	NA	NA	NA	NA	1
705	0	1.666666667	0.666666667	2.333333333	3	1	0.333333333	3	3	1
705	1	1	0.333333333	3	3.666666667	0.666666667	0.666666667	2	3	1
705	2	1	1	2	2.666666667	1.666666667	1	2	2.333333333	1
705	3	1	0.666666667	2	2	1.333333333	2	0	1	1
705	4	1	0.333333333	2	2	1	1	0	2.333333333	1
705	5	1	0.333333333	2.333333333	2.333333333	0.333333333	0.333333333	2.666666667	3	1
705	6	1	0.333333333	2	2.666666667	1	0.666666667	2	2.666666667	1
705	7	1	0.333333333	2	2.333333333	2	1.666666667	0.333333333	1	1
705	8	0.666666667	0.333333333	2	2.666666667	1	0.333333333	0	2.666666667	1
705	9	1	0.333333333	2.333333333	2.333333333	1	0.666666667	2	2.333333333	1
705	10	0.666666667	0.333333333	2	2	1	1	1	2.666666667	1
705	11	0.333333333	1	3	3	1	0.333333333	1	2.666666667	1
705	12	0.666666667	0	3	3	1	1.333333333	0	2	1
705	13	0.333333333	0	2	2.333333333	1	0.666666667	1	2.666666667	1
705	14	0	0	2	3	1.333333333	1.333333333	0.666666667	1.666666667	1
705	15	1	0	2	2.666666667	2.333333333	2.333333333	0	1	1
705	16	0.666666667	0	3	3	1	0.666666667	2	3	1
705	17	0.333333333	0	2.666666667	2.666666667	1	0.333333333	1.666666667	2.666666667	1
705	18	1	0	3.333333333	4	1.333333333	0	0.333333333	3	1
705	19	0.333333333	0	3	3	2	0	2	3	1
705	20	0.666666667	0	3	4	0	0	1	3	1
706	0	0.333333333	0	0.333333333	2.666666667	0.666666667	0	1.666666667	2.666666667	1
706	1	0.333333333	0	1.666666667	4	0.333333333	0	2	3	1
706	2	0	0	1	3	0	0	2	2.666666667	1
706	3	0	0	0.333333333	3.333333333	0	0	2.666666667	3.333333333	1
706	5	0	0	0	2.333333333	0.333333333	0	1.333333333	2.666666667	1
706	6	0.333333333	0	1	2.333333333	0.333333333	0	1.666666667	2	1
706	7	0	0	0	2	0.333333333	0.333333333	2.333333333	2.666666667	1
706	8	1.666666667	0.666666667	0	0.666666667	0.333333333	0	1.666666667	2.333333333	1
