id	date	time_prompt	survey_taken	time_survey	day	beep	counter	number_days_total	prompt_id	fraction_of_days_with_notification	prompt_duration	phone_use	social_media_use	social_media_use_no_notification	reactibility_survey	reactibility_notification_avg	reactibility_notification_sd	reactibility_social_notification_avg	reactibility_social_notification_sd	awake	discontent	calm	without_energy	well	tense	happy	stressed	vigilance_salience_mediated	salience_ft_f	valence_mediated	valence_ft_f	valence_activity	concentrated_activity_binary	concentration_extent	concentrated_activity_alone	vigilance_reactibility	vigilance_monitoring	social_pressure_phone	scheduled_time
8	2018-03-16	2018-03-16T19:55:00Z	1	2018-03-15T23:00:00Z	5	1	1	5	1510250000000	0.4	30	4	0	0	70	NA	NA	NA	NA	6	2	6	2	6	3	6	1	4	4	4	4	4	0	-	2	1	1	1	2018-03-16T19:55:00Z
8	2018-03-16	2018-03-16T17:42:00Z	1	2018-03-15T23:00:00Z	5	2	2	5	1510250000000	0.4	29	68	0	0	7	NA	NA	NA	NA	6	2	6	2	6	2	6	2	3	4	4	4	4	0	-	1	4	4	4	2018-03-16T17:42:00Z
8	2018-03-16	2018-03-16T16:51:00Z	0	2018-03-15T23:00:00Z	5	3	3	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-16T16:51:00Z
8	2018-03-16	2018-03-16T14:59:00Z	1	2018-03-15T23:00:00Z	5	4	4	5	1510250000000	0.4	48	624	0	0	230	NA	NA	NA	NA	4	3	6	6	3	2	4	1	1	6	4	3	5	0	-	2	1	1	1	2018-03-16T14:59:00Z
8	2018-03-16	2018-03-16T13:19:00Z	0	2018-03-15T23:00:00Z	5	5	5	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-16T13:19:00Z
8	2018-03-16	2018-03-16T11:37:00Z	0	2018-03-15T23:00:00Z	5	6	6	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-16T11:37:00Z
8	2018-03-16	2018-03-16T10:46:00Z	0	2018-03-15T23:00:00Z	5	7	7	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-16T10:46:00Z
8	2018-03-16	2018-03-16T08:14:00Z	0	2018-03-15T23:00:00Z	5	8	8	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-16T08:14:00Z
8	2018-03-15	2018-03-15T19:07:00Z	1	2018-03-14T23:00:00Z	4	1	9	5	1510250000000	0.4	68	178	0	0	60	NA	NA	NA	NA	6	2	6	2	6	2	6	2	1	1	4	4	6	0	-	2	5	4	1	2018-03-15T19:07:00Z
8	2018-03-15	2018-03-15T18:20:00Z	1	2018-03-14T23:00:00Z	4	2	10	5	1510250000000	0.4	27	128	41	19	46	776	0	393	385	5	3	6	4	6	3	5	4	4	4	5	5	5	0	-	1	2	2	2	2018-03-15T18:20:00Z
8	2018-03-15	2018-03-15T16:04:00Z	1	2018-03-14T23:00:00Z	4	3	11	5	1510250000000	0.4	59	325	103	103	236	NA	NA	NA	NA	6	3	5	2	6	2	6	2	3	3	4	4	6	0	2	-	4	4	4	2018-03-15T16:04:00Z
8	2018-03-15	2018-03-15T13:36:00Z	1	2018-03-14T23:00:00Z	4	4	12	5	1510250000000	0.4	67	282	26	0	113	NA	NA	1.333333	0.471405	6	2	6	2	6	2	5	2	3	5	5	3	6	0	-	2	2	1	4	2018-03-15T13:36:00Z
