id	discrete_time	time_elapsed	reappraisal	rumination	suppression	feel_loved	rely_on	need_love	share_feelings	keep_distance	closeness_nervous	day	beep
1	1	0.766666666604579	4	3	1	7	7	4	5	1	1	NA	NA
1	2	3.08333333348855	1	1	1	7	7	4	5	1	1	NA	NA
1	3	4.53333333320916	1	1	1	7	7	4	4	1	1	NA	NA
1	4	5.26666666660458	1	1	1	7	7	1	4	1	1	NA	NA
1	5	7.18333333311603	1	1	2	7	7	4	4	1	1	NA	NA
1	6	9.63333333330229	2	1	1	7	7	4	4	1	1	NA	NA
1	7	10.7000000001863	1	1	1	7	1	4	4	1	1	NA	NA
1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	17	27.9500000001863	2	1	2	7	7	1	4	1	1	NA	NA
1	18	30.7000000001863	3	2	1	6	7	3	4	5	3	NA	NA
1	19	31.2166666667908	4	1	1	6	7	3	4	2	2	NA	NA
1	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	21	34.683333333116	3	3	1	7	7	3	5	1	1	NA	NA
1	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	29	49.066666666884	3	2	1	6	6	3	1	3	2	NA	NA
1	30	49.75	3	3	2	6	6	2	3	3	2	NA	NA
1	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	32	54.433333333116	3	2	3	7	7	2	2	3	2	NA	NA
1	33	55.7333333333954	3	2	1	6	7	2	2	3	3	NA	NA
1	34	57.2000000001863	2	1	1	6	6	2	5	2	2	NA	NA
1	35	59.1000000000931	3	2	1	7	7	2	5	1	1	NA	NA
1	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	43	72.9666666667908	3	1	4	6	7	2	5	2	2	NA	NA
1	44	75.2166666667909	3	2	1	6	6	3	3	2	2	NA	NA
1	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	46	78.683333333116	4	1	1	6	6	3	6	3	2	NA	NA
1	47	79.3999999999069	4	2	1	6	5	2	6	3	3	NA	NA
1	48	82.1666666665115	3	3	3	7	7	4	4	1	1	NA	NA
1	49	82.9166666665114	1	1	1	7	7	4	6	1	1	NA	NA
1	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
