id	counter	miss_status	time	attention_present	opened_up	concentrated_present	nonjudgmental_feelings	nonjudgmental_thoughts	nonjudgmental_behavior	happy	content	relaxed	downhearted	distressed	nervous	ruminate_feelings	ruminate_things	relaxed_thoughts_feelings	relaxed_thoughts_things	day	beep
1	3	2	2015-07-16T13:27:05Z	5	5	6	0	5	0	3	5	3	0	0	5	0	4	3	4	1	1
1	1	0	2015-07-16T13:34:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2
1	2	0	2015-07-16T13:34:37Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
1	4	2	2015-07-16T16:07:01Z	4	4	4	2	1	4	4	5	5	3	1	0	0	3	1	3	1	4
1	5	2	2015-07-16T17:45:01Z	4	4	5	3	1	5	3	5	5	1	3	1	4	2	4	3	1	5
1	6	2	2015-07-16T19:49:01Z	5	5	4	3	5	4	4	5	6	0	1	0	3	0	3	5	1	6
1	7	2	2015-07-17T09:01:01Z	4	4	4	0	0	0	4	5	3	0	0	0	0	1	3	2	2	1
1	8	2	2015-07-17T12:12:00Z	3	5	5	1	1	4	3	4	4	0	1	4	0	1	5	5	2	2
1	9	2	2015-07-17T14:02:01Z	4	5	4	0	2	2	4	4	3	0	0	2	0	1	3	4	2	3
1	10	2	2015-07-17T16:00:01Z	3	5	5	4	4	0	3	4	2	0	1	0	0	1	3	4	2	4
1	11	2	2015-07-17T17:32:01Z	4	5	5	0	1	0	3	4	3	0	0	1	2	1	3	5	2	5
1	12	2	2015-07-17T20:05:00Z	5	4	3	1	4	1	3	4	2	0	0	2	2	3	4	4	2	6
1	13	2	2015-07-18T09:58:01Z	3	5	5	4	5	4	5	5	4	0	0	1	3	2	2	5	3	1
1	14	2	2015-07-18T11:32:01Z	4	3	4	2	3	4	3	4	2	0	0	2	1	4	2	4	3	2
1	15	2	2015-07-18T14:09:00Z	3	3	4	0	4	5	3	4	5	1	0	2	2	1	3	4	3	3
1	16	2	2015-07-18T15:18:00Z	5	4	4	2	4	1	3	4	2	0	0	2	0	3	0	4	3	4
1	17	2	2015-07-18T17:03:00Z	4	4	4	2	2	1	4	5	5	1	0	1	0	4	2	4	3	5
1	18	2	2015-07-18T19:11:01Z	4	4	5	0	1	5	4	5	2	1	0	3	0	3	1	3	3	6
1	19	2	2015-07-19T10:06:01Z	5	6	5	0	3	1	4	6	6	0	0	0	2	1	4	4	4	1
1	20	2	2015-07-19T11:50:01Z	4	4	3	0	4	2	4	5	3	4	0	3	1	4	4	5	4	2
