id	age	gender	ls1_pre	ls2_pre	ls3_pre	ls4_pre	ls5_pre	ls_pre	path1_pre	agen1_pre	path2_pre	path3_pre	path4_pre	agen2_pre	agen3_pre	agen4_pre	agency_pre	pathways_pre	hope_pre	ls1_post	ls2_post	ls3_post	ls4_post	ls5_post	ls_post	path1_post	agen1_post	path2_post	path3_post	path4_post	agen2_post	agen3_post	agen4_post	agency_post	pathways_post	hope_post	race1	race2	race3	race4	race5	race6	race7	cond_tail	cond_basic
19182	21	2	4	4	4	4	5	4.2	4	4	2	1	4	4	4	4	4	2.75	3.375	4	3	4	4	4	3.8	4	4	3	4	4	4	4	5	4.25	3.75	4	1	NA	NA	NA	NA	NA	NA	0	0
19183	20	2	4	4	3	4	2	3.4	4	3	4	4	3	2	4	3	3	3.75	3.375	4	5	4	4	2	3.8	3	4	3	4	3	2	4	3	3.25	3.25	3.25	NA	NA	NA	4	NA	NA	NA	0	1
19186	21	1	4	4	5	5	3	4.2	3	5	5	4	4	4	4	4	4.25	4	4.125	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4.25	4.125	NA	NA	NA	4	NA	NA	NA	0	0
19187	22	2	4	4	4	4	4	4	4	4	3	3	3	3	4	4	3.75	3.25	3.5	4	5	5	4	4	4.4	4	4	4	4	3	4	4	4	4	3.75	3.875	1	NA	NA	NA	NA	NA	NA	0	1
19189	22	2	2	4	3	3	2	2.8	4	3	4	4	4	3	3	4	3.25	4	3.625	2	3	3	3	2	2.6	3	4	3	3	4	3	3	4	3.5	3.25	3.375	NA	NA	NA	4	NA	NA	NA	0	0
19199	21	2	3	3	4	4	3	3.4	3	3	3	4	4	5	4	4	4	3.5	3.75	2	2	3	4	3	2.8	3	3	2	4	3	4	4	4	3.75	3	3.375	NA	NA	NA	4	NA	NA	NA	0	0
19216	22	2	4	3	2	3	2	2.8	4	4	4	4	3	2	2	2	2.5	3.75	3.125	4	2	2	2	2	2.4	4	4	2	4	3	4	4	2	3.5	3.25	3.375	1	NA	NA	NA	NA	NA	NA	0	1
19219	20	2	4	4	4	5	5	4.4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	5	4	4.4	4	3	3	4	3	4	4	4	3.75	3.5	3.625	1	NA	NA	NA	NA	NA	NA	0	1
19221	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	0	0
19224	20	1	3	4	3	3	3	3.2	3	3	4	3	3	3	3	3	3	3.25	3.125	3	4	3	2	2	2.8	2	3	3	3	3	3	2	3	2.75	2.75	2.75	NA	NA	NA	4	NA	NA	NA	0	0
19225	21	1	4	5	5	5	5	4.8	4	5	5	4	5	5	5	4	4.75	4.5	4.625	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	NA	NA	NA	NA	NA	NA	0	1
19228	20	2	4	4	4	3	1	3.2	4	4	3	2	3	4	4	2	3.5	3	3.25	4	4	4	4	3	3.8	4	4	3	4	3	2	4	4	3.5	3.5	3.5	NA	2	NA	NA	NA	NA	NA	0	0
19229	19	2	3	4	4	3	2	3.2	2	4	4	2	2	3	4	4	3.75	2.5	3.125	2	4	4	4	2	3.2	2	4	3	3	2	3	4	4	3.75	2.5	3.125	NA	NA	NA	4	NA	NA	NA	0	1
