id	timestamp	counter	day	has_data	first_prompt	time_since_first	relationship_level	cared_for	respected	supported	connected	time	interaction_type	beep
19182	1588009498	1	1	TRUE	1588009498	0	NA	NA	NA	NA	6	2020-04-27T17:44:58Z	0	1
19182	1588014111	2	1	TRUE	1588009498	4613	7	4	4	4	6	2020-04-27T19:01:51Z	interact	2
19182	1588021663	3	1	TRUE	1588009498	12165	7	4	4	4	6	2020-04-27T21:07:43Z	interact	3
19182	1588026520	4	1	FALSE	1588009498	17022	NA	NA	NA	NA	NA	2020-04-27T22:28:40Z	0	4
19182	1588032407	5	1	TRUE	1588009498	22909	NA	NA	NA	NA	7	2020-04-28T00:06:47Z	0	5
19182	1588039139	6	1	TRUE	1588009498	29641	7	4	4	4	4	2020-04-28T01:58:59Z	interact	6
19182	1588094127	7	2	TRUE	1588009498	84629	NA	NA	NA	NA	4	2020-04-28T17:15:27Z	0	1
19182	1588101040	8	2	TRUE	1588009498	91542	NA	NA	NA	NA	4	2020-04-28T19:10:40Z	0	2
19182	1588107524	9	2	TRUE	1588009498	98026	7	5	5	5	NA	2020-04-28T20:58:44Z	text	3
19182	1588112578	10	2	TRUE	1588009498	103080	NA	NA	NA	NA	4	2020-04-28T22:22:58Z	0	4
19182	1588118618	11	2	TRUE	1588009498	109120	NA	NA	NA	NA	5	2020-04-29T00:03:38Z	0	5
19182	1588125286	12	2	TRUE	1588009498	115788	7	5	5	5	7	2020-04-29T01:54:46Z	interact	6
19182	1588182227	13	3	TRUE	1588009498	172729	NA	NA	NA	NA	4	2020-04-29T17:43:47Z	0	1
19182	1588187634	14	3	TRUE	1588009498	178136	NA	NA	NA	NA	5	2020-04-29T19:13:54Z	0	2
19182	1588194761	15	3	TRUE	1588009498	185263	NA	NA	NA	NA	5	2020-04-29T21:12:41Z	0	3
19182	1588200265	16	3	TRUE	1588009498	190767	7	5	5	5	5	2020-04-29T22:44:25Z	interact	4
19182	1588205153	17	3	TRUE	1588009498	195655	NA	NA	NA	NA	7	2020-04-30T00:05:53Z	0	5
19182	1588211978	18	3	FALSE	1588009498	202480	NA	NA	NA	NA	NA	2020-04-30T01:59:38Z	0	6
19182	1588267348	19	4	FALSE	1588009498	257850	NA	NA	NA	NA	NA	2020-04-30T17:22:28Z	0	1
19182	1588273435	20	4	TRUE	1588009498	263937	NA	NA	NA	NA	6	2020-04-30T19:03:55Z	0	2
19182	1588280979	21	4	TRUE	1588009498	271481	4	3	3	3	7	2020-04-30T21:09:39Z	video	3
19182	1588286600	22	4	TRUE	1588009498	277102	NA	NA	NA	NA	5	2020-04-30T22:43:20Z	0	4
19182	1588291720	23	4	TRUE	1588009498	282222	7	5	5	5	7	2020-05-01T00:08:40Z	interact	5
19182	1588297218	24	4	TRUE	1588009498	287720	7	4	4	4	7	2020-05-01T01:40:18Z	interact	6
19182	1588355181	25	5	TRUE	1588009498	345683	4	4	4	4	7	2020-05-01T17:46:21Z	video	1
19182	1588361637	26	5	TRUE	1588009498	352139	NA	NA	NA	NA	6	2020-05-01T19:33:57Z	0	2
19182	1588366513	27	5	TRUE	1588009498	357015	7	4	4	4	7	2020-05-01T20:55:13Z	interact	3
19182	1588373365	28	5	TRUE	1588009498	363867	NA	NA	NA	NA	7	2020-05-01T22:49:25Z	0	4
19182	1588379219	29	5	TRUE	1588009498	369721	7	4	4	4	6	2020-05-02T00:26:59Z	interact	5
19182	1588384014	30	5	TRUE	1588009498	374516	7	4	4	4	7	2020-05-02T01:46:54Z	interact	6
19182	1588441023	31	6	TRUE	1588009498	431525	NA	NA	NA	NA	7	2020-05-02T17:37:03Z	0	1
19182	1588445901	32	6	TRUE	1588009498	436403	NA	NA	NA	NA	7	2020-05-02T18:58:21Z	0	2
19182	1588453298	33	6	TRUE	1588009498	443800	7	5	5	5	7	2020-05-02T21:01:38Z	text	3
19182	1588457922	34	6	TRUE	1588009498	448424	7	5	5	5	7	2020-05-02T22:18:42Z	interact	4
19182	1588465708	35	6	TRUE	1588009498	456210	7	5	5	5	6	2020-05-03T00:28:28Z	interact	5
19182	1588471190	36	6	TRUE	1588009498	461692	NA	NA	NA	NA	5	2020-05-03T01:59:50Z	0	6
19182	1588526476	37	7	TRUE	1588009498	516978	NA	NA	NA	NA	4	2020-05-03T17:21:16Z	0	1
19182	1588534132	38	7	TRUE	1588009498	524634	7	5	5	5	7	2020-05-03T19:28:52Z	interact	2
19182	1588540208	39	7	TRUE	1588009498	530710	NA	NA	NA	NA	7	2020-05-03T21:10:08Z	0	3
19182	1588546222	40	7	TRUE	1588009498	536724	NA	NA	NA	NA	7	2020-05-03T22:50:22Z	0	4
19182	1588551568	41	7	TRUE	1588009498	542070	7	5	5	5	7	2020-05-04T00:19:28Z	video	5
19182	1588556670	42	7	TRUE	1588009498	547172	7	5	5	5	7	2020-05-04T01:44:30Z	interact	6
19182	1588614562	43	8	TRUE	1588009498	605064	NA	NA	NA	NA	4	2020-05-04T17:49:22Z	0	1
19182	1588619097	44	8	TRUE	1588009498	609599	7	5	5	5	7	2020-05-04T19:04:57Z	text	2
19182	1588624606	45	8	TRUE	1588009498	615108	7	5	5	5	7	2020-05-04T20:36:46Z	text	3
19182	1588631829	46	8	TRUE	1588009498	622331	NA	NA	NA	NA	6	2020-05-04T22:37:09Z	0	4
19182	1588637481	47	8	TRUE	1588009498	627983	7	5	5	5	6	2020-05-05T00:11:21Z	text	5
19182	1588643255	48	8	TRUE	1588009498	633757	7	4	4	4	5	2020-05-05T01:47:35Z	interact	6
19182	1588700190	49	9	TRUE	1588009498	690692	NA	NA	NA	NA	5	2020-05-05T17:36:30Z	0	1
19182	1588706417	50	9	TRUE	1588009498	696919	NA	NA	NA	NA	5	2020-05-05T19:20:17Z	0	2
19182	1588711010	51	9	TRUE	1588009498	701512	7	5	5	5	7	2020-05-05T20:36:50Z	interact	3
19182	1588718752	52	9	TRUE	1588009498	709254	7	5	5	5	5	2020-05-05T22:45:52Z	text	4
19182	1588724546	53	9	TRUE	1588009498	715048	7	5	5	5	7	2020-05-06T00:22:26Z	interact	5
19182	1588730012	54	9	TRUE	1588009498	720514	7	5	5	5	7	2020-05-06T01:53:32Z	interact	6
19182	1588785964	55	10	FALSE	1588009498	776466	NA	NA	NA	NA	NA	2020-05-06T17:26:04Z	0	1
19182	1588793088	56	10	TRUE	1588009498	783590	7	5	5	5	7	2020-05-06T19:24:48Z	interact	2
19182	1588799398	57	10	TRUE	1588009498	789900	7	5	5	5	7	2020-05-06T21:09:58Z	video	3
19182	1588803335	58	10	TRUE	1588009498	793837	7	5	5	5	7	2020-05-06T22:15:35Z	interact	4
19182	1588810969	59	10	TRUE	1588009498	801471	7	5	5	5	7	2020-05-07T00:22:49Z	interact	5
19182	1588816115	60	10	TRUE	1588009498	806617	7	5	5	5	7	2020-05-07T01:48:35Z	interact	6
19183	1588009181	1	1	TRUE	1588009181	0	NA	NA	NA	NA	4	2020-04-27T17:39:41Z	0	1
19183	1588014740	2	1	TRUE	1588009181	5559	7	3	3	4	4	2020-04-27T19:12:20Z	interact	2
19183	1588020340	3	1	TRUE	1588009181	11159	NA	NA	NA	NA	3	2020-04-27T20:45:40Z	0	3
19183	1588026917	4	1	TRUE	1588009181	17736	NA	NA	NA	NA	3	2020-04-27T22:35:17Z	0	4
19183	1588032061	5	1	TRUE	1588009181	22880	7	3	3	3	4	2020-04-28T00:01:01Z	interact	5
19183	1588039026	6	1	TRUE	1588009181	29845	7	4	4	4	6	2020-04-28T01:57:06Z	interact	6
19183	1588094652	7	2	FALSE	1588009181	85471	NA	NA	NA	NA	NA	2020-04-28T17:24:12Z	0	1
19183	1588100900	8	2	TRUE	1588009181	91719	NA	NA	NA	NA	1	2020-04-28T19:08:20Z	0	2
19183	1588107732	9	2	TRUE	1588009181	98551	NA	NA	NA	NA	2	2020-04-28T21:02:12Z	0	3
19183	1588114172	10	2	TRUE	1588009181	104991	3	2	3	3	2	2020-04-28T22:49:32Z	video	4
19183	1588119783	11	2	TRUE	1588009181	110602	7	4	4	4	4	2020-04-29T00:23:03Z	text	5
19183	1588125160	12	2	TRUE	1588009181	115979	7	4	4	4	5	2020-04-29T01:52:40Z	interact	6
19183	1588181850	13	3	TRUE	1588009181	172669	6	4	3	3	4	2020-04-29T17:37:30Z	text	1
19183	1588187606	14	3	TRUE	1588009181	178425	5	2	4	3	6	2020-04-29T19:13:26Z	video	2
19183	1588193263	15	3	TRUE	1588009181	184082	NA	NA	NA	NA	2	2020-04-29T20:47:43Z	0	3
19183	1588198747	16	3	TRUE	1588009181	189566	7	4	3	3	4	2020-04-29T22:19:07Z	interact	4
19183	1588204916	17	3	TRUE	1588009181	195735	7	2	3	3	6	2020-04-30T00:01:56Z	interact	5
19183	1588211814	18	3	TRUE	1588009181	202633	7	4	4	4	6	2020-04-30T01:56:54Z	interact	6
19183	1588266943	19	4	TRUE	1588009181	257762	6	3	3	3	1	2020-04-30T17:15:43Z	text	1
19183	1588273754	20	4	FALSE	1588009181	264573	NA	NA	NA	NA	NA	2020-04-30T19:09:14Z	0	2
19183	1588280237	21	4	TRUE	1588009181	271056	2	2	3	3	3	2020-04-30T20:57:17Z	video	3
19183	1588286189	22	4	TRUE	1588009181	277008	7	4	3	4	5	2020-04-30T22:36:29Z	interact	4
19183	1588292232	23	4	TRUE	1588009181	283051	6	5	5	5	6	2020-05-01T00:17:12Z	video	5
19183	1588297668	24	4	TRUE	1588009181	288487	3	2	2	2	6	2020-05-01T01:47:48Z	video	6
19183	1588353817	25	5	FALSE	1588009181	344636	NA	NA	NA	NA	NA	2020-05-01T17:23:37Z	0	1
19183	1588361423	26	5	TRUE	1588009181	352242	6	4	4	4	5	2020-05-01T19:30:23Z	interact	2
19183	1588367587	27	5	FALSE	1588009181	358406	NA	NA	NA	NA	NA	2020-05-01T21:13:07Z	0	3
19183	1588372305	28	5	FALSE	1588009181	363124	NA	NA	NA	NA	NA	2020-05-01T22:31:45Z	0	4
19183	1588378490	29	5	TRUE	1588009181	369309	7	2	3	3	6	2020-05-02T00:14:50Z	interact	5
