id	age	gender	prompts_crt
27953	30	man	50
27954	25	man	50
27955	20	vrouw	42
27956	54	vrouw	50
27957	25	vrouw	50
27958	26	vrouw	50
27959	21	vrouw	50
27966	48	vrouw	50
27972	28	man	50
27984	40	man	50
27985	31	vrouw	50
27987	54	vrouw	50
27994	56	man	50
27995	22	vrouw	50
27999	24	man	50
28004	56	vrouw	50
28010	25	man	50
28012	24	vrouw	50
28039	19	man	50
28063	23	man	49
28065	36	vrouw	50
28081	39	man	43
28085	25	man	50
28092	24	vrouw	50
28097	28	vrouw	49
28116	58	vrouw	50
28118	55	vrouw	50
28119	60	man	50
28120	55	man	50
28122	23	man	50
28127	42	vrouw	50
28147	23	vrouw	50
28150	25	vrouw	48
28151	54	vrouw	49
28153	26	man	45
28155	23	vrouw	50
28160	26	vrouw	41
28161	45	vrouw	50
28166	36	vrouw	46
28171	23	vrouw	50
28174	24	vrouw	50
28185	30	vrouw	50
28187	50	man	50
28188	50	man	50
28195	57	vrouw	50
28197	23	vrouw	50
28199	33	man	50
28210	23	vrouw	50
28233	45	vrouw	50
28236	23	vrouw	50
28336	30	man	50
28425	28	man	50
28427	22	vrouw	42
28431	38	vrouw	50
28432	25	vrouw	50
28447	47	vrouw	50
28448	58	vrouw	50
28492	45	vrouw	50
28496	52	vrouw	50
28497	53	vrouw	50
28546	30	vrouw	50
28692	29	man	50
28695	30	vrouw	47
28697	53	man	50
28729	23	man	50
28734	61	vrouw	50
28737	35	man	50
28740	NA	NA	50
28745	50	vrouw	50
28747	48	man	50
28748	70	vrouw	50
28749	38	man	50
28750	43	vrouw	50
28752	38	vrouw	50
28753	67	man	50
28757	48	vrouw	50
28759	59	vrouw	50
28762	67	vrouw	50
28763	45	man	50
28766	33	man	50
28771	22	vrouw	50
28778	23	vrouw	50
28779	55	vrouw	50
28783	24	vrouw	50
28784	23	vrouw	50
28787	44	man	50
28842	24	vrouw	50
28843	55	vrouw	50
28937	81	vrouw	50
28947	48	man	50
28953	29	man	50
28957	35	vrouw	50
28959	33	man	45
28960	64	vrouw	50
28963	42	man	44
28964	26	vrouw	50
28967	27	man	50
28979	32	vrouw	50
28993	39	man	50
28995	37	vrouw	40
28996	31	man	50
28997	31	man	50
29043	22	man	39
29091	NA	NA	50
29151	66	man	50
29154	50	vrouw	50
29155	66	man	50
29157	58	vrouw	50
29158	60	vrouw	50
29159	59	vrouw	50
29162	21	vrouw	50
29163	19	man	50
29164	32	man	48
29165	57	man	46
29166	71	vrouw	50
29167	51	vrouw	50
29168	50	man	47
29174	31	vrouw	50
29176	22	vrouw	50
29189	30	vrouw	50
29190	31	man	50
29196	64	vrouw	50
29314	56	man	25
29335	48	vrouw	47
38766	57	vrouw	50
39812	60	man	50
39813	27	man	50
40020	56	vrouw	50
40021	29	man	50
40022	52	vrouw	50
40024	27	man	50
40041	52	vrouw	50
40116	55	vrouw	50
40263	76	vrouw	50
40359	20	vrouw	50
40361	65	man	50
40614	29	vrouw	35
40615	53	vrouw	50
40616	34	vrouw	50
40638	64	vrouw	50
40641	48	vrouw	50
40645	60	vrouw	40
40807	45	vrouw	50
40973	51	man	50
42289	48	man	50
42294	52	vrouw	50
42360	47	man	50
42391	30	vrouw	50
42415	46	vrouw	50
42416	52	vrouw	50
42417	52	vrouw	42
42418	67	vrouw	50
42420	62	man	50
42429	57	vrouw	50
42430	69	man	50
42454	58	vrouw	50
42461	65	man	50
42469	58	man	50
42484	59	vrouw	50
42486	62	vrouw	50
42491	55	vrouw	50
42591	53	vrouw	50
42665	56	man	46
42720	41	vrouw	48
42721	62	vrouw	50
42745	18	man	48
42785	55	vrouw	50
42907	54	vrouw	50
39458	59	vrouw	50
40023	27	vrouw	50
40044	NA	NA	50
40612	46	vrouw	50
42356	48	man	50
