id	counter	beep	day	weekday	cheerful	satisfied	happy	insecure	anxious	down	energetic	inspired	satisfied_self	goal_pursuit	chose_doing	good_at_this	appreciated	part_of_company	not_misunderstood	missing_beep	datetime	social_company	tired	feels_like_obligation	doubt	misunderstood
27953	1	1	1	sunday	5	6	6	1	1	1	3	5	5	4	7	7	NA	NA	NA	0	2017-03-26T08:39:04Z	no one, I am alone	5	4	1	NA
27953	2	2	1	sunday	4	4	5	2	1	4	3	6	1	5	7	6	7	6	6	0	2017-03-26T09:56:14Z	partner	5	7	1	2
27953	3	3	1	sunday	5	5	5	1	1	1	5	5	4	4	6	5	6	5	7	0	2017-03-26T11:49:12Z	partner	2	2	4	1
27953	4	4	1	sunday	5	5	5	2	2	1	4	6	4	4	5	6	6	7	2	0	2017-03-26T12:20:13Z	partner	1	2	1	6
27953	5	5	1	sunday	2	4	5	2	4	4	4	4	2	4	4	4	6	6	4	0	2017-03-26T15:07:59Z	partner	2	6	4	4
27953	6	6	1	sunday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-26T15:26:00Z	NA	NA	NA	NA	NA
27953	7	7	1	sunday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-26T17:39:00Z	NA	NA	NA	NA	NA
27953	8	8	1	sunday	5	5	5	1	1	1	4	5	3	4	5	5	5	4	7	0	2017-03-26T18:29:48Z	partner	4	4	1	1
27953	9	9	1	sunday	4	4	4	5	3	4	3	4	4	5	6	6	6	3	1	0	2017-03-26T20:39:06Z	partner	5	2	1	7
27953	10	10	1	sunday	5	6	5	1	2	1	4	5	5	6	7	7	7	7	7	0	2017-03-26T21:49:12Z	partner	3	1	1	1
27953	11	1	2	monday	4	4	4	1	1	2	4	5	4	6	7	6	6	7	6	0	2017-03-27T08:53:25Z	colleagues	5	2	2	2
27953	12	2	2	monday	5	5	5	2	1	2	4	5	5	6	6	7	6	6	7	0	2017-03-27T09:17:10Z	colleagues	5	4	1	1
27953	13	3	2	monday	5	5	5	1	1	2	5	6	5	7	6	6	NA	NA	NA	0	2017-03-27T11:55:09Z	no one, I am alone	2	2	1	NA
27953	14	4	2	monday	6	7	6	1	1	1	5	7	6	7	6	7	6	6	7	0	2017-03-27T13:14:29Z	colleagues	1	2	1	1
27953	15	5	2	monday	5	6	5	1	1	1	5	5	5	6	5	6	6	6	7	0	2017-03-27T14:35:32Z	colleagues	3	1	1	1
27953	16	6	2	monday	6	7	6	2	1	1	5	7	5	7	6	6	6	6	6	0	2017-03-27T15:50:12Z	colleagues	3	2	2	2
27953	17	7	2	monday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-27T17:45:00Z	NA	NA	NA	NA	NA
27953	18	8	2	monday	6	6	6	1	1	1	6	5	6	6	6	6	NA	NA	NA	0	2017-03-27T19:16:25Z	no one, I am alone	1	4	3	NA
27953	19	9	2	monday	4	5	4	2	3	4	4	5	4	3	7	6	6	6	6	0	2017-03-27T20:32:20Z	partner	2	1	1	2
27953	20	10	2	monday	4	3	4	3	2	1	3	4	2	4	6	7	6	6	7	0	2017-03-27T21:54:11Z	partner	2	1	1	1
27953	21	1	3	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T08:37:00Z	NA	NA	NA	NA	NA
27953	22	2	3	tuesday	4	4	4	1	1	1	4	4	5	5	7	6	6	6	7	0	2017-03-28T09:22:07Z	colleagues	3	1	1	1
27953	23	3	3	tuesday	5	5	5	1	1	1	5	5	5	6	5	6	6	6	7	0	2017-03-28T11:52:37Z	colleagues	1	2	1	1
27953	24	4	3	tuesday	5	5	5	1	1	2	5	5	5	6	6	7	6	6	7	0	2017-03-28T13:10:31Z	colleagues	2	2	1	1
27953	25	5	3	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T14:48:00Z	NA	NA	NA	NA	NA
27953	26	6	3	tuesday	5	5	5	1	1	1	5	5	5	6	6	6	6	6	7	0	2017-03-28T15:19:14Z	colleagues	2	1	2	1
27953	27	7	3	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T17:00:00Z	NA	NA	NA	NA	NA
27953	28	8	3	tuesday	5	6	6	1	1	1	5	5	4	6	6	6	6	7	7	0	2017-03-28T18:18:34Z	partner	2	2	1	1
27953	29	9	3	tuesday	5	5	6	1	1	1	5	6	5	5	7	6	6	6	7	0	2017-03-28T20:27:06Z	partner	1	1	1	1
27953	30	10	3	tuesday	5	6	6	1	1	1	4	5	4	4	6	7	6	6	7	0	2017-03-28T21:57:26Z	partner	3	1	1	1
27953	31	1	4	wednesday	4	4	4	1	1	1	2	4	4	4	4	6	NA	NA	NA	0	2017-03-29T08:10:02Z	no one, I am alone	5	4	1	NA
27953	32	2	4	wednesday	5	6	5	1	1	1	5	4	4	6	6	6	6	6	7	0	2017-03-29T10:30:13Z	colleagues	1	2	1	1
27953	33	3	4	wednesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-29T11:58:00Z	NA	NA	NA	NA	NA
27953	34	4	4	wednesday	6	5	6	1	1	1	6	6	5	7	6	6	6	6	7	0	2017-03-29T12:36:11Z	colleagues	1	1	1	1
27953	35	5	4	wednesday	5	6	5	1	1	1	5	5	5	5	6	6	NA	NA	NA	0	2017-03-29T14:34:09Z	no one, I am alone	1	2	1	NA
27953	36	6	4	wednesday	5	6	6	1	1	1	5	6	6	6	6	6	6	6	7	0	2017-03-29T16:30:26Z	colleagues	1	1	1	1
27953	37	7	4	wednesday	5	5	5	1	1	1	5	5	2	5	6	5	NA	NA	NA	0	2017-03-29T17:59:07Z	no one, I am alone	1	3	1	NA
27953	38	8	4	wednesday	5	5	5	1	1	1	5	4	5	4	4	6	NA	NA	NA	0	2017-03-29T18:53:34Z	no one, I am alone	1	2	1	NA
27953	39	9	4	wednesday	4	4	5	4	4	2	4	5	3	4	4	4	NA	NA	NA	0	2017-03-29T20:19:00Z	no one, I am alone	1	1	1	NA
27953	40	10	4	wednesday	5	6	5	1	1	2	5	5	4	3	4	4	6	6	7	0	2017-03-29T21:43:00Z	partner	1	4	2	1
27953	41	1	5	thursday	2	4	4	1	1	2	4	4	4	4	4	6	6	5	7	0	2017-03-30T08:10:56Z	partner	5	1	1	1
27953	42	2	5	thursday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-30T09:17:00Z	NA	NA	NA	NA	NA
27953	43	3	5	thursday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-30T11:03:00Z	NA	NA	NA	NA	NA
27953	44	4	5	thursday	5	4	6	1	1	1	5	4	4	5	5	6	6	6	7	0	2017-03-30T13:20:22Z	colleagues	2	2	1	1
27953	45	5	5	thursday	6	5	6	1	1	1	6	5	5	4	7	5	6	6	7	0	2017-03-30T14:25:15Z	partner	1	1	1	1
27953	46	6	5	thursday	6	5	5	1	1	1	5	4	2	4	5	6	5	5	7	0	2017-03-30T15:24:18Z	colleagues	2	2	1	1
27953	47	7	5	thursday	4	5	4	2	2	2	4	5	3	4	4	4	6	4	3	0	2017-03-30T17:43:09Z	partner	2	4	1	5
27953	48	8	5	thursday	4	6	4	2	1	2	4	3	4	4	6	5	6	6	7	0	2017-03-30T18:43:11Z	partner	2	4	1	1
27953	49	9	5	thursday	4	5	5	1	1	1	4	4	3	2	6	6	6	6	7	0	2017-03-30T20:19:14Z	partner	4	3	1	1
27953	50	10	5	thursday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-30T21:24:00Z	NA	NA	NA	NA	NA
27954	1	1	1	monday	5	5	5	1	1	1	5	4	4	4	5	4	4	4	7	0	2017-03-27T10:04:11Z	colleagues	3	4	2	1
27954	2	2	1	monday	5	5	5	1	1	1	5	5	3	5	3	5	4	5	6	0	2017-03-27T10:27:47Z	colleagues	2	3	2	2
27954	3	3	1	monday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-27T12:55:00Z	NA	NA	NA	NA	NA
27954	4	4	1	monday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-27T14:14:00Z	NA	NA	NA	NA	NA
27954	5	5	1	monday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-27T15:35:00Z	NA	NA	NA	NA	NA
27954	6	6	1	monday	4	5	5	1	1	2	5	5	3	4	5	4	6	4	6	0	2017-03-27T16:58:54Z	other family (not living in the same place)	4	2	1	2
27954	7	7	1	monday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-27T18:45:00Z	NA	NA	NA	NA	NA
27954	8	8	1	monday	5	5	5	2	1	1	3	5	2	3	6	5	NA	NA	NA	0	2017-03-27T20:15:06Z	no one, I am alone	4	1	1	NA
27954	9	9	1	monday	3	6	5	2	1	2	4	5	3	3	6	7	7	6	6	0	2017-03-27T21:32:24Z	partner	5	1	1	2
27954	10	10	1	monday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-27T22:54:00Z	NA	NA	NA	NA	NA
27954	11	1	2	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T09:37:00Z	NA	NA	NA	NA	NA
27954	12	2	2	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T10:18:00Z	NA	NA	NA	NA	NA
27954	13	3	2	tuesday	6	5	5	2	1	2	5	5	3	5	5	4	4	5	6	0	2017-03-28T12:52:33Z	colleagues	1	1	1	2
27954	14	4	2	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T14:06:00Z	NA	NA	NA	NA	NA
27954	15	5	2	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T15:48:00Z	NA	NA	NA	NA	NA
27954	16	6	2	tuesday	3	5	4	2	1	1	3	4	2	4	5	5	NA	NA	NA	0	2017-03-28T16:17:04Z	no one, I am alone	5	1	1	NA
27954	17	7	2	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T18:00:00Z	NA	NA	NA	NA	NA
27954	18	8	2	tuesday	2	4	5	3	2	4	3	4	1	4	5	3	2	2	3	0	2017-03-28T19:29:49Z	other family (not living in the same place)	6	5	2	5
27954	19	9	2	tuesday	4	5	6	2	1	2	5	5	3	6	6	5	5	6	7	0	2017-03-28T21:27:07Z	partner	6	2	4	1
27954	20	10	2	tuesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-28T22:56:00Z	NA	NA	NA	NA	NA
27954	21	1	3	wednesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-29T08:57:00Z	NA	NA	NA	NA	NA
27954	22	2	3	wednesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-29T11:30:00Z	NA	NA	NA	NA	NA
27954	23	3	3	wednesday	4	5	4	3	1	2	5	5	4	5	4	5	5	5	7	0	2017-03-29T12:59:22Z	colleagues	3	4	2	1
27954	24	4	3	wednesday	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2017-03-29T13:36:00Z	NA	NA	NA	NA	NA
