id	pt_num	day	beep	counter	timestamp	date	dyad	afraid	ashamed	distressed	guilty	hostile	irritable	jittery	nervous	scared	upset	frightened	shaky	angry	scornful	disgusted	loathing	sad	blue	downhearted	alone	lonely	active	alert	attentive	determined	enthusiastic	excited	inspired	interested	proud	strong
80000	8000	1	1	2	32634	1160	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	6	7	6	5	5	5	6	5	7
80000	8000	1	2	3	32635	1160	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	6	6	5	5	5	5	5	5	6
80000	8000	1	3	4	32652	1160	1	3	4	4	4	4	4	3	3	3	4	3	3	NA	4	4	4	3	3	3	3	3	6	7	5	6	4	3	6	6	4	7
80000	8000	1	4	5	32653	1160	1	3	3	3	3	3	3	3	3	3	3	3	3	NA	3	4	4	3	3	3	3	3	6	6	6	6	6	4	5	6	6	5
80000	8000	1	5	6	32654	1160	1	3	4	3	4	3	4	3	3	3	4	3	3	NA	NA	4	4	3	3	3	3	3	6	6	6	6	6	6	5	6	6	7
80000	8000	2	1	8	32731	1164	1	3	3	4	3	3	4	3	3	3	3	3	3	3	4	5	3	3	3	4	3	3	3	4	5	7	7	3	7	3	3	6
80000	8000	2	2	9	32732	1164	1	3	3	5	3	3	4	3	3	3	4	3	3	3	4	4	4	4	3	3	3	3	4	5	6	7	6	3	7	5	3	6
80000	8000	2	3	10	32735	1164	1	3	3	3	3	3	3	3	3	3	3	3	NA	3	3	4	3	3	3	3	3	3	3	3	5	5	5	3	5	3	4	6
80000	8000	2	4	11	32737	1164	1	3	3	3	3	3	3	3	3	3	3	3	NA	3	3	3	3	3	3	3	3	3	5	3	3	3	5	3	6	5	4	5
80000	8000	2	5	12	32753	1164	1	3	3	3	3	3	4	3	3	3	3	3	3	3	4	4	4	3	3	3	3	3	7	6	6	7	4	4	7	6	5	7
80000	8000	2	6	13	32754	1164	1	3	3	3	3	3	4	3	3	3	4	3	NA	3	4	4	4	3	4	4	3	3	3	3	6	7	3	3	3	6	3	5
