id	start_time	last_update	day	date	sleep_quality	school_new_material	school_work_today	difficulty_school_work	volume_school_work	school_work_hours	school_work_minutes	school_work_comprehensible	school_work_independent	school_work_needed_support	school_work_joy	school_work_effort	time_with_child_hours	time_with_child_minutes	parenting_fun	parenting_talked_worries	parenting_assert_difficult	parenting_drained_energy	parenting_disagreements	parenting_child_decide	parenting_child_liked	parenting_told_what_to_do	parenting_explained_why	parenting_explained_why_not	child_happy	child_afraid	child_sad	child_balanced	child_exhausted	child_cheerful	child_worried	child_lively	child_angry	child_relaxed	activities_total	activity_work	activity_work_hours	activity_household	activity_household_hours	activity_learning_with_child	activity_learning_hours	activity_playing_with_child	activity_playing_hours	activity_communicating_friends	activity_communicating_hours	activity_walking	activity_walking_hours	activity_sports	activity_sports_hours	activity_shopping	activity_shopping_hours	activity_gardening	activity_gardening_hours	activity_praying_meditating	activity_praying_hours	activity_media	activity_media_hours	activity_reading_me_time	activity_reading_hours	activity_other	activity_other_hours	time_outside_hours	time_outside_minutes	stressor_argument	stressor_friend_relative	stressor_health	stressor_work	stressor_household	stressor_leisure	stressor_financial	stressor_other	contact_with_caring_people	excluded_ostracized	failure	things_own_way	completed_difficult_project	true_self	close_connected	mastered_hard_challenges	strong_sense_intimacy	pressure	people_telling_me	unappreciated	disagreements_conflicts	even_hard_things	things_against_will	did_something_stupid	struggled_doing_something	doing_what_interests_me	parent_happy	parent_afraid	parent_sad	parent_balanced	parent_exhausted	parent_cheerful	parent_worried	parent_lively	parent_angry	parent_relaxed	worry_many_things	worry_bothered	worry_might_happen	worry_cant_get_out_head	worry_wrapped_up	mindfulness_open_to_happening	mindfulness_inappropriate	mindfulness_present_moment	mindfulness_could_act_better	corona_info_update	corona_talk_friends_family	corona_social_media_check	corona_social_media_create	corona_thinking_about	corona_worries	corona_acceptance	beep
zJGlZN8o6pWREJe	2020-04-01T20:07:58Z	2020-04-01T20:18:53Z	1	2020-04-01	6	NA	1	4	4	3	0	5	6	5	4	4	2	0	5	4	1	1	2	5	5	4	7	1	5	2	2	6	2	7	2	7	2	5	7	TRUE	5	TRUE	1	TRUE	1	FALSE	0	TRUE	1	TRUE	1	FALSE	0	TRUE	2	FALSE	0	FALSE	0	TRUE	1	FALSE	0	FALSE	0	3	30	0	0	0	0	0	0	0	0	7	1	2	5	5	5	7	1	7	1	1	1	3	7	1	1	1	6	5	2	1	5	1	5	7	5	1	4	7	1	7	1	2	6	2	5	7	5	5	2	1	5	7	7	1
zJGlZN8o6pWREJe	2020-04-02T19:17:11Z	2020-04-02T19:25:18Z	2	2020-04-02	6	NA	1	4	4	3	0	6	7	1	5	2	2	0	4	4	1	5	7	7	5	1	1	1	5	2	2	6	2	6	2	6	1	6	6	TRUE	8	TRUE	1	TRUE	1	TRUE	1	FALSE	0	TRUE	1	FALSE	0	FALSE	0	FALSE	0	FALSE	0	TRUE	2	FALSE	0	FALSE	0	0	45	1	0	0	0	1	0	0	0	5	4	1	5	4	4	5	4	6	2	5	5	7	4	1	6	5	5	4	2	3	2	1	3	7	4	7	4	5	1	7	1	2	3	6	4	7	5	5	1	1	7	7	7	1
zJGlZN8o6pWREJe	2020-04-03T19:45:45Z	2020-04-03T19:52:48Z	3	2020-04-03	7	NA	1	5	2	1	0	7	6	1	6	2	4	0	7	4	1	1	1	6	6	3	5	1	7	1	1	6	1	7	1	6	1	6	5	TRUE	6	TRUE	1	FALSE	0	TRUE	1	FALSE	0	TRUE	1	FALSE	0	FALSE	0	FALSE	0	FALSE	0	TRUE	3	FALSE	0	FALSE	0	1	0	0	0	0	0	0	0	0	0	7	1	1	7	4	4	7	4	7	4	4	4	4	6	1	1	1	5	6	2	1	6	1	7	7	6	1	6	5	2	6	1	1	7	1	6	2	5	5	1	1	4	7	6	1
zJGlZN8o6pWREJe	2020-04-04T19:59:07Z	2020-04-04T20:03:34Z	4	2020-04-04	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	7	5	1	1	1	7	7	1	1	1	7	1	1	7	1	7	2	7	1	7	0	FALSE	0	TRUE	1	FALSE	0	TRUE	2	TRUE	2	TRUE	2	FALSE	0	TRUE	3	FALSE	0	FALSE	0	TRUE	3	FALSE	0	FALSE	0	5	0	0	1	0	0	0	0	0	0	7	1	1	7	1	6	7	1	7	1	1	1	1	7	1	1	1	6	7	1	2	5	1	6	7	5	1	6	5	1	7	1	4	5	3	5	1	5	4	1	1	7	7	7	1
zJGlZN8o6pWREJe	2020-04-05T20:00:18Z	2020-04-05T20:32:10Z	5	2020-04-05	7	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	7	5	1	1	1	7	7	1	5	5	7	3	1	7	1	7	1	7	1	6	0	FALSE	0	TRUE	2	FALSE	0	TRUE	3	TRUE	1	TRUE	2	FALSE	0	FALSE	0	FALSE	0	FALSE	0	TRUE	2	TRUE	2	FALSE	0	6	0	0	0	0	0	0	0	0	0	7	1	1	7	1	5	7	1	7	1	1	1	1	6	1	1	1	7	6	2	1	6	1	6	7	5	1	6	5	1	7	1	2	7	5	6	1	4	4	1	1	5	7	7	1
zJGlZN8o6pWREJe	2020-04-06T19:01:52Z	2020-04-06T19:16:37Z	6	2020-04-06	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	4	4	1	1	1	7	7	1	4	1	7	2	1	6	4	7	2	7	2	5	0	TRUE	9	TRUE	1	FALSE	0	TRUE	1	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	TRUE	4	FALSE	0	FALSE	0	10	0	0	0	0	0	0	0	0	0	4	1	5	6	1	3	5	1	4	1	1	1	1	4	1	1	1	4	5	2	1	5	1	5	7	5	1	5	4	1	7	1	2	4	1	3	6	4	4	1	1	6	7	7	1
zJGlZN8o6pWREJe	2020-04-07T20:50:31Z	2020-04-07T20:53:16Z	7	2020-04-07	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	TRUE	8	TRUE	1	FALSE	0	FALSE	0	FALSE	0	TRUE	1	FALSE	0	TRUE	1	FALSE	0	FALSE	0	TRUE	2	FALSE	0	FALSE	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	1	1	NA	NA	NA	1
zJGlZN8o6pWREJe	2020-04-08T19:14:06Z	2020-04-08T20:36:25Z	8	2020-04-08	6	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	1	1	NA	NA	NA	1
zJGlZN8o6pWREJe	2020-04-12T19:05:25Z	2020-04-12T19:05:35Z	12	2020-04-12	4	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
zJGlZN8o6pWREJe	2020-04-13T19:09:09Z	2020-04-13T19:13:25Z	13	2020-04-13	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	5	1	1	1	1	7	7	3	3	1	6	2	2	6	1	6	2	5	4	5	0	FALSE	0	TRUE	1	FALSE	0	TRUE	1	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	TRUE	4	TRUE	4	FALSE	0	0	0	0	0	0	0	0	0	0	0	7	1	1	7	1	6	5	1	6	1	1	4	4	4	1	1	1	5	6	1	3	5	1	6	5	4	1	5	6	1	7	1	1	6	3	5	5	4	4	1	1	6	7	7	1
