id	date	day	beep	positive_affect	negative_affect	urgency	er_no_try	er_accept	er_advice	er_reappraisal	er_problem_solving	er_introspection	er_exp_suppress	er_emo_suppress	er_distraction	effectiveness	social_context	er_number_strategies	alone
3000	2016-10-05T17:44:10.706451	2	NA	74	18	17	1	1	1	0	0	0	0	0	0	NA	Romantic partner/close friend	2	0
3000	2016-10-06T17:21:37.829947	3	NA	76	29	66	0	1	1	0	0	0	0	0	0	66	Romantic partner/close friend	2	0
3000	2016-10-08T17:38:21.528836	5	NA	100	1	1	1	0	0	1	0	0	0	0	0	88	Romantic partner/close friend	1	0
3000	2016-10-12T10:13:44.029294	9	NA	63	15	25	1	0	0	0	1	1	1	0	0	57	Romantic partner/close friend 	3	0
3000	2016-10-14T10:09:28.302725	11	NA	72	33	30	1	1	1	0	0	0	0	1	0	71	I am alone	3	1
3000	2016-10-15T16:27:00.197690	12	NA	62	8	8	1	0	1	0	0	0	0	0	0	78	Romantic partner/close friend 	1	0
3000	2016-10-17T12:30:52.126107	14	NA	31	64	84	0	1	0	0	0	0	0	1	1	65	I am alone	3	1
3000	2016-10-18T09:21:05.214318	15	NA	79	15	27	0	0	0	1	1	1	0	0	0	90	I am alone	3	1
3000	2016-10-18T11:28:42.396239	15	NA	83	16	1	1	0	0	0	0	1	0	0	1	90	Other	2	0
3000	2016-10-19T10:03:25.442060	16	NA	82	14	1	0	0	0	0	1	0	0	0	0	87	I am alone	1	1
3000	2016-10-19T11:53:52.673827	16	NA	79	29	27	0	1	0	1	1	0	0	0	1	68	I am alone	4	1
3002	2016-10-12T18:13:17.967339	1	NA	1	87	15	0	0	0	0	1	1	0	0	0	65	Romantic partner/close friend 	2	0
3004	2016-10-05T09:54:31.749054	1	NA	28	59	62	0	1	0	0	1	0	0	0	0	49	Romantic partner/close friend	2	0
3004	2016-10-06T09:24:05.409276	2	NA	64	22	14	1	0	0	0	1	0	0	0	0	52	I am alone	1	1
3004	2016-10-06T17:38:25.026004	2	NA	58	35	49	0	0	0	0	1	0	0	0	0	46	I am alone	1	1
3004	2016-10-06T20:27:32.516072	2	NA	31	60	68	0	1	0	0	1	1	0	0	0	46	Classmate/coworker	3	0
3005	2016-10-05T20:40:41.581443	1	NA	40	58	62	0	0	0	0	1	0	0	0	0	58	Acquaintance/stranger	1	0
3005	2016-10-08T19:44:17.598077	4	NA	30	68	72	0	0	0	1	0	0	0	1	0	61	I am alone	2	1
3005	2016-10-09T11:59:19.642199	5	NA	99	11	20	0	0	0	0	1	0	0	0	0	68	I am alone	1	1
3005	2016-10-09T13:50:45.291559	5	NA	94	1	1	0	1	0	0	0	0	0	0	0	82	Classmate/coworker	1	0
3005	2016-10-09T19:52:10.403067	5	NA	9	85	96	0	0	0	1	1	0	0	0	1	57	I am alone	3	1
3005	2016-10-10T17:14:11.369204	6	NA	11	84	75	0	0	0	0	1	0	0	0	0	65	Classmate/coworker	1	0
3005	2016-10-10T20:03:11.692908	6	NA	66	17	29	0	1	0	0	0	0	0	0	0	60	Classmate/coworker	1	0
3005	2016-10-11T15:02:57.447411	7	NA	98	9	13	0	0	0	0	1	0	0	0	0	57	I am alone	1	1
