ID,TIMESTAMP,Extraversion,Agreeableness,Conscientiousness,EmotionalStability,Creativity
539,1327921571,2,1,5,5.5,4
539,1327929823,4.5,5,5.5,7,3.5
539,1327939889,3.5,5.5,6.5,6.5,4
539,1328015024,3,4.5,4.5,6.5,3.5
539,1328028954,4.5,5.5,6.5,5.5,5.5
539,1328093326,3.5,4,6.5,5,4.5
539,1328105167,5.5,5,7,5,4
539,1328112062,1.5,5.5,5,6.5,3
539,1328179550,3.5,6,6.5,5.5,4.5
539,1328189088,4.5,6.5,6.5,7,4
539,1328198933,3,6,5,6.5,3.5
539,1328264667,3,3,6.5,5,2.5
539,1328274658,3,5,6.5,6,4
539,1328609265,2.5,6,7,5.5,3.5
539,1328620935,4,1.5,4.5,3,4.5
539,1328631759,3.5,3,5,5,2
539,1328698234,2.5,3,5.5,3,3
539,1328707018,3,6,3.5,3.5,4.5
539,1328716891,3.5,6,6,5.5,4
539,1328783506,5,7,6,6.5,6.5
539,1328793559,5,5,6.5,7,3.5
539,1328869781,1.5,5.5,5,5,4.5
539,1328879554,4,5.5,6,6,4
539,1329130632,4,5,6.5,5.5,4
539,1329139810,4.5,6.5,5,5.5,3
539,1329148926,3.5,4,5.5,4,3.5
539,1329215458,1,4.5,6,6,4
539,1329225855,1,6,6,6,2.5
539,1329236874,4,4,6.5,3.5,3
539,1329307177,3.5,4,6,4.5,4.5
539,1329312534,4.5,4.5,5.5,1.5,3.5
539,1329322199,2,5,4.5,1.5,5
539,1329388531,4.5,5.5,4,5,5
539,1329397826,4,6.5,6.5,6.5,3.5
539,1329408161,4.5,4.5,6.5,6.5,4
539,1329475576,4,7,6,6,6
539,1329484858,5,6,6.5,6.5,5
539,1329734548,3,5,5.5,6,3
539,1329744845,4,6,5.5,6,3
539,1329819518,2.5,4.5,4.5,5.5,2.5
539,1329829989,1.5,5.5,6.5,7,3
539,1329840418,3,6,5,7,3
539,1329908469,3,5.5,5.5,5.5,3.5
539,1329917335,3.5,4.5,5.5,6,3.5
539,1330082566,4,5,6,5.5,4
539,1330089709,4,5.5,5.5,6,4
539,1330100566,3.5,2,4.5,4,4
539,1330339832,2.5,6,6.5,6.5,3.5
539,1330350980,3,6.5,6.5,6.5,3.5
539,1330358891,3,5,5.5,6,3.5
539,1330423916,2,5,5,7,3.5
539,1330434831,4,6,5,6.5,3.5
539,1330513342,2.5,5,6,4.5,4
539,1330525231,3.5,6,6,6,5
539,1330531504,3.5,5.5,6.5,6,3.5
539,1330598153,3,4,5,5.5,4
539,1330607345,4.5,7,6,6.5,4
539,1330620130,3.5,4,6,4.5,4
539,1330944086,3,5.5,5,4.5,3
539,1330956367,3,5.5,6.5,5,4.5
539,1330963588,2,6,5.5,5.5,4
539,1331035042,1.5,6,6,6.5,3
539,1331040954,4.5,6.5,5.5,7,4
539,1331051585,1.5,3,6.5,6.5,4
539,1331123218,4,5.5,7,4.5,4
539,1331127517,4.5,3,5.5,6.5,4
539,1331205834,4,7,3,6,4
539,1331212910,4,5.5,3,6.5,4
539,1331224450,2,6.5,6,6.5,4
539,1331289475,2,6,6.5,6,5.5
539,1331304514,3.5,4,5.5,6,4
539,1331310532,2.5,5,6.5,6.5,5
533,1328004048,4,4.5,6,5.5,4.5
533,1328016320,4,5.5,4,5.5,5
533,1328026096,3.5,5.5,4,6,5.5
533,1328090978,3.5,6,6.5,6,5
533,1328102920,4,5,6,6,5
533,1328112861,3,5,5.5,5.5,4.5
533,1328188193,4.5,5.5,5.5,6,3.5
533,1328202523,2.5,5,5.5,5,4
533,1328276240,4,5,6.5,6,5.5
533,1328286761,4,5.5,6,6,5.5
533,1328608954,4,4,4,4,4
533,1328620956,4,5,5,4.5,4
533,1328630436,3,5,5,5,5
533,1328695479,3.5,5,4.5,5.5,3.5
533,1328717399,4,4.5,5.5,4.5,5
533,1328793640,4,5,5,6,4.5
533,1328804299,3.5,4.5,4,5,4
533,1328869107,3.5,5,5.5,5,4
533,1328878927,4,4,4.5,4,4
533,1329128346,3.5,5,5,5,4
533,1329141050,2.5,4.5,5,5,5
533,1329151730,2.5,3.5,5.5,5.5,5.5
533,1329217285,3.5,5,5.5,6,5.5
533,1329224584,3.5,5,4.5,5,4
533,1329237207,4,5,5.5,5,4.5
533,1329302536,3,5,4.5,5,4.5
533,1329317050,4,4.5,5,5,4
533,1329325262,4,4.5,4.5,4.5,5
533,1329387410,4,5,5.5,5.5,3.5
533,1329477908,4,5,5.5,5,6
533,1329486812,5,5,5.5,4.5,4
533,1329495551,3.5,5,4,5.5,4.5
533,1329735008,4,5,5.5,5.5,4
533,1329745842,4,5,4.5,5.5,4.5
533,1329755911,4,5,4.5,5.5,3.5
533,1329823756,5,4.5,5.5,6,4.5
533,1329836980,4,5,5,5,4
533,1329844858,4,5.5,5,5.5,5
533,1329907503,3.5,5.5,6,6,4.5
533,1329922860,3.5,4,5.5,5.5,5
533,1329928181,5,5,5,5,4
533,1329993873,3.5,5,5,5.5,4
533,1330009690,4,4.5,5,5,5.5
533,1330015537,4,4.5,5,5,5
533,1330083000,4,4.5,4.5,5.5,4
533,1330093992,3.5,4.5,5,5,5
533,1330100633,4.5,5,5,5,4
533,1330339090,3.5,5,5,6,3.5
533,1330350088,5.5,5.5,5.5,5.5,4
533,1330428314,3.5,5,5,5.5,4.5
533,1330441937,3.5,5.5,5,5.5,4
533,1330449156,4,5,5,5.5,4.5
533,1330513099,3.5,5,4,5.5,4
533,1330525619,4,5,5,4.5,3.5
533,1330535688,3.5,4,4.5,4.5,4.5
