uid,day,COVID-1,COVID-2,COVID-3,COVID-4,COVID-5,COVID-6,COVID-7,COVID-8,COVID-9,COVID-10
1ff6d7f34acb354430e7323a35ff7703,20200317,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200320,5.0,7.0,6.0,6.0,4.0,6.0,4.0,2.0,3.0,4.0
1ff6d7f34acb354430e7323a35ff7703,20200327,6.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0
1ff6d7f34acb354430e7323a35ff7703,20200331,3.0,6.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200410,3.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0
1ff6d7f34acb354430e7323a35ff7703,20200417,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0
1ff6d7f34acb354430e7323a35ff7703,20200421,4.0,4.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0
1ff6d7f34acb354430e7323a35ff7703,20200429,4.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0
1ff6d7f34acb354430e7323a35ff7703,20200508,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200509,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0
1ff6d7f34acb354430e7323a35ff7703,20200515,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200520,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200523,3.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0
1ff6d7f34acb354430e7323a35ff7703,20200529,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200530,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200606,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200609,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200613,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200615,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200620,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200623,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200627,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200704,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200707,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200711,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200716,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200718,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200722,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200725,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200727,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200801,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200807,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200808,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
1ff6d7f34acb354430e7323a35ff7703,20200815,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200816,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200822,3.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200829,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200901,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200905,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200910,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200912,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200918,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200919,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20200920,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20200926,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20201001,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201003,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0
1ff6d7f34acb354430e7323a35ff7703,20201005,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201010,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0
1ff6d7f34acb354430e7323a35ff7703,20201016,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201022,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201028,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201031,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0
1ff6d7f34acb354430e7323a35ff7703,20201101,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201107,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
1ff6d7f34acb354430e7323a35ff7703,20201113,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201114,5.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0
1ff6d7f34acb354430e7323a35ff7703,20201116,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201126,,,,,,,,,,
1ff6d7f34acb354430e7323a35ff7703,20201201,,,,,,,,,,
