ID,M_pre_P_csi,M_pre_D_csi,M_post_D_csi,W_pre_P_csi,W_pre_D_csi,W_post_D_csi,W_csi_resid_1,M_csi_resid_1,W_csi_resid_2,M_csi_resid_2
701,15,16,15,21,20,20,0.453930275,0.435736589,0.390864035,-0.100359586
702,16,18,13,20,10,17,-0.085106381,-0.306288912,1.672538799,-1.029289401
703,21,21,21,20,20,16,-0.357265799,0.485556119,-0.697773637,0.328521316
704,16,20,20,20,20,19,0.459212455,1.444478186,0.118704617,0.292767053
705,20,15,16,20,17,17,-0.085106381,-0.523185478,0.203831687,0.364105321
706,18,19,19,21,21,20,0.453930275,0.71075594,0.181048733,0.25701279
707,20,17,11,17,14,12,-0.613578679,-1.773733406,-0.527519498,-1.31515325
708,21,21,20,21,18,17,-0.362547979,0.235446533,-0.005983615,0.078411731
709,19,18,20,21,20,21,0.726089693,0.719059194,0.663023453,0.721477697
710,18,16,17,20,21,19,0.459212455,0.210536769,-0.091110685,0.399859585
712,16,15,13,17,14,17,0.747218411,-0.306288912,0.833277592,-0.386223435
713,19,20,20,20,17,18,0.187053037,0.719059194,0.475991104,0.292767053
714,20,20,19,18,19,16,0.197617396,0.227143278,-0.487958335,0.042657468
715,20,20,20,20,20,20,0.731371873,0.477252864,0.390864035,0.292767053
716,16,17,12,18,14,11,-1.163179694,-0.556398498,-0.799678916,-1.065043665
717,20,19,20,18,16,16,0.197617396,0.477252864,0.14148757,0.507122375
718,13,8,4,16,11,3,-2.785571843,-1.83185619,-2.347508354,-1.13672245
719,18,16,9,16,12,12,-0.336137081,-1.790339916,-0.107888894,-1.601017099
720,14,12,17,16,15,14,0.208181755,1.177762091,-0.193015964,1.257280873
721,20,20,20,20,20,19,0.459212455,0.477252864,0.118704617,0.292767053
723,17,10,11,16,14,13,-0.063977663,-1.048314414,-0.25536008,0.185334004
724,18,19,19,16,19,17,1.024660009,0.71075594,-0.215798917,0.25701279
725,21,20,20,20,20,19,0.459212455,0.235446533,0.118704617,0.292767053
726,21,21,20,19,18,19,0.736654052,0.235446533,0.538335221,0.078411731
728,17,17,17,20,20,19,0.459212455,0.452343099,0.118704617,0.185504263
730,20,18,18,21,14,16,-0.634707397,-0.022966307,0.561118174,0.221258526
