ID,DIARYDAY,M_Anx.,M_Sad.,M_Vig.,M_Con.,W_Anx.,W_Sad.,W_Vig.,W_Con.
701,0,0,0,1.333333333,2,1,1.333333333,0,1.666666667
701,1,0,0,1.666666667,2.666666667,0,0,1,3
701,2,0,0,2.333333333,2,0.333333333,1.666666667,1,1.666666667
701,3,0.666666667,1.333333333,1,1.666666667,0.333333333,0.666666667,0,1
701,4,0,0,2,3,0,0.333333333,0,2.666666667
701,5,0.333333333,0.666666667,0.333333333,1.333333333,0,0.333333333,0.333333333,3.333333333
701,6,0,0,2,3,0,0,2,3.666666667
701,7,0,0,1.333333333,2.666666667,0,0,1,3.333333333
701,8,0.333333333,0.666666667,0,1,0,0,0.333333333,3.333333333
701,9,0,0,1.333333333,2,0,0,1.666666667,4
701,10,0,0,1,2,0.333333333,0.333333333,1,4
701,11,0,0.333333333,1,2,0,0.333333333,0,2.333333333
701,12,0,0,0.666666667,2,0,0.333333333,0.333333333,2.333333333
701,13,0,0.333333333,0,2,0.333333333,0.333333333,0.333333333,3.333333333
701,14,0,0,1.666666667,2.333333333,0.333333333,0.333333333,0,2.666666667
701,15,0,0,0,2,0,0,0.666666667,3.333333333
701,16,0,0,2,2,0,0,2.666666667,4
701,17,0,0,1.333333333,2.666666667,0,0,1.333333333,2.333333333
701,18,0,0,1,2.333333333,0,1,0,3
701,19,0.333333333,0,0.333333333,2,0,0.333333333,0.333333333,2.666666667
701,20,0.666666667,0,1,2,2,0.666666667,0,3.333333333
702,0,0,1.333333333,1,2,1,0,3.666666667,3
702,1,0.333333333,0.333333333,1,2,2.333333333,1,0,0.666666667
702,2,0,0.666666667,0.333333333,2,1.333333333,0.333333333,1,1.666666667
702,3,0,0.333333333,0.333333333,1.333333333,3.333333333,3.666666667,0,0
702,4,0,0,1,2.333333333,1,0.333333333,1,1.666666667
702,5,0,0,1,2.333333333,2,1.333333333,0.666666667,0.666666667
702,6,0,0,0,2,1,0.666666667,1.333333333,3.333333333
702,7,0,1,0.333333333,1,0.666666667,0.333333333,1.333333333,1.666666667
702,8,0,0,2.666666667,2.666666667,,,,
702,10,0,0,2.333333333,3,0.333333333,0,2,2.666666667
702,11,0,0,0.666666667,2,1.333333333,0,1.666666667,2.333333333
702,12,0,0,1,2,1.333333333,0,2.333333333,2.666666667
702,13,0,0,0.333333333,2,1.333333333,0,3,3
702,14,0,0,0.333333333,2,1.333333333,0.333333333,2.666666667,2.666666667
702,15,0.666666667,0.666666667,1.666666667,1.666666667,,,,
702,16,0,0,0.666666667,2,2.333333333,2,0,0
702,17,0,0,0,2,1.666666667,1.333333333,2,0.666666667
702,18,0.333333333,0.333333333,1.333333333,2,3,3.666666667,0.333333333,0
702,19,0.333333333,0.666666667,0,1.666666667,0.333333333,0,1,2
702,20,0,0,0.333333333,2,1.333333333,0,3,3.333333333
703,0,1.666666667,2,1.666666667,2,2.333333333,0.666666667,3,2.333333333
703,1,2,2.666666667,1,2,2.666666667,1,0,1
703,2,0,0.666666667,1.666666667,2,0.666666667,0,2,2
703,3,0,0,2,2.333333333,0.666666667,0,1.666666667,3.333333333
703,4,0,0,1,2,0.666666667,0,2.333333333,2.666666667
703,5,0,0,1.666666667,2,1,0,1.666666667,3.333333333
703,6,0,0,2,2,0.666666667,0,1.333333333,2.666666667
703,7,0,0,1.333333333,2,0,0,0.666666667,3
703,8,0,0,1.666666667,2,0,0,1,3
703,9,0,0,2,2,0,0,1.666666667,2.666666667
703,10,0,0,1.666666667,2,0.333333333,0,2,3.666666667
703,11,0.666666667,3.333333333,0.666666667,1.333333333,0,0,1,2.666666667
703,12,0,0,2,2,0,0,0.666666667,3
703,13,0,0,2,2,0,0,1.333333333,3.333333333
703,14,0,0,2,2,0.333333333,0,1.333333333,2.666666667
703,15,0,0,2,2,0,0,1.666666667,3.333333333
703,16,0,0,2,2,0.333333333,0,1.666666667,3
703,17,0,0,3.333333333,2.333333333,0,0,1.666666667,3.333333333
703,18,0,0,2,2,0,0,1.333333333,2.666666667
703,19,0,0,2,2,0,0,0.666666667,2.666666667
703,20,0,0,2,2,0.666666667,0.666666667,1.333333333,1
704,0,0.666666667,0.666666667,1.333333333,2.666666667,2,0,1.333333333,2.666666667
704,1,2.333333333,0,1.666666667,2.666666667,1.333333333,1.333333333,4,2.333333333
704,2,2,0,0.666666667,3,1,0,1,2.333333333
704,3,1,0.333333333,0.666666667,2.333333333,1.333333333,0,1.333333333,2.333333333
704,4,3,2,0.666666667,1.333333333,2,2,1,1.333333333
704,5,2,1.333333333,0.666666667,1,1.666666667,3,1.333333333,1.666666667
704,6,1.666666667,1,1.333333333,1.333333333,0.666666667,1.333333333,1.666666667,2.333333333
704,7,1.333333333,0,1,2.666666667,1,0.666666667,2.333333333,3.333333333
704,8,2.333333333,1.666666667,0.333333333,1.333333333,0.666666667,0,1,2.666666667
704,9,2,0,1.666666667,2.666666667,1,1,2,2.666666667
704,10,2.333333333,0.666666667,1,2.333333333,0.666666667,0.666666667,1.666666667,2.666666667
704,12,1.666666667,0,1,2.333333333,1,0,3.333333333,4
704,13,1.333333333,0,1.666666667,3.333333333,0,0,2.666666667,4
704,14,1,0,1.333333333,2.666666667,1.333333333,0.333333333,0.333333333,3
704,15,1.333333333,0,1,2.333333333,0.666666667,0,1,2.666666667
704,16,1,0,1,3,0,0.333333333,3,4
