""	"KANDI_ID"	"DTIME"	"opiskelu"	"reagointi"	"aika"	"AVO_1R"	"AVO_2"	"AVO_3R"	"AVO_4R"	"AVO_5"	"AVO_6R"	"AVO_7"	"AVO_8"	"AVO_9"	"AVO_10R"	"AVO_11R"	"AVO_12R"	"AVO_13R"	"AVO_14R"	"AVO_15R"	"AVO_16"	"AVO_17R"	"AVO_18R"	"TRAIT_AVOIDANCE"	"ANX_1"	"ANX_2"	"ANX_3"	"ANX_4"	"ANX_5"	"ANX_6"	"ANX_7"	"ANX_8"	"ANX_9R"	"ANX_10"	"ANX_11R"	"ANX_12"	"ANX_13"	"ANX_14"	"ANX_15"	"ANX_16"	"ANX_17"	"ANX_18"	"TRAIT_ANXIETY"	"NEUR_1"	"NEUR_2"	"NEUR_3"	"NEUR_4"	"NEUR_5R"	"NEUR_6R"	"NEUR_7R"	"NEUR_8R"	"NEUR_9R"	"TRAIT_NEUROTICISM"	"SEX"	"SES2P"	"SES1P"	"SES"	"AGE"	"aika2"
"1"	1	1	2	0	0.766666666604578	4	2	1	1	4	1	1	1	1	4	1	2	2	4	2	2	4	2	2.16666666666667	2	2	2	2	1	5	5	1	5	3	5	3	3	2	1	3	3	1	2.72222222222222	2	3	4	3	3	2	3	4	2	2.88888888888889	0	1	1	1	30	0.766666666604578
"2"	1	2	2	-29	3.08333333348855	4	2	1	1	4	1	1	1	1	4	1	2	2	4	2	2	4	2	2.16666666666667	2	2	2	2	1	5	5	1	5	3	5	3	3	2	1	3	3	1	2.72222222222222	2	3	4	3	3	2	3	4	2	2.88888888888889	0	1	1	1	30	3.56666666682189
"3"	1	3	2	0	4.53333333320916	4	2	1	1	4	1	1	1	1	4	1	2	2	4	2	2	4	2	2.16666666666667	2	2	2	2	1	5	5	1	5	3	5	3	3	2	1	3	3	1	2.72222222222222	2	3	4	3	3	2	3	4	2	2.88888888888889	0	1	1	1	30	4.53333333320916
"4"	1	4	2	0	5.26666666660458	4	2	1	1	4	1	1	1	1	4	1	2	2	4	2	2	4	2	2.16666666666667	2	2	2	2	1	5	5	1	5	3	5	3	3	2	1	3	3	1	2.72222222222222	2	3	4	3	3	2	3	4	2	2.88888888888889	0	1	1	1	30	5.26666666660458
"5"	1	5	2	-23	7.18333333311602	4	2	1	1	4	1	1	1	1	4	1	2	2	4	2	2	4	2	2.16666666666667	2	2	2	2	1	5	5	1	5	3	5	3	3	2	1	3	3	1	2.72222222222222	2	3	4	3	3	2	3	4	2	2.88888888888889	0	1	1	1	30	7.56666666644936
"6"	1	6	2	0	9.63333333330229	4	2	1	1	4	1	1	1	1	4	1	2	2	4	2	2	4	2	2.16666666666667	2	2	2	2	1	5	5	1	5	3	5	3	3	2	1	3	3	1	2.72222222222222	2	3	4	3	3	2	3	4	2	2.88888888888889	0	1	1	1	30	9.63333333330229
"7"	1	7	2	0	10.7000000001863	4	2	1	1	4	1	1	1	1	4	1	2	2	4	2	2	4	2	2.16666666666667	2	2	2	2	1	5	5	1	5	3	5	3	3	2	1	3	3	1	2.72222222222222	2	3	4	3	3	2	3	4	2	2.88888888888889	0	1	1	1	30	10.7000000001863
"8"	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
