ID,Evening,Sad_E,Anxious_E,Angry_E,FamCoh1_E,FamCoh2_E,FamCoh3_E,FamCon1_E,FamCon2_E
102,1,1,10,1,97,95,97,8,1
102,2,3,12,1,97,96,97,4,3
102,3,2,33,2,90,88,87,3,5
102,4,2,88,3,95,97,97,21,6
102,5,NA,NA,NA,NA,NA,NA,NA,NA
102,6,NA,NA,NA,NA,NA,NA,NA,NA
102,7,2,34,3,86,89,92,14,2
102,8,6,28,7,97,97,98,6,2
102,9,5,24,10,100,99,97,5,6
102,10,6,8,10,90,88,84,26,22
102,11,NA,NA,NA,NA,NA,NA,NA,NA
102,12,6,19,7,97,96,96,18,3
102,13,96,14,2,94,92,92,11,4
102,14,NA,NA,NA,NA,NA,NA,NA,NA
102,15,4,21,5,99,98,97,14,3
102,16,5,8,8,98,96,95,18,3
102,17,7,7,97,96,97,92,8,3
102,18,4,26,10,97,99,98,12,2
102,19,5,5,8,98,100,99,7,5
102,20,2,5,4,97,98,95,7,2
102,21,1,8,7,97,96,98,7,5
103,1,1,69,1,75,75,75,1,1
103,2,NA,NA,NA,NA,NA,NA,NA,NA
103,3,1,65,1,73,73,73,1,1
103,4,16,60,1,54,54,55,1,1
103,5,1,60,1,51,51,51,1,1
103,6,1,66,1,49,48,49,1,1
103,7,13,61,1,51,51,52,1,1
103,8,1,59,1,50,50,50,1,1
103,9,1,61,1,51,52,52,1,1
103,10,1,32,1,50,50,50,1,1
103,11,1,28,1,61,61,48,1,1
103,12,NA,NA,NA,NA,NA,NA,NA,NA
103,13,1,45,1,50,50,51,1,1
103,14,1,39,1,47,49,49,NA,NA
103,15,20,51,1,49,49,50,1,1
103,16,20,32,32,67,68,68,1,1
103,17,1,24,1,50,51,52,1,1
103,18,1,30,1,49,50,49,1,1
103,19,1,1,1,50,51,50,1,1
103,20,1,25,1,51,52,51,1,1
103,21,1,18,1,49,50,48,1,1
104,1,10,19,1,99,96,97,2,1
104,2,9,19,2,97,99,99,1,2
104,3,4,10,7,98,98,98,9,6
104,4,4,9,4,95,95,95,10,3
104,5,10,60,4,99,99,99,2,2
104,6,3,69,8,87,88,89,21,8
104,7,18,13,6,92,92,93,15,4
104,8,12,66,11,98,92,97,9,4
104,9,22,54,20,96,95,95,5,5
104,10,11,10,7,97,97,96,7,1
104,11,NA,NA,NA,NA,NA,NA,NA,NA
104,12,NA,NA,NA,NA,NA,NA,NA,NA
104,13,20,31,6,98,97,97,32,3
104,14,9,43,8,93,93,94,5,1
104,15,30,20,6,96,96,96,11,4
104,16,15,16,9,97,97,97,9,3
104,17,NA,NA,NA,NA,NA,NA,NA,NA
104,18,15,19,19,85,88,89,7,1
104,19,NA,NA,NA,NA,NA,NA,NA,NA
104,20,11,36,7,92,77,81,13,8
104,21,2,14,2,92,92,91,2,2
105,1,1,1,1,68,71,73,1,1
105,2,2,2,2,100,100,100,29,2
105,3,2,2,2,100,100,100,2,6
105,4,2,62,2,72,100,78,27,43
105,5,2,14,2,100,100,26,24,2
105,6,2,29,3,81,81,82,23,28
105,7,2,2,2,98,98,99,2,2
105,8,2,13,2,100,100,100,2,2
105,9,2,9,2,94,93,93,2,2
105,10,2,2,2,94,93,93,2,2
105,11,2,9,2,94,96,95,2,2
105,12,2,14,2,94,94,95,2,2
105,13,2,3,2,91,94,94,2,2
105,14,2,17,2,95,94,94,2,2
105,15,2,2,2,96,95,95,2,2
105,16,2,2,2,97,94,92,2,2
105,17,2,37,2,74,77,79,2,2
105,18,2,9,2,99,99,2,2,2
105,19,2,17,2,85,85,82,2,2
105,20,2,2,2,85,87,91,2,2
105,21,53,68,18,75,75,74,15,4
106,1,25,65,27,58,58,57,49,37
106,2,45,71,21,49,50,49,49,48
106,3,40,73,31,50,50,51,25,25
106,4,30,50,10,50,50,50,1,1
106,5,30,56,20,66,67,67,45,45
106,6,60,70,50,66,65,52,18,18
106,7,40,70,60,50,51,51,26,26
106,8,65,59,36,50,50,50,27,27
106,9,41,51,29,50,51,51,21,21
106,10,42,64,32,54,54,54,19,20
106,11,71,69,53,50,50,50,31,30
106,12,50,70,59,50,50,50,22,23
106,13,NA,NA,NA,NA,NA,NA,NA,NA
106,14,51,53,40,50,50,50,18,19
106,15,56,64,51,50,50,50,21,22
106,16,64,71,31,50,50,50,20,20
106,17,NA,NA,NA,NA,NA,NA,NA,NA
106,18,57,71,59,50,50,50,19,19
106,19,82,83,72,51,51,52,29,29
106,20,60,60,60,50,50,50,28,28
106,21,NA,NA,NA,NA,NA,NA,NA,NA
107,1,2,2,2,2,28,20,2,2
107,2,1,1,1,2,2,1,2,2
107,3,18,27,1,2,2,2,2,2
107,4,26,22,13,23,25,26,1,1
107,5,15,31,14,33,33,43,1,1
107,6,10,11,2,33,34,36,1,1
107,7,6,34,2,27,31,32,1,1
107,8,28,54,2,29,31,31,1,1
107,9,19,52,2,66,64,68,2,2
107,10,22,51,2,29,30,30,2,2
107,11,2,2,2,29,29,30,2,2
107,12,22,36,2,27,27,28,1,1
107,13,11,27,2,38,39,41,1,1
107,14,15,23,18,63,60,60,1,1
107,15,1,44,1,36,36,36,1,1
107,16,16,36,34,56,74,76,1,1
107,17,18,40,2,79,88,83,1,1
107,18,25,30,2,79,77,78,17,17
107,19,9,33,2,76,87,81,24,26
107,20,16,24,1,81,82,82,1,1
107,21,43,36,26,52,52,53,1,1
108,1,37,86,27,65,92,70,44,22
108,2,58,94,30,75,83,79,63,35
108,3,57,84,1,82,90,70,49,31
