"id","sample","QUESTNNR","day0","date","STARTED","PN05_01","PN05_02","PN05_03","PN05_04","PN05_05","PN05_06","PN05_07","PN05_08","PN05_09","PN06_01","PN06_02","PN06_03","PN06_04","PN06_05","PN06_06","PN06_07","PN06_08","PN06_09","AF02_01","AF02_02","AF02_03","AF02_04","AF02_05","AF02_06","AF02_07","AF02_08","AF02_09","AF02_10","ST53","ST53_01","ST53_02","ST53_03","ST53_04","DS06_01","DS06_02","ST54_01","ST54_04","ST54_02","ST54_05","ST54_03","ST54_06","ST54_07","ST54_08","ST54_09","ST54_10","ST54_11","PA21_01","PA21_02","PA22_01","PA22_02","PA23_01","PA23_03","PA23_02","PA23_05","PA23_04","PA23_07","PA23_06","PA23_08","PA24_01","PA24_03","PA24_02","PA24_05","PA24_04","PA24_07","PA24_06","PA24_08","LASTDATA","FINISHED","LASTPAGE","MAXPAGE","toolate","noncompliance_eod","case"
"OEfpSvQp94","original","d1b6",0,2021-05-17,2021-05-17 21:01:59,6,3,2,6,2,3,6,5,5,5,6,2,6,6,4,2,3,5,4,5,1,6,7,5,6,2,1,3,1,FALSE,TRUE,FALSE,FALSE,7,0,3,3,4,3,5,7,6,6,6,4,1,0,30,0,10,6,7,7,1,4,1,1,1,7,7,4,1,4,1,1,1,2021-05-17 21:09:09,TRUE,9,9,0,0,"11611"
"OEfpSvQp94","original","d2b6",1,2021-05-18,2021-05-18 21:03:56,5,6,4,5,3,3,5,3,4,4,5,4,2,5,5,3,5,5,5,3,1,5,5,4,5,5,1,4,1,FALSE,TRUE,FALSE,FALSE,4,0,4,3,5,2,4,3,6,5,5,4,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-05-18 21:09:27,TRUE,9,9,0,0,"11829"
"SCYBeP1OK2","original","d1b6",0,2021-04-12,2021-04-12 21:02:53,3,1,3,5,5,5,3,6,2,6,3,5,3,5,3,5,4,5,5,3,2,5,5,3,2,3,1,4,1,FALSE,TRUE,FALSE,FALSE,3,30,4,2,5,2,4,3,6,2,3,2,1,4,0,4,10,6,6,2,1,2,1,3,1,6,6,5,1,7,1,2,1,2021-04-12 21:07:02,TRUE,9,9,0,0,"2961"
"SCYBeP1OK2","original","d2b6",1,2021-04-13,2021-04-13 21:37:11,2,1,5,3,5,2,2,5,2,7,6,2,3,5,6,5,1,4,3,5,1,4,5,3,6,2,6,4,1,FALSE,TRUE,FALSE,FALSE,6,40,4,4,4,3,3,4,6,2,2,3,1,2,10,1,30,6,7,2,2,2,1,1,1,7,7,1,1,2,1,1,1,2021-04-13 21:40:30,TRUE,9,9,0,0,"3239"
"SCYBeP1OK2","original","d3b6",2,2021-04-14,2021-04-14 23:35:03,4,1,5,6,5,4,5,5,4,3,2,1,3,4,2,2,2,5,5,2,4,4,5,4,3,2,1,4,1,FALSE,TRUE,FALSE,FALSE,6,30,4,2,5,2,4,3,2,6,3,2,1,2,0,4,33,6,6,6,5,3,1,5,1,5,6,6,1,6,1,1,1,2021-04-14 23:37:38,TRUE,9,9,0,0,"3476"
"SCYBeP1OK2","original","d4b6",3,2021-04-15,2021-04-15 21:29:05,5,2,5,5,4,5,5,3,5,3,2,1,1,4,2,3,5,5,5,2,4,5,6,3,2,2,1,5,1,FALSE,TRUE,FALSE,FALSE,5,0,4,2,5,3,4,5,6,3,3,3,1,3,0,2,50,6,5,2,1,5,1,1,1,6,6,2,2,5,1,1,1,2021-04-15 21:31:30,TRUE,9,9,0,0,"3695"
"SCYBeP1OK2","original","d5b6",4,2021-04-16,2021-04-16 21:29:57,2,1,3,6,2,2,3,2,2,5,4,2,1,2,4,2,2,4,4,1,1,4,4,3,2,1,1,3,1,FALSE,TRUE,FALSE,FALSE,4,0,3,2,5,2,3,2,5,2,2,2,1,4,0,4,0,7,7,2,2,5,2,2,1,5,6,5,1,5,1,1,1,2021-04-16 21:32:04,TRUE,9,9,0,0,"4130"
"shWtGo33e4","original","d1b6",0,2021-05-03,2021-05-03 21:29:25,7,1,1,7,4,7,7,4,7,1,1,1,1,4,1,1,1,6,7,1,1,7,5,7,1,5,1,7,1,FALSE,TRUE,FALSE,FALSE,4,30,5,1,7,1,5,5,4,4,5,6,1,0,0,0,20,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,1,7,1,1,1,2021-05-03 21:40:18,TRUE,9,9,0,0,"8513"
"shWtGo33e4","original","d2b6",1,2021-05-04,2021-05-04 21:05:18,7,1,1,7,4,7,7,4,7,1,1,1,1,4,1,1,1,6,6,1,1,7,4,6,1,6,1,7,1,FALSE,TRUE,FALSE,FALSE,7,0,6,1,7,1,6,1,1,4,6,5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-05-04 23:46:08,TRUE,9,9,0,0,"8694"
"shWtGo33e4","original","d3b6",2,2021-05-05,2021-05-05 21:01:24,7,1,1,7,4,7,7,4,7,1,1,1,1,4,1,1,1,7,7,1,1,7,2,7,1,5,1,7,1,FALSE,TRUE,FALSE,FALSE,6,0,6,1,7,1,6,3,4,2,5,6,1,0,0,0,10,-1,-1,-1,-1,-1,-1,-1,-1,7,7,4,1,7,1,1,1,2021-05-05 23:58:29,TRUE,9,9,0,0,"8864"
