"";"participant";"day";"prejudices_general";"threat_general";"similarity_general"
"1";5368;2022-04-12;4;10;8
"2";4923;2022-04-05;6;4;8
"3";4923;2022-04-06;8;5;7
"4";4923;2022-04-07;6;2;7
"5";4923;2022-04-08;6;5;6
"6";4923;2022-04-09;6;5;6
"7";4923;2022-04-10;7;4;6
"8";4923;2022-04-11;7;5;6
"9";4923;2022-04-12;NA;NA;NA
"10";4923;2022-04-13;7;3;6
"11";4923;2022-04-14;7;3;8
"12";4923;2022-04-15;8;3;9
"13";4923;2022-04-16;8;3;8
"14";4923;2022-04-17;6;6;8
"15";4923;2022-04-18;6;3;9
"16";4923;2022-04-19;8;3;9
"17";1312;2022-01-01;8;1;6
"18";1333;2022-01-01;7;2;8
"19";1272;2022-01-01;6;1;6
"20";1288;2022-01-01;6;4;7
"21";1278;2022-01-01;6;1;7
"22";1300;2022-01-01;4;4;4
"23";1348;2022-01-01;8;1;9
"24";1322;2022-01-01;6;1;5
"25";1268;2022-01-01;6;5;6
"26";1313;2022-01-01;9;1;9
"27";1303;2022-01-01;4;1;5
"28";1305;2022-01-01;9;1;5
"29";1317;2022-01-01;8;1;6
"30";1270;2022-01-01;8;1;8
"31";1318;2022-01-01;5;1;6
"32";1257;2022-01-01;7;4;5
"33";1307;2022-01-01;6;1;6
"34";1341;2022-01-01;9;1;5
"35";1316;2022-01-01;6;1;6
"36";1352;2022-01-01;10;1;7
"37";1262;2022-01-01;6;3;3
"38";1299;2022-01-01;5;5;6
"39";1287;2022-01-01;5;4;7
"40";1360;2022-01-01;10;1;5
"41";1342;2022-01-01;9;1;10
"42";1365;2022-01-01;9;1;8
"43";1345;2022-01-01;6;2;4
"44";1261;2022-01-01;7;1;5
"45";1321;2022-01-01;6;5;6
"46";1363;2022-01-01;7;1;6
"47";1339;2022-01-01;7;3;6
"48";1347;2022-01-01;5;3;5
"49";1357;2022-01-01;9;1;6
"50";1349;2022-01-01;10;1;8
"51";1338;2022-01-01;5;2;8
"52";1328;2022-01-01;10;3;8
"53";1263;2022-01-01;9;2;8
"54";1355;2022-01-01;9;3;4
"55";1275;2022-01-01;4;1;3
"56";1324;2022-01-01;8;7;5
"57";1281;2022-01-01;9;1;7
"58";1319;2022-01-01;6;2;7
"59";1325;2022-01-01;6;5;6
"60";1315;2022-01-01;9;1;6
"61";1273;2022-01-01;10;1;10
"62";1277;2022-01-01;7;2;6
"63";1282;2022-01-01;8;2;6
"64";1298;2022-01-01;5;8;4
"65";1255;2022-01-01;5;5;5
"66";1308;2022-01-01;7;5;5
"67";1343;2022-01-01;9;1;8
"68";1302;2022-01-01;5;4;5
"69";1292;2022-01-01;8;2;8
"70";1289;2022-01-01;6;4;6
"71";1265;2022-01-01;6;6;6
"72";1269;2022-01-01;5;5;6
"73";1356;2022-01-01;6;2;2
"74";1283;2022-01-01;4;3;3
"75";1354;2022-01-01;8;1;5
"76";1253;2022-01-01;5;8;6
"77";1267;2022-01-01;5;3;4
"78";1256;2022-01-01;6;1;4
"79";1254;2022-01-01;7;6;6
"80";1358;2022-01-01;8;1;6
"81";1279;2022-01-01;9;5;8
"82";1276;2022-01-01;8;1;8
"83";1294;2022-01-01;10;1;6
"84";1340;2022-01-01;2;7;5
"85";1295;2022-01-01;9;1;6
"86";1330;2022-01-01;10;1;7
"87";1355;2022-01-02;8;3;4
"88";1282;2022-01-02;8;1;7
"89";1334;2022-01-02;4;5;2
"90";1354;2022-01-02;8;1;3
"91";1312;2022-01-02;10;1;6
"92";1276;2022-01-02;8;3;7
"93";1321;2022-01-02;6;4;5
"94";1316;2022-01-02;6;1;6
"95";1365;2022-01-02;8;1;5
"96";1281;2022-01-02;8;1;7
"97";1272;2022-01-02;5;1;5
"98";1317;2022-01-02;6;1;6
"99";1303;2022-01-02;7;2;3
"100";1265;2022-01-02;5;6;4
"101";1257;2022-01-02;7;4;5
"102";1268;2022-01-02;6;5;5
"103";1328;2022-01-02;10;2;8
"104";1348;2022-01-02;6;1;6
"105";1351;2022-01-02;9;2;6
"106";1294;2022-01-02;10;1;1
