"SERIAL","QUESTNNR","STARTED","LASTDATA","SD01","SD02_01","SD23","SD10","SD40","SD41","SD41_03","SD41_04","SD41_05","SD39","SD43","SD44","SD45","SD46","SD47","SD48","SD26","SD13","SD14","SD14_01","SD14_02","SD14_03","SD14_04","SD14_05","SD14_06","SD14_07","SD14_08","SD29","SD29_01","SD29_02","SD29_03","SD29_04","SD29_05","SD29_06","SD29_07","SD29_08","SD16","CV04","CV03","CV07","CV06","CV08","SD30","SD31_01","SD32","SD33","SD27","CV09","SD37_01","SD37_02","SD37_03","SD37_04","AC02_01","AC02_02","AC02_03","AC02_04","AC02_05","AC02_06","AC02_07","AC02_08","AC02_09","AC02_10","SQ02_01","SQ02_02","SQ02_03","SQ02_04","SQ02_08","SQ02_09","SQ02_10","SQ02_13","SQ02_15","SQ02_16","SQ02_17","SQ02_20","SQ02_21","SQ02_24","SQ02_25","SQ02_21_re","SQ02_25_re","emprob","hyper","prosoc","MC01","MC05_01","MC09","MC02","MC06_01","MC10","MC03","MC07_01","MC11","MC04","MC08_01","MC12","PN01_01","PN01_02","PN01_03","PN01_04","PN01_05","PN01_06","PN01_07","PN01_08","PN01_09","PN02_01","PN02_02","PN02_03","PN02_04","PN02_05","PN02_06","PN02_07","PN02_08","PN02_09","aut_sat","com_sat","rel_sat","aut_dis","com_dis","rel_dis","PS01_01","PS01_02","PS01_03","PS01_04","PS01_05","PS01_06","PS01_07","PS01_08","PS01_09","PS01_10","PS01_04_re","PS01_05_re","PS01_07_re","PS01_08_re","pss","DP03_01","DP03_02","DP03_03","DP03_04","DP03_05","DP03_06","DP03_07","DP03_08","DP03_09","DP03_10","DP04_11","DP04_12","DP04_13","DP04_14","DP04_15","DP04_16","DP04_17","DP04_18","DP04_19","DP04_20","DP03_04_re","DP03_08_re","DP04_12_re","DP04_16_re","cesd","FK01_01","FK01_04","FK01_05","FK01_06","FK01_07","FK01_09","FK01_10","FK01_11","FK01_12","FK01_14","FK02_15","FK02_17","FK02_19","FK02_20","FK02_21","FK02_23","FK02_24","FK02_27","FK02_29","FK01_04_re","FK01_05_re","FK02_20_re","FK01_06_re","FK01_10_re","FK02_19_re","FK02_29_re","ST01_01","ST01_02","ST01_03","ST01_04","ST01_05","ST01_06","ST01_07","ST01_08","ST01_09","ST01_10","ST02_01","ST02_02","ST02_03","ST02_04","ST02_05","ST02_06","ST02_07","ST02_08","ST02_09","ST02_10","ST01_01_re","ST01_02_re","ST01_05_re","ST01_08_re","ST01_10_re","ST02_01_re","ST02_05_re","ST02_06_re","ST02_09_re","ST02_10_re","stai","VS01_01","VS01_02","VS01_03","VS01_04","VS01_05","VS01_06","VS01_07","VS01_02_re","vitality","LO02_02","LO02_03","LO02_09","LO02_11","LO02_14","LO02_15","LO02_17","LO02_18","LO02_02_re","LO02_09_re","LO02_15_re","ucla","LS01_01","LS01_02","LS01_03","LS01_04","LS01_05","swls","PW01_01","PW01_02","PW01_03","PW01_04","PW01_05","PW01_06","PW01_07","PW01_08","PW02_09","PW02_10","PW02_11","PW02_12","PW02_13","PW02_14","PW02_15","PW02_16","PW01_01_re","PW01_03_re","PW01_08_re","PW02_10_re","PW02_11_re","pswq","NE01_01","NE01_02","NE01_03","NE01_04","NE01_05","NE01_06","NE01_07","NE02_08","NE02_09","NE02_10","NE02_11","NE02_12","NE02_13","NE02_14","NE03_15","NE03_16","NE03_17","NE03_18","NE03_19","NE03_20","NE03_21","NE01_01_re","NE01_02_re","NE02_08_re","NE02_09_re","NE02_11_re","NE02_12_re","NE03_17_re","NE03_21_re","extra","agree","consc","neurot","open","CV05_01","CV05_02","CV05_03","CV05_04","CV05_05","CV11_01","CV11_02","CV11_03","CV11_04","CV11_05","CV11_06","CV11_07","CV11_08","CV11_09","CV11_10","CV11_11","CV11_12","CV11_13","CV11_14","CV11_15","CV11_16","CV11_01_re","CV11_06_re","CV11_07_re","CV11_09_re","CV11_10_re","pasa_threat","pasa_chall","pasa_sc","pasa_control","pasa_pa","pasa_sa","pasa_stress","state"
"UOvKKDg1y85JZTR","Baseline","2020-03-27 13:34:16","2020-03-27 13:45:36",1,48,5,8,6,1,TRUE,FALSE,FALSE,4,1,3,1,1,1,1,3,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,1,NA,6,NA,1,12,7,5,1,1,5,NA,10,NA,2,4,5,5,2,4,6,3,5,3,3,1,1,2,2,2,1,1,1,2,NA,3,3,3,3,1,1,4,0,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,4,2,5,6,2,7,1,2,2,5,2,2,2,1,3,4,2,6.33333333333333,1.66666666666667,2,2.66666666666667,2,6,6,2,2,3,4,2,4,5,6,6,4,6,4.8,1,1,2,2,1,2,1,1,1,2,1,3,2,1,1,2,2,2,1,1,3,4,2,3,14,4,2,2,1,2,1,2,4,3,4,4,5,1,1,4,5,3,5,4,4,4,5,5,4,5,2,2,3,4,3,1,2,3,3,3,2,3,3,2,1,1,2,3,2,2,2,3,2,4,2,3,2,4,3,3,3,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baden-Württemberg"
"Br9wNLugZOH5Sal","Baseline","2020-03-30 06:49:04","2020-03-30 07:17:25",1,50,4,8,7,2,FALSE,TRUE,TRUE,4,2,2,1,3,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,11,1,1,1,1,2,11,5,5,6,4,3,NA,12,NA,4,4,2,4,1,4,6,5,4,4,2,2,1,NA,2,NA,1,1,2,1,NA,1,2,2,2,2,2,2,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,6,6,4,4,6,4,6,4,1,1,6,1,1,1,4,4.66666666666667,6,4,3.66666666666667,1,1,4,1,3,4,4,2,5,5,2,1,4,4,3,3,2.7,1,1,1,3,1,1,3,2,1,1,2,3,1,1,1,2,1,1,1,1,2,3,2,3,9,4,2,1,3,3,2,3,4,3,3,3,2,3,1,4,4,4,3,3,4,5,5,3,3,3,3,3,3,2,1,3,2,1,2,2,3,3,1,1,1,3,3,2,2,2,3,2,2,2,3,2,2,2,2,3,2,1.85,4,3,3,4,5,5,4,5,4.28571428571429,4,2,6,1,2,4,1,5,4,2,4,2.625,4,4,6,4,4,4.4,4,1,3,2,1,3,1,4,1,3,2,1,3,2,1,2,2,3,2,3,4,2,3,3,4,2,4,4,4,4,2,4,1,3,4,2,4,3,3,5,3,5,1,3,3,2,4,5,3,3,5,3.75,3.25,3.75,2.75,4.4,4,5,5,5,1,3,6,6,4,4,1,3,5,2,1,5,3,2,6,4,4,5,7,5,6,7,4.25,6.5,5,4,5.375,4.5,0.875,"Nordrhein-Westfalen"
"j4DHN2uDl7Qp10i","Baseline","2020-03-30 07:21:00","2020-03-30 18:31:35",1,54,4,7,6,2,FALSE,TRUE,TRUE,4,2,2,1,1,1,1,2,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,12,2,2,5,5,2,16,10,5,1,5,4,NA,4,NA,5,1,2,4,1,6,2,4,1,7,3,1,1,3,1,3,1,1,1,1,3,3,3,2,3,1,1,1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,7,4,6,7,7,5,1,1,1,7,1,1,1,4,3,7,6,2.33333333333333,1,1,1,2,5,7,6,1,7,7,1,1,1,2,1,1,1.6,1,1,1,4,2,1,2,4,1,1,3,3,2,2,1,3,1,1,1,2,1,1,2,2,9,4,1,1,2,2,3,2,3,4,4,5,5,1,1,2,5,5,3,2,5,5,5,4,4,5,4,3,4,2,1,3,1,1,2,1,3,4,1,1,1,3,4,1,2,2,2,2,1,2,3,2,1,2,1,3,3,1.6,5,1,4,5,6,6,6,7,5.57142857142857,7,1,5,1,1,7,1,1,1,3,1,1.25,5,7,7,6,5,6,3,1,3,4,4,3,1,2,1,1,1,3,3,1,1,1,3,3,4,5,5,2.6875,4,2,5,3,5,4,2,1,4,5,5,3,5,1,5,4,3,5,1,5,1,2,4,5,2,1,3,3,5,2.75,3,5,1.75,5,1,4,7,7,3,3,4,7,7,5,1,1,7,5,4,7,7,1,7,7,7,5,7,7,3,4,3.5,5.5,7,7,4.5,7,-2.5,"Nordrhein-Westfalen"
"bXsct5r5WOgmEkJ","Baseline","2020-03-30 07:46:49","2020-03-30 07:55:20",1,34,4,8,6,2,TRUE,FALSE,TRUE,5,2,3,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,10,1,1,1,1,1,10,4,1,4,4,15,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,6,NA,3,NA,NA,2,NA,NA,NA,5,NA,6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,NA,4,4,4,2,1,2,4,4,4,NA,NA,NA,NA,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JxNeYNdHQqjRzJZ","Baseline","2020-03-30 07:55:34","2020-03-30 10:47:33",1,41,3,8,6,1,TRUE,FALSE,FALSE,5,2,3,1,1,1,1,2,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,10,1,2,1,1,2,10,5,5,6,4,3,30,14,NA,4,1,2,2,2,4,3,3,5,3,2,2,1,1,1,2,1,2,3,1,2,1,2,1,1,2,3,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,1,3,5,3,5,4,4,4,3,3,4,4,5,3,3,2.33333333333333,5,4,4,3.33333333333333,3,7,5,4,3,5,6,3,6,3,4,5,2,5,4.5,1,1,1,3,4,1,4,1,1,1,1,3,4,1,3,2,1,2,2,3,2,4,2,3,22,3,1,1,4,3,2,3,5,3,3,4,3,3,1,2,2,3,4,5,5,5,5,2,3,3,1,2,3,2,2,2,1,1,1,2,3,3,1,1,1,2,2,1,2,2,2,3,2,3,4,2,2,3,3,3,3,2.1,4,5,2,4,3,5,4,3,3.57142857142857,3,6,5,5,4,1,3,4,5,3,7,4.625,5,5,5,4,2,4.2,4,2,4,2,2,2,4,4,3,3,5,3,2,4,3,2,2,2,2,3,1,2.4375,4,4,4,2,5,4,4,2,4,4,4,4,4,2,4,3,3,3,2,3,4,2,2,4,2,2,2,3,2,2.75,2.75,3.75,2,3.6,1,3,3,5,5,6,6,3,2,3,4,5,5,5,2,3,3,2,6,4,3,2,4,3,3,6,2.5,5.5,3.25,3.25,4,3.25,0.75,"Bayern"
"ea7Lq92cQTsmrx9","Baseline","2020-03-30 09:01:48","2020-03-30 09:41:11",1,41,4,8,6,2,FALSE,TRUE,TRUE,5,2,3,1,1,1,1,3,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,12,1,1,1,1,2,10,4,1,1,1,4,30,10,0,4,1,1,6,1,6,1,1,1,7,2,1,2,NA,1,2,1,1,2,1,2,3,2,1,2,2,2,1,3,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,3,3,5,3,3,3,1,1,1,3,1,1,3,3,3,3,4.33333333333333,1.66666666666667,1.66666666666667,1,1,1,1,2,3,2,3,5,2,2,6,5,5,3,2.8,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,4,4,2,2,8,2,5,1,3,3,2,4,2,4,4,3,1,1,1,1,4,4,3,2,1,5,5,3,2,5,4,3,3,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,1,3,2,2,2,2,2,2,2,2,2,2,3,1.55,6,1,4,4,7,6,6,7,5.71428571428571,5,1,5,1,1,6,1,1,3,3,2,1.625,4,5,4,5,3,4.2,5,3,1,4,4,4,2,2,1,1,5,4,4,2,1,1,1,5,4,5,1,2.875,3,2,3,1,4,4,4,1,1,4,3,2,4,4,3,3,2,3,4,4,1,3,4,5,5,3,4,4,5,3.25,4,3.75,3.5,4,1,1,6,4,4,1,1,5,6,1,3,1,5,1,6,6,6,1,1,4,5,7,5,7,7,2,4,2.25,5.5,5.5,3.125,5.5,-2.375,"Baden-Württemberg"
"UV4RhiVfgGVcNCh","Baseline","2020-03-30 09:17:37","2020-03-30 10:26:05",1,43,4,4,6,2,TRUE,FALSE,TRUE,4,2,2,1,1,1,1,2,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,10,3,2,1,1,4,9,3,1,4,1,6,NA,12,NA,5,3,3,5,2,5,3,5,4,5,2,2,1,3,1,3,2,1,3,1,2,2,2,1,2,2,2,0,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,2,3,2,2,2,6,5,4,1,3,NA,3,1,1,2,2,2.5,4,4,2,1.66666666666667,4,6,5,5,2,1,5,4,3,1,3,6,3,4,3.6,2,3,1,2,1,1,2,2,1,1,2,3,2,1,1,3,1,2,1,2,3,3,2,2,14,4,2,2,3,4,2,2,4,3,2,3,4,3,1,3,4,2,2,2,4,4,5,3,4,3,4,2,4,3,2,1,2,3,3,3,2,2,2,1,1,2,2,3,1,1,2,3,1,4,2,3,3,3,3,4,3,2.5,4,4,2,3,4,3,3,4,3.28571428571429,5,1,5,2,5,2,1,1,3,3,6,2.75,6,6,6,6,6,6,3,1,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,4,3,3,3,2.3125,3,2,4,1,4,4,3,3,4,3,2,5,5,2,5,4,5,4,2,3,3,3,4,3,2,4,1,1,3,3.75,2.25,4,1.75,3.6,4,4,7,7,6,3,6,2,5,4,2,4,6,2,2,2,2,4,7,5,2,5,6,4,6,6,4.75,6.25,3.25,3.75,5.5,3.5,2,"Hessen"
"zktQqllmeYcigRQ","Baseline","2020-03-30 09:56:08","2020-03-30 10:52:30",1,40,4,8,6,1,TRUE,FALSE,FALSE,5,2,3,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,11,1,1,1,5,1,8,3,1,4,4,4,30,12,0,6,2,2,6,2,6,2,5,1,7,3,1,1,3,1,3,1,1,2,1,3,3,2,1,2,2,2,0,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,2,7,6,5,5,6,5,5,6,2,6,4,1,1,7,5,6,5.33333333333333,4.66666666666667,2,3.33333333333333,2,2,6,5,5,2,5,6,2,2,3,3,3,2,2.7,2,1,2,4,3,2,2,4,1,2,2,4,3,1,2,4,1,2,2,1,1,1,1,1,13,2,1,1,1,4,4,1,5,4,2,2,4,2,5,5,3,2,4,4,5,5,1,5,5,4,2,3,3,2,1,3,1,2,2,2,3,2,1,1,1,3,3,2,2,3,3,2,2,2,3,2,3,2,2,2,2,1.85,4,3,4,5,6,4,4,5,4.57142857142857,3,3,6,4,4,2,6,2,5,2,6,4,3,5,4,6,6,4.8,4,1,4,2,3,4,1,4,1,2,4,2,3,2,2,2,2,2,2,4,2,2.1875,1,4,3,2,5,5,5,4,4,2,1,4,4,2,4,4,2,4,2,3,2,5,2,2,2,5,2,4,4,4.75,3.25,3.25,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hamburg"
"elUDyItC6qrh41N","Baseline","2020-03-30 09:58:54","2020-03-30 10:52:30",1,53,4,7,8,1,FALSE,FALSE,TRUE,6,2,4,1,1,1,1,2,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,12,1,1,1,6,2,16,10,5,1,1,2,0,3,30,5,1,1,4,1,2,2,1,1,1,2,2,1,3,1,3,2,1,2,1,3,3,2,1,2,2,2,0,5,9,1,19,6,2,21,6,NA,NA,NA,NA,NA,NA,7,1,1,7,7,4,7,4,7,2,2,1,1,2,2,1,1,5,5.33333333333333,4.33333333333333,7,2,1,1,7,7,7,2,1,5,3,1,6,6,6,7,5,7,6.3,3,4,2,3,3,3,3,4,1,4,4,2,3,1,1,1,1,4,1,1,2,1,3,4,29,5,1,1,1,3,4,1,5,5,3,5,5,1,1,4,5,4,5,1,5,5,5,5,5,5,5,1,3,4,4,1,4,4,1,4,1,3,3,3,3,1,1,4,3,1,1,4,2,4,4,4,2,4,4,4,4,3.6,3,2,1,4,4,3,4,6,3.57142857142857,7,1,7,1,1,1,1,1,1,1,7,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nordrhein-Westfalen"
"GoFjodnhcGBgjHP","Baseline","2020-03-30 11:13:16","2020-03-30 11:31:08",1,47,4,8,6,2,FALSE,TRUE,TRUE,5,2,3,1,1,1,1,3,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,11,1,1,1,5,2,7,2,1,6,4,4,NA,6,NA,7,3,2,5,1,6,2,6,4,6,1,1,1,2,1,3,1,1,2,1,NA,2,1,1,2,3,2,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,5,1,5,7,4,6,1,1,1,1,4,1,1,5,3,4.33333333333333,3,6.66666666666667,1,2.33333333333333,1,1,3,2,5,3,4,5,6,1,1,3,5,3,2,2.5,2,2,1,4,3,1,1,2,1,3,1,3,1,1,1,3,1,1,1,1,1,3,2,2,10,3,1,1,1,1,1,1,3,1,4,2,2,1,2,2,4,1,3,4,5,5,4,5,5,5,2,3,3,3,3,2,3,4,3,3,3,3,1,1,1,3,2,4,1,2,2,2,2,3,2,2,2,2,3,3,3,2.4,5,2,4,5,3,4,5,6,4.57142857142857,5,1,2,1,1,1,1,1,3,6,7,2.625,5,7,5,6,5,5.6,4,1,2,4,4,4,4,2,2,1,1,4,4,3,4,3,2,4,4,5,5,3.5625,4,1,4,1,3,2,5,5,4,1,3,1,2,5,2,2,2,2,4,1,4,2,5,1,2,3,5,4,2,2.25,4.75,2.25,3,1.8,6,4,7,7,7,1,7,6,4,7,1,1,6,1,1,2,2,7,6,3,2,7,7,7,7,7,7,6.75,4.5,3.5,6.875,4,2.875,"Hessen"
