"SERIAL","QUESTNNR","STARTED_d","LASTDATA_d","day","date","SL02_01","DS05","DS01","DS02_01","DS02_02","DS03_01","DS03_02","DS04_01","DS04_02","DS04_03","DS04_04","DS04_05","PD01_01","PD01_02","PD02_01","PD02_02","PD02_03","PD02_04","PD02_05","PD03_01","PD03_02","PD03_03","PD03_04","PD03_05","AC01_01","AC01_02","AC01_03","AC01_04","AC01_05","AC01_06","AC01_07","AC01_08","AC01_09","AC01_10","AH01","AH01_01","AH07_01","AH01_02","AH07_02","AH01_03","AH07_03","AH01_04","AH07_04","AH01_05","AH07_05","AH01_06","AH07_06","AH01_07","AH07_07","AH01_08","AH07_08","AH01_09","AH07_09","AH01_10","AH07_10","AH01_11","AH07_11","AH01_12","AH07_12","AH01_13","AH07_13","AH06_01","AH06_02","DE01_01","DE01_03","DE01_04","DE01_05","DE01_06","DE01_07","DE01_08","DE01_09","DN01_01","DN01_02","DN01_03","DN01_04","DN01_05","DN01_06","DN01_07","DN01_08","DN01_09","DN02_01","DN02_02","DN02_03","DN02_04","DN02_05","DN02_06","DN02_07","DN02_08","DN02_09","aut_sat_d","com_sat_d","rel_sat_d","aut_dis_d","com_dis_d","rel_dis_d","AF03_01","AF03_02","AF03_03","AF03_04","AF03_05","AF03_06","AF03_07","AF03_08","AF03_09","AF03_10","DW01_01","DW01_02","DW01_05","DW01_06","DW01_07","DM01_01","DM01_02","DM01_03","DM01_04","DC01_01","DC01_02","DC01_03","DC01_04","DC02_01","DC02_02","DC02_03"
"zJGlZN8o6pWREJe","day01","2020-04-01 20:07:58","2020-04-01 20:18:53",1,"2020-04-01",6,NA,1,4,4,3,0,5,6,5,4,4,2,0,5,4,1,1,2,5,5,4,7,1,5,2,2,6,2,7,2,7,2,5,7,TRUE,5,TRUE,1,TRUE,1,FALSE,0,TRUE,1,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,3,30,1,1,1,1,1,1,1,1,7,1,2,5,5,5,7,1,7,1,1,1,3,7,1,1,1,6,5.33333333333333,4.33333333333333,7,1,1.33333333333333,1.66666666666667,5,2,1,5,1,5,7,5,1,4,7,1,7,1,2,6,2,5,7,5,5,2,1,5,7,7
"zJGlZN8o6pWREJe","day02","2020-04-02 19:17:11","2020-04-02 19:25:18",2,"2020-04-02",6,NA,1,4,4,3,0,6,7,1,5,2,2,0,4,4,1,5,7,7,5,1,1,1,5,2,2,6,2,6,2,6,1,6,6,TRUE,8,TRUE,1,TRUE,1,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,2,FALSE,0,FALSE,0,0,45,2,1,1,1,2,1,1,1,5,4,1,5,4,4,5,4,6,2,5,5,7,4,1,6,5,5,4.66666666666667,4,5.33333333333333,2.66666666666667,4,5.33333333333333,4,2,3,2,1,3,7,4,7,4,5,1,7,1,2,3,6,4,7,5,5,1,1,7,7,7
"zJGlZN8o6pWREJe","day03","2020-04-03 19:45:45","2020-04-03 19:52:48",3,"2020-04-03",7,NA,1,5,2,1,0,7,6,1,6,2,4,0,7,4,1,1,1,6,6,3,5,1,7,1,1,6,1,7,1,6,1,6,5,TRUE,6,TRUE,1,FALSE,0,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,FALSE,0,1,0,1,1,1,1,1,1,1,1,7,1,1,7,4,4,7,4,7,4,4,4,4,6,1,1,1,5,5.33333333333333,4.66666666666667,7,3,1,3,6,2,1,6,1,7,7,6,1,6,5,2,6,1,1,7,1,6,2,5,5,1,1,4,7,6
"zJGlZN8o6pWREJe","day04","2020-04-04 19:59:07","2020-04-04 20:03:34",4,"2020-04-04",6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,7,5,1,1,1,7,7,1,1,1,7,1,1,7,1,7,2,7,1,7,0,FALSE,0,TRUE,1,FALSE,0,TRUE,2,TRUE,2,TRUE,2,FALSE,0,TRUE,3,FALSE,0,FALSE,0,TRUE,3,FALSE,0,FALSE,0,5,0,1,2,1,1,1,1,1,1,7,1,1,7,1,6,7,1,7,1,1,1,1,7,1,1,1,6,6.33333333333333,3,7,1,1,1,7,1,2,5,1,6,7,5,1,6,5,1,7,1,4,5,3,5,1,5,4,1,1,7,7,7
"zJGlZN8o6pWREJe","day05","2020-04-05 20:00:18","2020-04-05 20:32:10",5,"2020-04-05",7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,7,5,1,1,1,7,7,1,5,5,7,3,1,7,1,7,1,7,1,6,0,FALSE,0,TRUE,2,FALSE,0,TRUE,3,TRUE,1,TRUE,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,2,TRUE,2,FALSE,0,6,0,1,1,1,1,1,1,1,1,7,1,1,7,1,5,7,1,7,1,1,1,1,6,1,1,1,7,6.33333333333333,2.66666666666667,7,1,1,1,6,2,1,6,1,6,7,5,1,6,5,1,7,1,2,7,5,6,1,4,4,1,1,5,7,7
"zJGlZN8o6pWREJe","day06","2020-04-06 19:01:52","2020-04-06 19:16:37",6,"2020-04-06",5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,4,1,1,1,7,7,1,4,1,7,2,1,6,4,7,2,7,2,5,0,TRUE,9,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,4,FALSE,0,FALSE,0,10,0,1,1,1,1,1,1,1,1,4,1,5,6,1,3,5,1,4,1,1,1,1,4,1,1,1,4,4.33333333333333,2,4.33333333333333,1,2.33333333333333,1,5,2,1,5,1,5,7,5,1,5,4,1,7,1,2,4,1,3,6,4,4,1,1,6,7,7
"zJGlZN8o6pWREJe","day07","2020-04-07 20:50:31","2020-04-07 20:53:16",7,"2020-04-07",5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,8,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,2,FALSE,0,FALSE,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,NA,NA,NA
"zJGlZN8o6pWREJe","day08","2020-04-08 19:14:06","2020-04-08 20:36:25",8,"2020-04-08",6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,NA,NA,NA
"zJGlZN8o6pWREJe","day12","2020-04-12 19:05:25","2020-04-12 19:05:35",12,"2020-04-12",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zJGlZN8o6pWREJe","day13","2020-04-13 19:09:09","2020-04-13 19:13:25",13,"2020-04-13",5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,5,1,1,1,1,7,7,3,3,1,6,2,2,6,1,6,2,5,4,5,0,FALSE,0,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,4,TRUE,4,FALSE,0,0,0,1,1,1,1,1,1,1,1,7,1,1,7,1,6,5,1,6,1,1,4,4,4,1,1,1,5,6,2,6,1,1,3,6,1,3,5,1,6,5,4,1,5,6,1,7,1,1,6,3,5,5,4,4,1,1,6,7,7
